,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Materjal,Ehitusaasta,Lisaruumid,Küte,Sanitaar,Pliit,Side,Vannitube,Hind / m²,Katastritunnus,Energiamärgis,Parkimine,Katus,Ventilatsioon,Köögi pind,Rõdu,Rõdu pind,Kinnistu number,tasuline parkimine,tasuta parkimine,Lift,Lisanduvad kommunaalkulud,Parkimiskohti,Krunt,Lisainfo,Saadaval,Piirangud,maakond
12,4292820,"Kaare tee 2,Kõima küla, Pärnu linn, Pärnu maakond",2022-10-23,vajab renoveerimist,2,1,38.9 m²,1,2,korteriomand,turvauks,mööbli võimalus,28000.0,,,,"88 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1980,,,"dušš,boiler",elektripliit,,,719.79 €/m²,15905:004:0277,energiamärgis määramata,,,,,,,0,,,,,,,,,,parnu
13,7436837,"Mai tn 57, Mai,Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,2,1,52.5 m²,4,5,korteriomand,"trepikoda lukus,turvauks",külmik,109000.0,,,,"342 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1983,,keskküte,"dušš,wc ja vannituba eraldi",,,,2 076.19 €/m²,62513:174:8810,D,,,,,rõdu,0.00,0,,jah,,,,,,,,parnu
14,7578727,"Väike-Posti tn 10a, Rannarajoon,Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,2,,60.5 m²,2,2,korteriomand,"trepikoda lukus,turvauks",külmik,138000.0,,,,"434 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1957,,õhksoojuspump,"boiler,dušš",,internet,,2 280.99 €/m²,62511:061:7040,energiamärgis määramata,,,,,,,0,,jah,,,,,,,,parnu
15,5717634,"Kuldse Kodu tn 1,Pärnu linn, Pärnu maakond",2022-10-23,valmis,5,4,124.4 m²,,,korteriomand,trepikoda lukus,"mööbli võimalus,külmik",165000.0,,,,"518 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1975,panipaik,"õhksoojuspump,keskküte,kamin","boiler,pesumasin,dušš,vann",,,,1 326.37 €/m²,,,,,,,,,0,,,,,,,,,,parnu
16,1161487,"Henno tn 7, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,,3,,60 m²,3,4,korteriomand,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",167000.0,,,,"525 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2005,panipaik,"põrandaküte,keskküte","pesumasin,saun,vann,dušš",,,,2 783.33 €/m²,,,,,,,,,0,,,,,,,,,,parnu
17,8867984,"Papiniidu tn 23, Papiniidu, Mai,Pärnu linn, Pärnu maakond",2022-10-23,vajab renoveerimist,3,2,65.7 m²,4,5,korteriomand,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",99900.0,125.00,140.00,,"314 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1980,,"keskküte,elektriküte,põrandaküte","dušš,vann,pesumasin",,"kaabel-TV,internet",,1 520.55 €/m²,62513:172:7670,energiamärgis määramata,,,,,,,,,,,,,,,,,parnu
18,5336466,"Soo tn 4,Pärnu-Jaagupi alev, Põhja-Pärnumaa vald, Pärnu maakond",2022-10-23,valmis,2,1,50.3 m²,3,3,korteriomand,,,34900.0,,,,"110 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1973,,,,,,1,693.84 €/m²,62701:003:0163,energiamärgis määramata,,,,,,,,,,,,,,,,,parnu
19,1488315,"Oja tn 34, Rääma,Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,2,,39.7 m²,4,4,korteriomand,trepikoda lukus,"mööbel,külmik",84000.0,,,,"264 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1960,,keskküte,"pesumasin,boiler,dušš",,,,2 115.87 €/m²,62507:012:7400,,,,,,,,0,,,,,,,,,,parnu
20,6525290,"Suur-Kuke tn 48, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,valmis,4,,99 m²,2,2,korteriomand,,,132000.0,,,,"415 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",palkmaja,,panipaik,,"dušš,boiler",,kaabel-TV,,1 333.33 €/m²,62511:057:0660,,,,,,,,0,,,,,,,,,,parnu
21,5903161,"Pikk tn 16, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,1,,30.5 m²,4,4,korteriomand,trepikoda lukus,mööbel,125000.0,,,,"393 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,2020,,"põrandaküte,keskküte","dušš,pesumasin",,,,4 098.36 €/m²,,B,,,,,rõdu,6.50,0,,,jah,,,,,,,parnu
