,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Lisaruumid,Küte,Sanitaar,Pliit,Seisukord,Lisaväärtused,Suve kommunaalid,Talve kommunaalid,Side,Kinnistu number,Krunt,tasuta parkimine,Ventilatsioon,Katus,Lisainfo,Lisanduvad kommunaalid,Lisanduvad kommunaalkulud,Tagatisraha,Maakleritasu,Parkimiskohti,tasuline parkimine,Piirangud,maakond
11,"Veskilise tn 7-9, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,52.4,,,2,3,korteriomand,trepikoda lukus,177900.0,A,kivimaja,2022,,,,keskküte,dušš,,uusehitis,,,,internet,,,,sundventilatsioon,,,,,,,,,,harju
12,"Veskilise tn 7-5, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,52.8,,,1,3,korteriomand,,182900.0,A,kivimaja,2022,,,,keskküte,dušš,,uusehitis,,,,internet,,,,sundventilatsioon,,,,,,,,,,harju
13,"Majaka tn 19, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,39.3,,,4,4,korteriomand,turvauks,129900.0,energiamärgis määramata,paneelmaja,1960,,,,keskküte,,elektripliit,valmis,mööbel,,,internet,,1277 m²,,,,,,,,,,,,harju
14,"Noorkuu tn 4, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,51.3,,,1,4,korteriomand,"trepikoda lukus,turvauks",175000.0,energiamärgis määramata,kivimaja,2018,,,,gaasiküte,"pesumasin,dušš",elektripliit,uusehitis,mööbel,,,internet,9842850,,,,,,,,,,,,,harju
15,"Puhkekodu tee 63, Pirita linnaosa, Tallinn, Harju maakond","Pirita linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,58.9,,,2,3,korteriomand,,203000.0,D,,1976,,,,,,,uusehitis,,,,,,,,,,,,,,,,,,harju
16,"Lasnamäe tn 4b, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,56.6,"klaasitud rõdu,rõdu",10.60,3,13,korteriomand,"videokaamerad,trepikoda lukus,turvauks",299000.0,C,paneelmaja,2018,jah,kindel parkimiskoht kinnistul,panipaik,"põrandaküte,keskküte","tsentraalne kanalisatsioon,dušš",elektripliit,"uusehitis,uus viimistlus",,,,"telefon,internet,digi-TV",9455150,,,sundventilatsioon,,,,,,,,,,harju
17,"Karjääri tn 13, Maardu linn, Harju maakond","Maardu linn, Harju maakond",2022-10-30,3,2,1,67.0,,,3,,korteriomand,"turvauks,trepikoda lukus",107000.0,energiamärgis määramata,kivimaja,1955,,,,keskküte,"dušš,pesumasin,boiler,wc ja vannituba eraldi",elektripliit,renoveeritud,"mööbli võimalus,TV,külmik",,,"internet,kaabel-TV",,,jah,,,,,,,,,,,harju
18,"Kallasmaa tn 10-22, Maardu linn, Harju maakond","Maardu linn, Harju maakond",2022-10-30,2,1,,40.2,,,2,4,korteriomand,"turvauks,trepikoda lukus",89900.0,energiamärgis määramata,kivimaja,1960,,,,keskküte,"dušš,boiler",elektripliit,valmis,"mööbel,külmik",65.00,120.00,,,,,,,,,,,,,,,harju
19,"Sulevi tn 11, Nõmme linnaosa, Tallinn, Harju maakond","Nõmme linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,95.7,,,,2,korteriomand,,275000.0,energiamärgis määramata,,2008,,,,,,,vajab renoveerimist,,,,,,,,,,,,,,,,,,harju
20,"Sõnajala tee 1-10, Järveküla, Rae vald, Harju maakond","Järveküla, Rae vald, Harju maakond",2022-10-30,2,1,,55.9,rõdu,2.80,2,3,korteriomand,,175900.0,A,paneelmaja,2023,,,panipaik,gaasiküte,,,uusehitis,,,,internet,,9690 m²,,sundventilatsioon,,,,,,,,,,harju
21,"Vana-Rannamõisa tee 1d/2, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,,,64.4,rõdu,,2,4,,"turvauks,trepikoda lukus",192000.0,energiamärgis määramata,kivimaja,2015,,tasuta parkimine,garderoob,gaasiküte,"pesumasin,wc ja vannituba eraldi,tsentraalne kanalisatsioon,dušš,vann",elektripliit,uusehitis,"mööbel,mööbli võimalus",,,"telefon,internet,digi-TV",,,,,,,,,,,,,,harju
22,"M. Härma tn 1, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,1,64.3,klaasitud rõdu,,8,9,korteriomand,turvauks,127000.0,E,paneelmaja,1980,jah,tasuta parkimine,,keskküte,"wc ja vannituba eraldi,vann",elektripliit,uus viimistlus,mööbli võimalus,,,,,,,,bituumen,,,,,,,,,harju
23,"Lõime tn 29, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,38.0,,,2,4,korteriomand,"trepikoda lukus,turvasüsteem",100000.0,,kivimaja,,,tasuta parkimine,kelder,keskküte,"tsentraalne kanalisatsioon,dušš",elektripliit,"valmis,renoveeritud",mööbel,,,"internet,digi-TV,telefon",,,,,,,,,,,,,,harju
24,"Redise tn 4, Laagri, Laagri alevik, Saue vald, Harju maakond","Laagri alevik, Saue vald, Harju maakond",2022-10-30,2,1,,47.4,,,3,5,korteriomand,"naabrivalve,trepikoda lukus",129000.0,,paneelmaja,1978,,,,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,vann,pesumasin",elektripliit,renoveeritud,mööbel,115.00,170.00,"kaabel-TV,telefon,internet",6674202,,,,,,,,,,,,,harju
25,"Juku põik 6, Rannamõisa küla, Harku vald, Harju maakond","Rannamõisa küla, Harku vald, Harju maakond",2022-10-30,4,3,1,107.8,"rõdu,terrass",10.00,,2,korteriomand,"turvauks,naabrivalve",300000.0,energiamärgis määramata,kivimaja,2006,,"tasuta parkimine,kindel parkimiskoht kinnistul","panipaik,garderoob","põrandaküte,gaasiküte,kamin","tsentraalne kanalisatsioon,saun,dušš,vann,wc ja vannituba eraldi",elektripliit,renoveeritud,"eraldi sissepääs,kinnine hoov",,,"internet,digi-TV",,,,,rullmaterjal,,,,,,,,,harju
26,"Narva mnt 2, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,76.6,,,5,6,korteriomand,trepikoda lukus,240000.0,D,kivimaja,,jah,,,keskküte,wc ja vannituba eraldi,,vajab kapitaalremonti,,,,,,,,,,,,,,,,,,harju
27,"Lahepea tn 11-10, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,2,53.8,,4.40,3,4,,,250000.0,,,2022,,parkimiskoht garaažis,panipaik,,wc ja vannituba eraldi,,,mööbel,,,,,,,,,,,,,,,,,harju
28,"Kadaka tee 90-16, Mäepealse, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,,82.5,rõdu,4.60,4,4,korteriomand,"naabrivalve,trepikoda lukus",299900.0,B,kivimaja,2022,jah,,,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,vann",elektripliit,uusehitis,,,,"telefon,internet,kaabel-TV",1067101,,,,,,,,,,,,,harju
29,"Kadaka tee 90-12, Mäepealse, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,45.6,rõdu,4.70,3,4,korteriomand,"naabrivalve,trepikoda lukus",199900.0,B,kivimaja,2022,jah,,,"keskküte,põrandaküte",dušš,elektripliit,uusehitis,,,,"telefon,internet,kaabel-TV",1067101,,,,,,,,,,,,,harju
30,"Kadaka tee 90-10, Mäepealse, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,,82.5,rõdu,4.60,3,4,korteriomand,"naabrivalve,trepikoda lukus",294900.0,B,kivimaja,2022,jah,,,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,vann",elektripliit,uusehitis,,,,"telefon,internet,kaabel-TV",1067101,,,,,,,,,,,,,harju
31,"J. Kunderi tn 10, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,5,4,,148.0,rõdu,0.00,1,5,korteriomand,"turvauks,trepikoda lukus",495000.0,E,kivimaja,1939,jah,,,"keskküte,kamin","dušš,vann,pesumasin",,valmis,"mööbel,külmik",,,,,,,,,,,,,,,,,harju
32,"M. Härma tn 1, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,,,64.4,rõdu,3.00,5,9,,"naabrivalve,turvauks,trepikoda lukus",135000.0,C,paneelmaja,1980,jah,,,keskküte,"dušš,wc ja vannituba eraldi,pesumasin",elektripliit,valmis,"mööbel,külmik",70.00,150.00,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,harju
33,"Koskla tn 3, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,43.7,rõdu,,2,5,korteriomand,"trepikoda lukus,turvauks",124900.0,energiamärgis määramata,,,,tasuta parkimine,,,,gaasipliit,,"mööbel,mööbli võimalus",,,"digi-TV,telefon,internet",,,,,,,,,,,,,,harju
34,"Õismäe tee 102, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,1,,,33.0,rõdu,0.00,7,9,korteriomand,trepikoda lukus,82000.0,D,paneelmaja,1976,jah,,,keskküte,"vann,pesumasin",elektripliit,vajab kapitaalremonti,,,,,,,,,,,,,,,,,,harju
35,"Koidu tn 11, Kassisaba, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,,89.6,,,3,3,korteriomand,"turvauks,trepikoda lukus",269000.0,F,kivimaja,1956,,,,,"vann,boiler,pesumasin",gaasipliit,valmis,külmik,,,,,,,,,,,,,,,,,harju
36,"Sääse tn 5, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,43.7,rõdu,,4,5,korteriomand,"turvauks,videokaamerad,trepikoda lukus,naabrivalve",111000.0,D,paneelmaja,1969,,"kindel parkimiskoht kinnistul,tasuta parkimine",kelder,keskküte,"tsentraalne kanalisatsioon,vann,wc ja vannituba eraldi",gaasipliit,"renoveeritud,valmis","mööbel,mööbli võimalus",,,"digi-TV,telefon,internet",,,,,bituumen,,,,,,,,,harju
37,"J. Sütiste tee 40, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,1,1,,29.8,rõdu,,,,korteriomand,"naabrivalve,trepikoda lukus",97000.0,,kivimaja,1969,,tasuta parkimine,"kelder,panipaik,garderoob",keskküte,,elektripliit,san remont tehtud,"mööbel,mööbli võimalus",,,,,,,,,,,,,,,,,harju
38,"Kotermaa tn 13, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,67.7,rõdu,3.00,2,4,korteriomand,"naabrivalve,turvauks,trepikoda lukus",217500.0,B,kivimaja,2022,jah,,,põrandaküte,dušš,,uusehitis,külmik,,,"kaabel-TV,internet",,,,,,,,,,,,,,harju
39,"Lahepea tn 17-4, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,2,79.2,,6.40,1,3,korteriomand,,299000.0,A,,2023,,parkimiskoht maa-aluses garaažis,,keskküte,"wc ja vannituba eraldi,dušš",,uusehitis,,,,,,,,,,Vaata kodulehte siit,,,,,,,,harju
40,"Lahepea tn 17-3, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,2,90.5,rõdu,7.90,1,4,korteriomand,,378000.0,A,,2023,,"parkimiskoht varjualuse all,parkimiskoht maa-aluses garaažis",,keskküte,wc ja vannituba eraldi,,uusehitis,mööbli võimalus,,,,,,,,,Vaata kodulehte siit,,,,,,,,harju
41,"Lahepea tn 17-5, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,37.0,rõdu,3.60,1,3,korteriomand,trepikoda lukus,164900.0,A,,2023,jah,parkimiskoht maa-aluses garaažis,,põrandaküte,dušš,,uusehitis,mööbli võimalus,,,,,,,sundventilatsioon,,Vaata kodulehte,,,,,,,,harju
42,"Ehitajate tee 60, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,24.0,,,4,5,korteriomand,trepikoda lukus,115000.0,C,kivimaja,2018,,"tasuta parkimine,kindel parkimiskoht kinnistul",,keskküte,"pesumasin,dušš",elektripliit,valmis,"mööbel,külmik",,,,,,,,,,kõik kommunaalteenused,,,,,,,harju
43,"Andrekse tee 5. Karla, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,5,3,2,129.7,terrass,,,,kinnistu,"trepikoda lukus,videokaamerad,turvasüsteem,turvauks,naabrivalve",268000.0,,"plokkmaja,kivimaja",2007,,"kindel parkimiskoht kinnistul,tasuta parkimine","panipaik,garderoob","autonoomne küte,gaasiküte,õhksoojuspump,ahjuküte,kamin,põrandaküte","tsentraalne kanalisatsioon,vann,saun,dušš,wc ja vannituba eraldi,boiler,pesumasin",elektripliit,valmis,"eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus",,,"internet,digi-TV,telefon",,4357 m²,,"sundventilatsioon,konditsioneer,kliimaseade",bituumen,,,,,,,,,harju
44,"Kaselaane põik 2/1, Laagri alevik, Saue vald, Harju maakond","Laagri alevik, Saue vald, Harju maakond",2022-10-30,4,3,1,91.8,rõdu,11.00,3,3,korteriomand,trepikoda lukus,289000.0,B,,2015,,kindel parkimiskoht kinnistul,"panipaik,garderoob",gaasiküte,dušš,,,"kinnine hoov,mööbel,mööbli võimalus",,,"internet,digi-TV,telefon",,,,,,,,,,,,,,harju
45,"Selise tn 26, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,99.1,rõdu,30.90,3,3,korteriomand,"naabrivalve,turvauks,trepikoda lukus",429000.0,energiamärgis määramata,kivimaja,2007,jah,,,gaasiküte,"dušš,vann,saun,pesumasin",,valmis,"mööbel,külmik",,,"kaabel-TV,internet",,,,,,,,,,,,,,harju
46,"Järve tn 50, Järve, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,54.5,rõdu,2.00,2,3,korteriomand,"naabrivalve,trepikoda lukus",179000.0,F,kivimaja,1955,,,,keskküte,"dušš,wc ja vannituba eraldi,pesumasin",elektripliit,valmis,"mööbel,külmik",,,internet,,,,,,,,,,,,,,harju
47,"Lasnamäe tn 4c, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,,88.5,rõdu,9.50,7,13,korteriomand,"turvauks,naabrivalve,trepikoda lukus",424000.0,B,paneelmaja,2018,jah,,,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,pesumasin,vann",,valmis,külmik,,,"internet,kaabel-TV",,,,,,,,,,,,,,harju
48,"Tiiu tn 12/3-4, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,1,,,32.0,rõdu,12.60,1,5,korteriomand,"turvauks,trepikoda lukus",170900.0,B,paneelmaja,2022,jah,,,põrandaküte,dušš,,"uusehitis,valmis",,,,"telefon,internet",,,,,,,,,,,,,,harju
49,"Võistluse tn 6/2-75, Juhkentali, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,71.5,rõdu,2.80,5,14,korteriomand,"videokaamerad,turvauks,trepikoda lukus",305680.0,B,kivimaja,2020,jah,garaaž,,"keskküte,põrandaküte","wc ja vannituba eraldi,vann,pesumasin",elektripliit,uusehitis,"mööbel,külmik",,,"telefon,internet",,,,,,,,,,,,,,harju
50,"Järveotsa tee 23, Väike-Õismäe, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,65.6,rõdu,0.00,8,9,kinnistu,trepikoda lukus,114000.0,E,paneelmaja,1977,jah,,,keskküte,"dušš,wc ja vannituba eraldi",elektripliit,vajab kapitaalremonti,,,,,,,,,,,,,,,,,,harju
51,"Virbi tn 4, Laagna, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,67.5,,,6,14,korteriomand,"turvauks,trepikoda lukus",175000.0,,kivimaja,1992,jah,,,keskküte,"vann,pesumasin",elektripliit,valmis,"mööbel,külmik",100.00,180.00,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,harju
