,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Küte,Sanitaar,Pliit,Seisukord,Lisanduvad kommunaalid,Tagatisraha,Lisaruumid,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Side,Katus,Lisainfo,Ventilatsioon,Krunt,Piirangud,tasuline parkimine,tasuta parkimine,Maakleritasu,Parkimiskohti,Lisanduvad kommunaalkulud,maakond
2768,"Linnamäe tee 12, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,32.8,klaasitud rõdu,4.00,7,9,,"trepikoda lukus,turvauks",mööbel,99500.0,,paneelmaja,,jah,,keskküte,"vann,tsentraalne kanalisatsioon",elektripliit,"renoveeritud,uus viimistlus",,,panipaik,,,,"digi-TV,internet",,,,,,,,,,,harju
2769,"Roseni tn 12, Rotermanni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,52.0,,,6,7,korteriomand,"videokaamerad,trepikoda lukus,turvauks,turvasüsteem","eraldi sissepääs,mööbel",250000.0,energiamärgis määramata,kivimaja,2007,jah,"parkimiskoht maa-aluses garaažis,parkimiskoht garaažis",keskküte,"tsentraalne kanalisatsioon,pesumasin,dušš",elektripliit,uus viimistlus,,,garderoob,,,,internet,,,"konditsioneer,kliimaseade",,,,,,,,harju
2770,"Pöörise tn 16, Mustamäe, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,52.8,rõdu,4.30,8,14,korteriomand,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",189900.0,C,paneelmaja,2018,jah,,keskküte,"dušš,vann,pesumasin",elektripliit,uusehitis,,,panipaik,,,,"telefon,internet",,,,,,,,,,,harju
2771,"Tammepõllu tee, Haabneeme alevik, Haabneeme alevik, Viimsi vald, Harju maakond","Haabneeme alevik, Viimsi vald, Harju maakond",2023-01-14,1,,,39.9,,,1,4,korteriomand,"turvauks,trepikoda lukus","mööbel,külmik",139500.0,D,kivimaja,2007,,"tasuta parkimine,parkimiskoht garaažis",keskküte,"vann,pesumasin",elektripliit,valmis,,,"panipaik,garderoob",75.00,120.00,,,,,sundventilatsioon,,,,,,,,harju
2772,"Tedre tn 33a, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,34.4,,,3,5,korteriomand,"naabrivalve,turvauks,trepikoda lukus",,124900.0,D,kivimaja,1972,,,keskküte,"dušš,pesumasin",,uusehitis,,,,60.00,100.00,,internet,,,,,,,,,,,harju
2773,"Stardi tn 5, Maardu linn, Harju maakond","Maardu linn, Harju maakond",2023-01-14,3,3,,47.0,rõdu,3.00,4,5,korteriomand,,"mööbel,külmik",103990.0,D,paneelmaja,1988,,,keskküte,,elektripliit,renoveeritud,,,,,,,,,,,,,,,,,,harju
2774,"A. H. Tammsaare tee 129, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,43.9,rõdu,,3,5,korteriomand,trepikoda lukus,,105000.0,D,kivimaja,20000,,,keskküte,dušš,gaasipliit,renoveeritud,,,panipaik,,,1832001,internet,,,,5163 m²,,,,,,,harju
2775,"Luise tn. 28/1, Kassisaba, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,25.0,,,1,2,korteriomand,,,75000.0,H,puitmaja,1906,,,,,elektripliit,vajab renoveerimist,,,,,,,,,,,,,,,,,,harju
2776,"Õismäe tee 144, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,68.4,rõdu,6.00,8,9,korteriomand,,,120000.0,F,paneelmaja,,jah,,,,,vajab renoveerimist,,,,110.00,210.00,,,,,,,,,,,,,harju
2777,"Suur-Kaare tee 49, Pärnamäe küla, Viimsi vald, Harju maakond","Pärnamäe küla, Viimsi vald, Harju maakond",2023-01-14,3,,,73.2,rõdu,9.90,2,2,korteriomand,,"eraldi sissepääs,mööbel,mööbli võimalus",199900.0,F,kivimaja,2006,,kindel parkimiskoht kinnistul,"keskküte,gaasiküte","tsentraalne kanalisatsioon,dušš,saun,pesumasin",elektripliit,valmis,,,,,,,"digi-TV,internet",,,,,,,,,,,harju
2778,"J. Sütiste tee 15, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,,,43.3,,,1,5,,,"kinnine hoov,mööbel",123950.0,D,paneelmaja,,,tasuta parkimine,keskküte,,,renoveeritud,,,panipaik,,,,,,,,,,,,,,,harju
2779,"Päevalille tn 6-49, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,77.3,rõdu,,10,18,korteriomand,"turvauks,trepikoda lukus",,349900.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2780,"Päevalille tn 6-61, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,2,2,77.3,rõdu,,12,18,korteriomand,"turvauks,trepikoda lukus",,311900.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2781,"Päevalille tn 6-67, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,77.3,rõdu,,13,18,korteriomand,"turvauks,trepikoda lukus",,369900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2782,"Päevalille tn 6-70, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,65.7,rõdu,,13,18,korteriomand,"turvauks,trepikoda lukus",,314900.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2783,"Päevalille tn 6-73, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,77.3,rõdu,,14,18,korteriomand,"turvauks,trepikoda lukus",,339900.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2784,"Päevalille tn 6-79, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,77.3,rõdu,,15,18,korteriomand,"turvauks,trepikoda lukus",,364900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2785,"Päevalille tn 6-82, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,65.7,rõdu,,15,18,korteriomand,"turvauks,trepikoda lukus",,329900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2786,"Päevalille tn 6-85, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,77.3,rõdu,,16,18,korteriomand,"turvauks,trepikoda lukus",,374900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2787,"Päevalille tn 6-90, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,66.5,,,18,18,korteriomand,"turvauks,trepikoda lukus",,354900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2788,"Päevalille tn 6-91, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,127.1,rõdu,,18,18,korteriomand,"turvauks,trepikoda lukus",,644000.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte","dušš,vann",,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2789,"Päevalille tn 6-93, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,2,74.8,rõdu,,18,18,korteriomand,"turvauks,trepikoda lukus",,404900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2790,"Päevalille tn 8-101, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,41.5,,,16,18,korteriomand,"turvauks,trepikoda lukus",,194900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2791,"Päevalille tn 8-104, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,61.9,rõdu,,18,18,korteriomand,"turvauks,trepikoda lukus",,329900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2792,"Päevalille tn 8-107, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,112.2,rõdu,,18,18,korteriomand,"turvauks,trepikoda lukus",,599900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2793,"Päevalille tn 8-109, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,2,77.8,rõdu,,18,18,korteriomand,"turvauks,trepikoda lukus",,379900.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2794,"Päevalille tn 8-49, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,56.3,rõdu,,9,18,korteriomand,"turvauks,trepikoda lukus",,274900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2795,"Päevalille tn 8-56, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,56.3,rõdu,,70,18,korteriomand,"turvauks,trepikoda lukus",,279900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2796,"Päevalille tn 8-70, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,56.3,rõdu,,12,18,korteriomand,"turvauks,trepikoda lukus",,284900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2797,"Päevalille tn 8-71, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,40.5,,,12,18,korteriomand,"turvauks,trepikoda lukus",,189900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2798,"Päevalille tn 8-72, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,67.0,rõdu,,12,18,korteriomand,"turvauks,trepikoda lukus",,279900.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2799,"Päevalille tn 8-65, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,67.0,rõdu,,11,18,korteriomand,"turvauks,trepikoda lukus",,319900.0,C,paneelmaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
2800,"Päevalille tn 8-86, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,67.0,rõdu,,14,18,korteriomand,"turvauks,trepikoda lukus",,299900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2801,"Päevalille tn 8-92, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,40.5,,,15,18,korteriomand,"turvauks,trepikoda lukus",,204900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2802,"Päevalille tn 8-93, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,67.0,rõdu,,15,18,korteriomand,"turvauks,trepikoda lukus",,304900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
