,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Küte,Sanitaar,Pliit,Seisukord,Lisanduvad kommunaalid,Tagatisraha,Lisaruumid,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Side,Katus,Lisainfo,Ventilatsioon,Krunt,Piirangud,tasuline parkimine,tasuta parkimine,Maakleritasu,Parkimiskohti,Lisanduvad kommunaalkulud,maakond
0,"Järveotsa tee 11, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,65.6,rõdu,5.00,7,9,korteriomand,"videokaamerad,naabrivalve,turvauks,trepikoda lukus",mööbli võimalus,114900.0,D,paneelmaja,1977,jah,tasuta parkimine,keskküte,"dušš,wc ja vannituba eraldi",elektripliit,,,,,,,,,,,,,,,,,,,harju
1,"Pärnu mnt 110, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,39.3,klaasitud rõdu,15.00,7,15,korteriomand,"turvasüsteem,trepikoda lukus",mööbli võimalus,139500.0,D,paneelmaja,2006,jah,parkimiskoht garaažis,keskküte,dušš,elektripliit,uusehitis,kõik kommunaalteenused,700.00,panipaik,,,,,,,,,,,,,,,harju
2,"Põhja tn 16, Keila linn, Harju maakond","Keila linn, Harju maakond",2023-01-14,2,1,,45.4,,,4,4,korteriomand,"naabrivalve,turvauks,trepikoda lukus",,99000.0,B,kivimaja,1967,,,keskküte,"dušš,wc ja vannituba eraldi",,renoveeritud,,,panipaik,100.00,160.00,0,"internet,kaabel-TV",,,,,,,,,,,harju
3,"Pargi tee 3, Peetri alevik, Rae vald, Harju maakond","Peetri alevik, Rae vald, Harju maakond",2023-01-14,3,2,1,73.6,rõdu,8.00,2,3,korteriomand,"turvauks,naabrivalve,trepikoda lukus",mööbel,189000.0,energiamärgis määramata,kivimaja,2006,,kindel parkimiskoht kinnistul,"põrandaküte,gaasiküte","wc ja vannituba eraldi,tsentraalne kanalisatsioon,vann",elektripliit,"valmis,renoveeritud",,,"panipaik,garderoob",,,,"telefon,internet,digi-TV",rullmaterjal,,,,,,,,,,harju
4,"Villardi tn 27-4, Villardi Butiik Maja, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,45.3,,,2,4,korteriomand,,kinnine hoov,208300.0,A,kivimaja,2023,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis","keskküte,õhk-vesi soojuspump,põrandaküte",,,uusehitis,,,,,,,,plekk,Villardi Butiik Maja,sundventilatsioon,,,,,,,,harju
5,"Villardi tn 27-1, Villardi Butiik Maja, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,38.0,,,1,4,korteriomand,,kinnine hoov,179000.0,A,kivimaja,2023,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis","põrandaküte,õhk-vesi soojuspump,keskküte",,,uusehitis,,,,,,,,plekk,Villardi Butiik Maja,sundventilatsioon,,,,,,,,harju
6,"Kopli tn 64-5, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,62.4,,,2,3,korteriomand,videokaamerad,"eraldi sissepääs,kinnine hoov",307944.0,A,kivimaja,2022,,kindel parkimiskoht kinnistul,õhk-vesi soojuspump,"dušš,saun",,,,,panipaik,,,,,plekk,Kalamaja Park Residence,sundventilatsioon,,,,,,,,harju
7,"Kopli tn 64-3, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,1,82.6,,,1,3,korteriomand,videokaamerad,"eraldi sissepääs,kinnine hoov",381612.0,A,kivimaja,2022,,kindel parkimiskoht kinnistul,õhk-vesi soojuspump,"saun,dušš",,,,,panipaik,,,,,plekk,Kalamaja Park Residence,sundventilatsioon,,,,,,,,harju
8,"Päevalille tn 8, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,40.5,,,5,18,korteriomand,"trepikoda lukus,turvauks",,157900.0,C,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,,,,,internet,,,,,,,,,,,harju
9,"Sõnajala tee 1-28, Järveküla, Rae vald, Harju maakond","Järveküla, Rae vald, Harju maakond",2023-01-14,3,,,68.4,rõdu,5.60,2,3,korteriomand,,,209900.0,,paneelmaja,2023,,,gaasiküte,,,uusehitis,,,panipaik,,,,,,,,9690 m²,,,,,,,harju
10,"Veskilise tn 7-38, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,5,4,,101.3,,,1,3,korteriomand,,,334900.0,,kivimaja,2022,,,keskküte,,,uusehitis,,,,,,,,,,,,,,,,,,harju
11,"Veskilise tn 7-15, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,52.8,,,3,3,korteriomand,,,181900.0,,kivimaja,2022,,,keskküte,,,uusehitis,,,,,,,,,,,,,,,,,,harju
12,"Põllu tn 4-1, Luige alevik, Kiili vald, Harju maakond","Luige alevik, Kiili vald, Harju maakond",2023-01-14,5,4,,124.2,,,,2,korteriomand,turvauks,,369000.0,A,kivimaja,2023,,,maaküte,"dušš,wc ja vannituba eraldi,vann,saun",,uusehitis,,,panipaik,,,20146350,internet,,,,,,,,,,,harju
13,"Põllu tn 4-3, Luige alevik, Kiili vald, Harju maakond","Luige alevik, Kiili vald, Harju maakond",2023-01-14,5,4,,116.2,,,,2,korteriomand,turvauks,,349000.0,A,kivimaja,2023,,,maaküte,"dušš,wc ja vannituba eraldi,vann,saun",,uusehitis,,,panipaik,,,20146350,internet,,,,,,,,,,,harju
14,"Lasnamäe tn 4b, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,56.6,"klaasitud rõdu,rõdu",10.60,3,13,korteriomand,"videokaamerad,trepikoda lukus,turvauks",,299000.0,C,paneelmaja,2018,jah,kindel parkimiskoht kinnistul,"põrandaküte,keskküte","tsentraalne kanalisatsioon,dušš",elektripliit,"uusehitis,uus viimistlus",,,panipaik,,,9455150,"telefon,internet,digi-TV",,,sundventilatsioon,,,,,,,,harju
15,"Kuninga tn 1, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2023-01-14,9,6,,726.3,rõdu,30.00,,3,korteriomand,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",külmik,2490000.0,energiamärgis määramata,kivimaja,1451,,garaaž,"keskküte,kamin","dušš,wc ja vannituba eraldi,vann,saun",,renoveeritud,,,panipaik,,,,,,,,,,,,,,,harju
16,"Talli tn 5, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,83.9,rõdu,41.20,,2,korteriomand,"naabrivalve,turvauks","mööbel,külmik",364500.0,energiamärgis määramata,kivimaja,2021,,,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,vann,pesumasin",,valmis,,,,,,,"kaabel-TV,internet",,,,,,,,,,,harju
17,"Põllu tn 10a-2, Luige alevik, Kiili vald, Harju maakond","Luige alevik, Kiili vald, Harju maakond",2023-01-14,4,2,,82.6,,,,2,korteriomand,"naabrivalve,turvauks",,262000.0,A,kivimaja,2023,,,maaküte,"dušš,wc ja vannituba eraldi,vann,saun",,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
18,"Põllu tn 8-2, Luige alevik, Kiili vald, Harju maakond","Luige alevik, Kiili vald, Harju maakond",2023-01-14,3,2,,82.6,,,,2,korteriomand,"naabrivalve,turvauks",,262000.0,A,kivimaja,2023,,,maaküte,"dušš,wc ja vannituba eraldi,vann,saun",,uusehitis,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
19,"Tartu mnt 50a, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,3,,74.6,klaasitud rõdu,8.80,10,13,korteriomand,trepikoda lukus,,320000.0,B,betoonmaja,2012,jah,parkimiskoht maa-aluses garaažis,"keskküte,põrandaküte",,elektripliit,renoveeritud,,,panipaik,,,,"internet,digi-TV",,,sundventilatsioon,,,,,,,,harju
20,"Sõpruse pst 206, MUSTAMÄE, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,43.7,rõdu,,5,5,korteriomand,"videokaamerad,turvauks,trepikoda lukus",mööbel,89000.0,D,paneelmaja,,,tasuta parkimine,keskküte,"dušš,tsentraalne kanalisatsioon",elektripliit,"valmis,renoveeritud",,,,,,,digi-TV,rullmaterjal,,,,,,,,,,harju
21,"Sipelga tn 4, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,73.0,rõdu,4.20,5,8,korteriomand,"naabrivalve,trepikoda lukus,turvauks",külmik,240000.0,B,paneelmaja,2012,jah,,"keskküte,õhksoojuspump","pesumasin,dušš,vann",elektripliit,uusehitis,,,panipaik,100.00,200.00,,internet,,,kliimaseade,,,,,,,,harju
22,"N/A, N/A",N/A,2023-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
23,"Algi tn 59/4, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,,86.5,rõdu,21.30,3,3,korteriomand,"naabrivalve,turvauks,trepikoda lukus,videokaamerad","mööbel,külmik",349000.0,B,kivimaja,2018,jah,,"keskküte,põrandaküte","dušš,saun,pesumasin",,uusehitis,,,panipaik,160.00,260.00,,"kaabel-TV,internet",,,,,,,,,,,harju
24,"Pärnu mnt 130, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,61.7,,,4,8,korteriomand,"videokaamerad,trepikoda lukus","mööbel,külmik",165000.0,D,kivimaja,2008,jah,,keskküte,"dušš,pesumasin",,vajab renoveerimist,,,,,,,"internet,kaabel-TV",,,kliimaseade,,,,,,,,harju
25,"Kase tn 68, Pirita linnaosa, Tallinn, Harju maakond","Pirita linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,2,88.1,rõdu,6.00,4,5,korteriomand,"turvauks,trepikoda lukus",,245000.0,E,betoonmaja,2006,jah,parkimiskoht garaažis,keskküte,"vann,dušš,tsentraalne kanalisatsioon",elektripliit,valmis,,,garderoob,,,,"digi-TV,internet",rullmaterjal,,,,,,,,,,harju
26,"Nisu tn 32, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,39.1,,,1,4,,,mööbel,106000.0,,,1962,,,,,,renoveeritud,,,panipaik,,,,,,,,,,,,,,,harju
27,"Uus-Maleva tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,69.0,,,1,5,korteriomand,,,165000.0,energiamärgis määramata,kivimaja,1994,,,,,,renoveeritud,,,panipaik,,,,,,,,,,,,,,,harju
28,"Mahtra tn 26, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,35.0,,,2,9,,,,72900.0,,,1982,,,,,,,,,,,,,,,,,,,,,,,,harju
29,"Jalami tn 1, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,62.4,rõdu,4.70,1,8,korteriomand,trepikoda lukus,külmik,204000.0,,paneelmaja,2021,jah,,keskküte,"vann,pesumasin",,valmis,,,"panipaik,garderoob",,,0,,,,,,,,,,,,harju
30,"Priisle tee 1, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,60.2,rõdu,6.30,5,11,korteriomand,"turvauks,trepikoda lukus",külmik,197990.0,B,kivimaja,2022,jah,garaaž,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,60.00,180.00,,"kaabel-TV,internet",,,,,,,,,,,harju
31,"Järveotsa tee 13-38, HARKU JÄRVE LÄHEDAL, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,2,,33.3,rõdu,2.00,1,9,korteriomand,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",97900.0,D,paneelmaja,1977,jah,,keskküte,"dušš,vann",,renoveeritud,,,,35.00,60.00,8099901,"telefon,kaabel-TV,internet",,,,,,,,,,,harju
32,"Priisle tee 1, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,60.2,rõdu,6.30,5,11,korteriomand,"turvauks,trepikoda lukus",külmik,169990.0,B,kivimaja,2022,jah,garaaž,keskküte,dušš,,uusehitis,,,panipaik,60.00,180.00,,"kaabel-TV,internet",,,,,,,,,,,harju
33,"Priisle tee 1, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,60.2,rõdu,6.20,6,11,korteriomand,"turvauks,trepikoda lukus",külmik,207990.0,,kivimaja,2022,jah,,keskküte,dušš,,uusehitis,,,panipaik,60.00,180.00,,,,,,,,,,,,,harju
34,"Kadaka tee 191d-3, HÕBEMETSA, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,52.9,rõdu,48.80,2,5,korteriomand,trepikoda lukus,"mööbel,külmik",225000.0,,kivimaja,2020,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,18127850,,,,,,,,,,,,harju
35,"Kadaka tee 90-10, Mäepealse, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,,82.5,rõdu,4.60,3,4,korteriomand,"naabrivalve,trepikoda lukus",,294900.0,,kivimaja,2022,jah,,"keskküte,põrandaküte","dušš,vann",,uusehitis,,,panipaik,,,1067101,telefon,,,,,,,,,,,harju
36,"E. Vilde tee 114, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,54.5,,,4,14,korteriomand,"videokaamerad,turvauks,trepikoda lukus",külmik,142000.0,E,kivimaja,1973,jah,,"keskküte,põrandaküte","vann,pesumasin",gaasipliit,renoveeritud,,,,130.00,280.00,13697401,internet,,,,,,,,,,,harju
37,"Astri tee 2a/1, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2023-01-14,2,1,1,55.7,klaasitud rõdu,5.30,3,3,korteriomand,"turvasüsteem,trepikoda lukus,turvauks,naabrivalve",mööbli võimalus,180000.0,,"betoonmaja,plokkmaja,kivimaja",2003,,kindel parkimiskoht kinnistul,keskküte,"tsentraalne kanalisatsioon,dušš",elektripliit,renoveeritud,,,"kelder,panipaik,garderoob",,,,"digi-TV,internet",bituumen,,,,,,,,,,harju
38,"E. Vilde tee 67, Mustamäe, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,61.2,rõdu,2.00,5,5,korteriomand,"naabrivalve,turvauks,trepikoda lukus",,149900.0,E,paneelmaja,1965,,,keskküte,dušš,elektripliit,renoveeritud,,,panipaik,,,,"telefon,internet,kaabel-TV",,,,,,,,,,,harju
39,"Heina tn 6a-1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,5,4,2,110.7,terrass,20.00,,3,korteriomand,"turvauks,trepikoda lukus",kinnine hoov,519000.0,energiamärgis määramata,kivimaja,2023,,kindel parkimiskoht kinnistul,"põrandaküte,õhk-vesi soojuspump","vann,tsentraalne kanalisatsioon,wc ja vannituba eraldi,dušš",,uusehitis,,,"panipaik,garderoob",,,,"digi-TV,internet",plekk,https://heina.creativestate.ee,sundventilatsioon,,,,,,,,harju
40,"Põllu tn 4a-4, Luige alevik, Kiili vald, Harju maakond","Luige alevik, Kiili vald, Harju maakond",2023-01-14,5,4,,137.1,,,,2,korteriomand,turvauks,,389000.0,A,kivimaja,2023,,,maaküte,"vann,saun",,uusehitis,,,panipaik,,,20146350,internet,,,,,,,,,,,harju
41,"Tiiu tn 12/2-4, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,32.0,rõdu,6.40,1,5,korteriomand,"turvauks,trepikoda lukus",,178900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
42,"Tiiu tn 12/2-25, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,5,5,korteriomand,"turvauks,trepikoda lukus",,195900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
43,"Tiiu tn 12/1-8, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,2,5,korteriomand,"turvauks,trepikoda lukus",,192900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
44,"Tiiu tn 12/2-20, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,4,5,korteriomand,"turvauks,trepikoda lukus",,198900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
45,"Veerenni tn 36b/4-11, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,,118.4,rõdu,12.00,2,3,korteriomand,,,544900.0,B,paneelmaja,2023,jah,,,"dušš,wc ja vannituba eraldi,vann,saun",,uusehitis,,,,,,,,,,,,,,,,,,harju
46,"Tiiu tn 12/1-25, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,5,5,korteriomand,"turvauks,trepikoda lukus",,195900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
47,"Pille tn 11/1-B19, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,34.3,,,1,6,korteriomand,"turvauks,trepikoda lukus",,175900.0,B,paneelmaja,2023,jah,,põrandaküte,dušš,,uusehitis,,,,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
48,"Tiiu tn 12/3-14, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,3,5,korteriomand,"turvauks,trepikoda lukus",,188900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
49,"Veerenni tn 36b/5-13, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,,118.3,rõdu,12.00,1,3,korteriomand,,,523900.0,B,paneelmaja,2023,jah,,,"dušš,wc ja vannituba eraldi,vann,saun",,uusehitis,,,,,,,,,,,,,,,,,,harju
50,"Tiiu tn 12/1-20, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,4,5,korteriomand,"turvauks,trepikoda lukus",,191900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
51,"Tiiu tn 12/1-15, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,32.6,,,3,5,korteriomand,"turvauks,trepikoda lukus",,171900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
52,"Tiiu tn 12/3-25, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,5,5,korteriomand,"turvauks,trepikoda lukus",,202900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
53,"Veerenni tn 36b/4-10, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,,118.3,rõdu,12.10,1,3,korteriomand,,,532900.0,B,paneelmaja,2023,jah,,,"dušš,wc ja vannituba eraldi,vann,saun",,uusehitis,,,,,,,,,,,,,,,,,,harju
54,"Tiiu tn 12/3-20, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,36.2,,,4,5,korteriomand,"turvauks,trepikoda lukus",,198900.0,B,paneelmaja,2022,jah,,põrandaküte,dušš,,uusehitis,,,panipaik,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
55,"Laulupeo tn 17, Kadriorg, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,68.8,,,3,3,korteriomand,"turvauks,trepikoda lukus","mööbel,külmik",199500.0,energiamärgis määramata,puitmaja,,,,elektriküte,"dušš,boiler,pesumasin",elektripliit,renoveeritud,,,panipaik,,,,"kaabel-TV,internet",,,,,,,,,,,harju
56,"Väike-Sepa tee 2, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2023-01-14,4,3,1,130.4,rõdu,,3,3,korteriomand,"trepikoda lukus,naabrivalve,turvasüsteem,turvauks","mööbel,mööbli võimalus",274940.0,D,kivimaja,2002,,kindel parkimiskoht kinnistul,keskküte,"vann,dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,"uus viimistlus,valmis,renoveeritud",,,"kelder,panipaik",,,5679302,"internet,digi-TV",,,sundventilatsioon,,,,,,,,harju
57,"Kivila tn 10, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,52.4,kinnine rõdu,,5,5,korteriomand,"trepikoda lukus,naabrivalve,turvauks,videokaamerad","mööbel,mööbli võimalus",119500.0,E,paneelmaja,1983,,parkla,,"vann,dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,valmis,,,"kelder,panipaik",,,,internet,,,sundventilatsioon,,,,,,,,harju
58,"Paekaare tn 22, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,1,,,34.0,rõdu,,3,9,,,mööbel,86000.0,B,,,jah,,keskküte,vann,elektripliit,renoveeritud,,,"panipaik,garderoob",,,,,,,,,,,,,,,harju
59,"Vikerlase tn 15, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,,,65.2,klaasitud rõdu,2.00,4,9,korteriomand,"trepikoda lukus,naabrivalve",mööbli võimalus,133000.0,D,kivimaja,,jah,parkla,keskküte,,elektripliit,renoveeritud,,,,,,,internet,,,,,,,,,,,harju
60,"Paldiski mnt 82b Parkimiskoht hinnas., Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,57.2,rõdu,12.00,2,6,,videokaamerad,mööbel,225000.0,B,,2020,jah,"parkimiskoht varjualuse all,kindel parkimiskoht kinnistul",,,elektripliit,,,,,,,,"internet,telefon,digi-TV",,,sundventilatsioon,,,,,,,,harju
61,"Tartu mnt 56, City Residence, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,37.9,rõdu,15.80,5,8,korteriomand,"turvamees,trepikoda lukus,videokaamerad","kinnine hoov,mööbel",203000.0,C,betoonmaja,2016,jah,parkimiskoht maa-aluses garaažis,gaasiküte,dušš,elektripliit,uusehitis,,,"panipaik,garderoob",,,,"internet,digi-TV",,,sundventilatsioon,,,,,,,,harju
62,"Tiskre küla, Liiva tee, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,1,144.0,"rõdu,terrass",4.70,,,korteriomand,naabrivalve,"eraldi sissepääs,mööbel,mööbli võimalus",329900.0,C,"plokkmaja,kivimaja",2020,,"garaaž,parkla,kindel parkimiskoht kinnistul,parkimiskoht garaažis","kamin,põrandaküte,gaasiküte,autonoomne küte","vann,wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,"uusehitis,valmis",,,"panipaik,garderoob",,,,internet,,,sundventilatsioon,,,,,,,,harju
63,"Uus-Maleva tn 9, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,,1,60.7,,,1,5,korteriomand,"turvasüsteem,trepikoda lukus,turvauks",mööbel,148700.0,D,kivimaja,1969,,parkla,keskküte,"tsentraalne kanalisatsioon,pesumasin,dušš",gaasipliit,renoveeritud,,,kelder,,,,"internet,telefon",plekk,,,,,,,,,,harju
64,"Karikakra tee 39-4, Tiskre küla, Harku vald, Harju maakond","Tiskre küla, Harku vald, Harju maakond",2023-01-14,5,4,,101.0,rõdu,23.00,,,korteriomand,,,307000.0,A,kivimaja,2023,,,maaküte,"vann,saun",,,,,panipaik,,,15740650,internet,,,,,,,,,,,harju
65,"Pille tn 11/5-B106, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,65.2,rõdu,14.20,1,6,korteriomand,"turvauks,trepikoda lukus",,297900.0,B,paneelmaja,2023,jah,,põrandaküte,"wc ja vannituba eraldi,vann",,uusehitis,,,,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
66,"Pille tn 11/5-110, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,79.0,rõdu,6.40,2,6,korteriomand,"turvauks,trepikoda lukus",,342900.0,B,paneelmaja,2023,jah,,põrandaküte,"wc ja vannituba eraldi,vann",,uusehitis,,,,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,harju
