,rooms,floors,area_outside,area,link,address,hind,maakond
875,1,2/5,,32,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-paldiski-linn-peetri/2584225,"Peetri,Paldiski linn, Harju maakond",48000,harju
876,4,2/5,,93.3,https://city24.ee/real-estate/apartments-for-sale/viimsi-vald-haabneeme-alevik-heki-tee/1415413,"Heki tee 4,Haabneeme alevik, Viimsi vald, Harju maakond",299000,harju
877,5,5/5,,145.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-staapli-tn/7254219,"Staapli tn 12,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",1400,harju
878,1,,,55.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-kadriorg-kiikri-tn/6946433,"Kiikri tn 2/2,Kadriorg, Tallinn, Harju maakond",485000,harju
879,2,1/4,,59,https://city24.ee/real-estate/apartments-for-sale/tallinn-kadriorg-liivaoja-tn/2196007,"Liivaoja tn 14,Kadriorg, Tallinn, Harju maakond",219900,harju
880,1,3/4,,36.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-pille-tn/2281660,"Pille tn 11/1-32,Kesklinna linnaosa, Tallinn, Harju maakond",181000,harju
881,2,4/4,,,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-harku-vald-tutermaa-kula/4715817,"Paldiski mnt 22283,Tutermaa küla, Harku vald, Harju maakond",59000,harju
882,1,3/5,,34.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-punane-tn/6523066,"Punane tn 67,Lasnamäe linnaosa, Tallinn, Harju maakond",80000,harju
883,1,5/5,,32.9,https://city24.ee/real-estate/apartments-for-sale/joelahtme-vald-loo-alevik-kuusiku-tee/5344900,"Kuusiku tee 5, Loo alevik,Loo alevik, Jõelähtme vald, Harju maakond",81900,harju
884,4,1/3,,118.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-veerenni-tn/1633516,"Veerenni tn 36b/2, Veerenni,Kesklinna linnaosa, Tallinn, Harju maakond",499000,harju
885,3,1/4,,81.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-paepargi-tn/3488114,"Paepargi tn 21,Lasnamäe linnaosa, Tallinn, Harju maakond",230000,harju
886,1,1/5,,31.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-toostuse-tn/9165133,"Tööstuse tn 95, Põhja-Tallinn,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",94000,harju
887,4,,,131.7,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-viimsi-alevik-hundi/5765994,"Hundi 15-15,Viimsi alevik, Harju maakond",363000,harju
888,3,4/9,,65.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-keldrimae-tn/3786337,"Keldrimäe tn 4,Kesklinna linnaosa, Tallinn, Harju maakond",183000,harju
889,2,16/16,,44.9,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-virbi-tn/6582000,"Virbi tn 10,Lasnamäe linnaosa, Tallinn, Harju maakond",179000,harju
890,1,1/9,,32.8,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-paasiku-tn/3623890,"Paasiku tn 22,Lasnamäe linnaosa, Tallinn, Harju maakond",79000,harju
891,1,7/9,,32.8,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-mahtra-tn/3680325,"Mahtra tn 24,Lasnamäe linnaosa, Tallinn, Harju maakond",84900,harju
892,2,2/9,,49.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-kivila-tn/6892122,"Kivila tn 18,Lasnamäe linnaosa, Tallinn, Harju maakond",116000,harju
893,3,3/9,,69.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-mustamae-tee/1491981,"Mustamäe tee 191,Mustamäe linnaosa, Tallinn, Harju maakond",152900,harju
894,1,3/9,,32.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-linnamae-tee/7950434,"Linnamäe tee 24,Lasnamäe linnaosa, Tallinn, Harju maakond",74000,harju
895,3,3/5,,80.1,https://city24.ee/real-estate/apartments-for-sale/joelahtme-vald-loo-alevik-kuusiku-tee/1373458,"Kuusiku tee 22,Loo alevik, Jõelähtme vald, Harju maakond",225000,harju
896,2,4/4,,37.5,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-maardu-linn-kallasmaa-tn/5329648,"Kallasmaa tn 7,Maardu linn, Harju maakond",63000,harju
897,3,5/5,,74.2,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-maardu-linn-ringi-tn/7090894,"Ringi tn 44a,Maardu linn, Harju maakond",140000,harju
898,3,2/5,,47,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-astangu-tn/2912836,"Astangu tn 56, TEE ENDA KODU!,Haabersti linnaosa, Tallinn, Harju maakond",88600,harju
899,4,2/3,,131.4,https://city24.ee/real-estate/apartments-for-sale/harku-vald-rannamoisa-kula-andruse-poik/8926271,"Andruse põik 3,Rannamõisa küla, Harku vald, Harju maakond",269000,harju
900,3,1/2,,69.9,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-salme-tn/7373677,"Salme tn 6,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",174900,harju
901,2,4/5,,47.9,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-loksa-linn-posti-tn/1524242,"Posti tn 42,Loksa linn, Harju maakond",28500,harju
902,2,1/3,,49.8,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-loime-tn/4004926,"Lõime tn 15, Pelguranna,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",174000,harju
903,2,1/2,,28.9,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-villardi-tn/8272696,"Villardi tn 30, Uus Maailm,Kesklinna linnaosa, Tallinn, Harju maakond",125000,harju
904,2,1/2,,35,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-villardi-tn/8492798,"Villardi tn 30, Uus Maailm,Kesklinna linnaosa, Tallinn, Harju maakond",132000,harju
905,4,3/9,,78,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-valja-tn/8685692,"Välja tn 8,Kristiine linnaosa, Tallinn, Harju maakond",198990,harju
906,1,1/5,,29.8,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kolde-pst/6562645,"Kolde pst 88,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",83000,harju
907,2,5/5,,44,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-punane-tn/2864995,"Punane tn 27, Pae,Lasnamäe linnaosa, Tallinn, Harju maakond",98500,harju
908,3,5/5,,66.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-paekaare-tn/7835816,"Paekaare tn 4,Lasnamäe linnaosa, Tallinn, Harju maakond",124999,harju
909,3,2/5,,66.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-peterburi-tee/5227986,"Peterburi tee 4,Lasnamäe linnaosa, Tallinn, Harju maakond",185000,harju
910,1,4/5,,38.9,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-toostuse-tn/6703633,"Tööstuse tn 43,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",144000,harju
911,2,5/5,,28.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/6411501,"Tihase tn 27,Kristiine linnaosa, Tallinn, Harju maakond",151000,harju
912,3,5/5,,49.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/5595921,"Tihase tn 27-26,Kristiine linnaosa, Tallinn, Harju maakond",235000,harju
913,2,5/5,,40.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/2857708,"Tihase tn 27-25,Kristiine linnaosa, Tallinn, Harju maakond",198000,harju
914,2,5/5,,28.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/6563494,"Tihase tn 27-24,Kristiine linnaosa, Tallinn, Harju maakond",144000,harju
915,2,5/5,,40.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/3441210,"Tihase tn 27-23,Kristiine linnaosa, Tallinn, Harju maakond",198000,harju
916,2,6/9,,43,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-j-sutiste-tee/2971560,"J. Sütiste tee 33,Mustamäe linnaosa, Tallinn, Harju maakond",124100,harju
917,2,5/5,,43.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/3296738,"Tihase tn 27-22,Kristiine linnaosa, Tallinn, Harju maakond",202000,harju
918,3,4/5,,49.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/6266375,"Tihase tn 27-19,Kristiine linnaosa, Tallinn, Harju maakond",232000,harju
919,2,4/5,,40.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/4374145,"Tihase tn 27-18,Kristiine linnaosa, Tallinn, Harju maakond",195000,harju
920,2,4/5,,28.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/6198796,"Tihase tn 27-17,Kristiine linnaosa, Tallinn, Harju maakond",141000,harju
921,2,4/5,,40.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/4340823,"Tihase tn 27-16,Kristiine linnaosa, Tallinn, Harju maakond",195000,harju
922,2,4/5,,43.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/6458938,"Tihase tn 27-15,Kristiine linnaosa, Tallinn, Harju maakond",199000,harju
