,rooms,floors,area_outside,area,link,address,hind,maakond
0,2,2/4,,39.6,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-kehra-linn-aia-tn/8373009,"Aia tn 3,Kehra linn, Harju maakond",39500,harju
1,4,3/3,,79.7,https://city24.ee/real-estate/apartments-for-sale/rae-vald-peetri-alevik-kopli-tee/7143653,"Kopli tee 24,Peetri alevik, Rae vald, Harju maakond",314000,harju
2,2,,,50,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-maakri-tn/9369403,"Maakri tn 36, Kesklinn,Kesklinna linnaosa, Tallinn, Harju maakond",198000,harju
3,2,5/6,,54.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-vanalinn-suur-karja-tn/4544622,"Suur-Karja tn 18,Vanalinn, Tallinn, Harju maakond",246000,harju
4,2,3/5,,38.6,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-paldiski-linn-rae-tn/3228211,"Rae tn 31,Paldiski linn, Harju maakond",53000,harju
5,1,5/5,,27,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-paldiski-linn-rae-tn/1566655,"Rae tn 46,Paldiski linn, Harju maakond",49500,harju
6,2,2/3,,55.9,https://city24.ee/real-estate/apartments-for-sale/rae-vald-jarvekula-sonajala-tee/8116027,"Sõnajala tee 1-10,Järveküla, Rae vald, Harju maakond",175900,harju
7,4,5/5,,107,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kari-tn/1346880,"Kari tn 24, Pelguranna,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",347500,harju
8,2,3/5,,43.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tedre-tn/2150923,"Tedre tn 85,Kristiine linnaosa, Tallinn, Harju maakond",116900,harju
9,2,2/4,,54.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-paepargi-tn/6952751,"Paepargi tn 33,Lasnamäe linnaosa, Tallinn, Harju maakond",199900,harju
10,2,7/9,,49.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-umera-tn/3198928,"Ümera tn 6,Lasnamäe linnaosa, Tallinn, Harju maakond",98000,harju
