,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud
1169,uusehitis,2.0,1.0,44.9,16.0,16.0,korteriomand,"naabrivalve,videokaamerad,trepikoda lukus,turvasüsteem,turvauks",179000.0,energiamärgis määramata,paneelmaja,2017.0,"keskküte,põrandaküte","tsentraalne kanalisatsioon,dušš,pesumasin",1.0,"mööbel,mööbli võimalus",panipaik,elektripliit,"internet,digi-TV",7.9,,,,,jah,kinnine rõdu,tasuta parkimine,rullmaterjal,,,,,sundventilatsioon,,,,,
1170,"valmis,renoveeritud",1.0,,32.8,1.0,9.0,korteriomand,,79000.0,,paneelmaja,1991.0,keskküte,"tsentraalne kanalisatsioon,vann",,mööbel,,elektripliit,internet,2.0,,,,,,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
1171,renoveeritud,2.0,1.0,56.0,1.0,5.0,korteriomand,"turvauks,trepikoda lukus",202800.0,C,kivimaja,2015.0,keskküte,"pesumasin,vann,dušš",,"mööbel,külmik",,elektripliit,"telefon,internet,kaabel-TV",,,,,,jah,,garaaž,,,,,,,,,,,
1172,renoveeritud,2.0,,49.7,2.0,9.0,korteriomand,"trepikoda lukus,videokaamerad,turvauks,naabrivalve",116000.0,,paneelmaja,1983.0,keskküte,"pesumasin,vann,wc ja vannituba eraldi",,"kinnine hoov,mööbel,mööbli võimalus",,elektripliit,"internet,digi-TV",3.0,,,,,jah,kinnine rõdu,tasuta parkimine,,,,,,,,,,,
1173,vajab renoveerimist,1.0,1.0,32.7,3.0,9.0,korteriomand,"videokaamerad,turvauks,naabrivalve,trepikoda lukus",74000.0,E,paneelmaja,1986.0,keskküte,tsentraalne kanalisatsioon,1.0,mööbli võimalus,garderoob,elektripliit,"telefon,digi-TV,internet",2.0,,,,,jah,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
1174,uusehitis,3.0,2.0,80.1,3.0,5.0,korteriomand,"turvauks,trepikoda lukus",225000.0,C,paneelmaja,2018.0,keskküte,"pesumasin,vann",1.0,"mööbel,mööbli võimalus","panipaik,garderoob",elektripliit,,7.6,,,,,,rõdu,tasuta parkimine,bituumen,,,,,sundventilatsioon,,,,,
1175,"vajab kapitaalremonti,vajab renoveerimist",3.0,2.0,47.0,2.0,5.0,korteriomand,trepikoda lukus,103000.0,E,betoonmaja,1966.0,keskküte,"pesumasin,tsentraalne kanalisatsioon,vann",1.0,mööbel,kelder,gaasipliit,"digi-TV,telefon,internet",,,,,,,rõdu,tasuta parkimine,bituumen,,,,,,,,,,
1176,,3.0,2.0,74.2,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",140000.0,energiamärgis määramata,kivimaja,2006.0,keskküte,"vann,tsentraalne kanalisatsioon",1.0,"kinnine hoov,mööbli võimalus","kelder,garderoob",elektripliit,"internet,digi-TV",,,,,,,prantsuse rõdu,kindel parkimiskoht kinnistul,rullmaterjal,,,,,,,,,,
1177,vajab kapitaalremonti,3.0,2.0,47.0,2.0,5.0,korteriomand,,88600.0,D,paneelmaja,1985.0,keskküte,,,,,,"kaabel-TV,telefon,internet",3.0,,70.0,190.0,,,rõdu,,,,,,,,,,,,
1178,,4.0,3.0,131.4,2.0,3.0,korteriomand,"turvasüsteem,turvauks,trepikoda lukus",269000.0,energiamärgis määramata,kivimaja,2007.0,"gaasiküte,põrandaküte","saun,tsentraalne kanalisatsioon,vann,pesumasin,dušš",1.0,,"panipaik,garderoob",,"internet,digi-TV,telefon",,,,,,,klaasitud rõdu,"tasuta parkimine,kindel parkimiskoht kinnistul",rullmaterjal,,,,,,,,,,
1179,"renoveeritud,valmis",3.0,2.0,69.9,1.0,2.0,korteriomand,"turvauks,trepikoda lukus",174900.0,D,puitmaja,1946.0,"gaasiküte,põrandaküte,autonoomne küte,kamin","pesumasin,wc ja vannituba eraldi,boiler,tsentraalne kanalisatsioon,dušš",1.0,"eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus","panipaik,garderoob",gaasipliit,,,,,,,,,tasuta parkimine,plekk,,,,,,,,,,
1180,vajab renoveerimist,2.0,2.0,47.9,4.0,5.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",28500.0,energiamärgis määramata,paneelmaja,1983.0,keskküte,"wc ja vannituba eraldi,boiler,vann",1.0,mööbli võimalus,panipaik,elektripliit,"internet,digi-TV",3.0,,,,,,,tasuta parkimine,rullmaterjal,,,,,,,,,,
1181,"valmis,renoveeritud",2.0,1.0,42.4,2.0,4.0,korteriomand,"trepikoda lukus,turvauks",113000.0,E,plokkmaja,1965.0,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",1.0,"mööbel,mööbli võimalus",kelder,elektripliit,,,,,,,,,tasuta parkimine,,,,,,,,,,,
1182,,2.0,1.0,28.9,1.0,2.0,korteriomand,,125000.0,energiamärgis määramata,kivimaja,1940.0,,,,,panipaik,puupliit,,,,,,,,,,,,,,,,,,,,
1183,vajab renoveerimist,2.0,1.0,35.0,1.0,2.0,korteriomand,,132000.0,energiamärgis määramata,puitmaja,1940.0,,,,,panipaik,puupliit,,,,,,,,,,,,,,,,,,,,
1184,,1.0,1.0,29.8,1.0,5.0,korteriomand,"turvauks,trepikoda lukus",83000.0,energiamärgis määramata,paneelmaja,1972.0,keskküte,"dušš,tsentraalne kanalisatsioon,wc ja vannituba eraldi,vann",1.0,,"kelder,panipaik",elektripliit,,,,,,,jah,,tasuta parkimine,bituumen,,,,,,,,,,
1185,vajab renoveerimist,2.0,1.0,44.0,5.0,5.0,,,98500.0,E,paneelmaja,1979.0,,,1.0,,,gaasipliit,,,,,,,,,,,,,,,,,,,,
1186,"renoveeritud,valmis",3.0,2.0,66.7,2.0,5.0,korteriomand,"turvauks,trepikoda lukus",185000.0,E,kivimaja,1959.0,keskküte,"tsentraalne kanalisatsioon,dušš",1.0,"kinnine hoov,mööbli võimalus",,elektripliit,"digi-TV,internet,telefon",,,,,,,,tasuta parkimine,,,,,,sundventilatsioon,,,,,
1187,vajab kapitaalremonti,1.0,1.0,38.9,4.0,5.0,,,144000.0,,kivimaja,1951.0,keskküte,,1.0,kinnine hoov,,,,,,,,,,,tasuta parkimine,,,,,,,,,,,
1188,uusehitis,2.0,1.0,28.5,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",151000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","tsentraalne kanalisatsioon,dušš",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"maja ees,maa-alune parkla",rullmaterjal,,,Külaliskorterid Kristiine linnaosas.,,sundventilatsioon,,jah,,,
1189,uusehitis,3.0,2.0,49.2,5.0,5.0,korteriomand,"trepikoda lukus,turvauks",235000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","tsentraalne kanalisatsioon,dušš",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1190,uusehitis,2.0,1.0,40.7,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",198000.0,B,kivimaja,2024.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1191,uusehitis,2.0,1.0,28.2,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",144000.0,B,kivimaja,2024.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1192,uusehitis,2.0,1.0,40.7,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",198000.0,B,kivimaja,2024.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1193,renoveeritud,2.0,1.0,43.0,6.0,9.0,korteriomand,"turvauks,trepikoda lukus",124100.0,D,paneelmaja,1972.0,keskküte,"wc ja vannituba eraldi,vann",,"mööbel,külmik",,gaasipliit,"kaabel-TV,internet",3.0,,80.0,125.0,15162101,jah,rõdu,,,,,,,,,,,,
1194,uusehitis,2.0,1.0,43.3,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",202000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1195,uusehitis,3.0,2.0,49.2,4.0,5.0,korteriomand,"trepikoda lukus,turvauks",232000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1196,uusehitis,2.0,1.0,40.7,4.0,5.0,korteriomand,"turvauks,trepikoda lukus",195000.0,B,kivimaja,2024.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1197,uusehitis,2.0,1.0,28.2,4.0,5.0,korteriomand,"turvauks,trepikoda lukus",141000.0,B,kivimaja,2024.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1198,uusehitis,2.0,1.0,40.4,4.0,5.0,korteriomand,"trepikoda lukus,turvauks",195000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1199,uusehitis,2.0,1.0,43.3,4.0,5.0,korteriomand,"turvauks,trepikoda lukus",199000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1200,uusehitis,2.0,1.0,29.6,3.0,5.0,korteriomand,"trepikoda lukus,turvauks",143000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","tsentraalne kanalisatsioon,dušš",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1201,uusehitis,2.0,1.0,28.6,3.0,5.0,korteriomand,"trepikoda lukus,turvauks",145000.0,B,kivimaja,2024.0,"põrandaküte,keskküte","tsentraalne kanalisatsioon,dušš",1.0,,panipaik,,"internet,digi-TV",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1202,uusehitis,2.0,1.0,40.6,3.0,5.0,korteriomand,"turvauks,trepikoda lukus",193000.0,B,kivimaja,2023.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"digi-TV,internet",,,,,,jah,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1203,uusehitis,2.0,1.0,43.1,3.0,5.0,korteriomand,"turvauks,trepikoda lukus",197000.0,B,kivimaja,2023.0,"põrandaküte,keskküte","dušš,tsentraalne kanalisatsioon",1.0,,panipaik,,"internet,digi-TV",,,,,,jah,,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
1204,renoveeritud,3.0,2.0,46.5,1.0,5.0,korteriomand,"turvauks,trepikoda lukus",119990.0,,paneelmaja,,keskküte,"wc ja vannituba eraldi,tsentraalne kanalisatsioon,vann",1.0,,kelder,elektripliit,"internet,digi-TV,telefon",,,,,,,,tasuta parkimine,rullmaterjal,,,,,sundventilatsioon,,,,,
1205,valmis,1.0,1.0,30.4,5.0,5.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",82000.0,D,paneelmaja,1964.0,keskküte,"pesumasin,dušš",,"mööbel,külmik",,gaasipliit,"telefon,internet,kaabel-TV",3.0,,60.0,90.0,,,rõdu,,,,,,,,,,,,
1206,,3.0,,65.5,6.0,9.0,korteriomand,"turvauks,naabrivalve,trepikoda lukus",180000.0,D,paneelmaja,1975.0,keskküte,"vann,pesumasin",,"kinnine hoov,mööbel,mööbli võimalus",,elektripliit,"digi-TV,internet",4.0,,,,,jah,kinnine rõdu,tasuta parkimine,,,,,,,,,,,
1207,vajab renoveerimist,1.0,,20.8,1.0,2.0,korteriomand,,55000.0,energiamärgis määramata,puitmaja,,,,,,,puupliit,,,,,,,,,,,,,,,,,,,,
1208,uus viimistlus,2.0,1.0,48.4,3.0,14.0,korteriomand,"turvauks,turvasüsteem,videokaamerad,trepikoda lukus",217777.0,B,kivimaja,2017.0,keskküte,"dušš,tsentraalne kanalisatsioon",1.0,"mööbel,mööbli võimalus","panipaik,garderoob",elektripliit,"internet,digi-TV",5.4,,,,,jah,klaasitud rõdu,kindel parkimiskoht kinnistul,bituumen,,,,,,,,,,
1209,valmis,3.0,2.0,50.5,4.0,5.0,korteriomand,"naabrivalve,trepikoda lukus,turvauks",159000.0,energiamärgis määramata,kivimaja,1962.0,"põrandaküte,elektriküte,keskküte","dušš,pesumasin",,külmik,panipaik,,kaabel-TV,,,,,13944301,,,,,,,,,,,,,,
1210,"valmis,renoveeritud",3.0,3.0,65.7,7.0,9.0,korteriomand,"trepikoda lukus,turvauks",165000.0,D,paneelmaja,1978.0,"keskküte,põrandaküte","pesumasin,vann,tsentraalne kanalisatsioon",1.0,"mööbel,mööbli võimalus",,elektripliit,"digi-TV,internet",,,,,,jah,kinnine rõdu,tasuta parkimine,,,,,,sundventilatsioon,,,,,
1211,valmis,3.0,2.0,74.5,3.0,4.0,korteriomand,trepikoda lukus,200000.0,D,,2008.0,"gaasiküte,põrandaküte","pesumasin,dušš,saun",1.0,mööbli võimalus,"panipaik,garderoob",elektripliit,"digi-TV,internet",6.0,,,,,,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
1212,,1.0,,31.4,5.0,5.0,korteriomand,"turvauks,trepikoda lukus,naabrivalve",81000.0,D,paneelmaja,1988.0,keskküte,"dušš,pesumasin",,"mööbel,mööbli võimalus",,elektripliit,"internet,digi-TV",2.5,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,
1213,valmis,4.0,3.0,79.3,6.0,9.0,korteriomand,,127999.0,E,paneelmaja,1981.0,keskküte,pesumasin,1.0,külmik,,elektripliit,,,,,,,jah,,,,,,,jah,,,,,,
1214,vajab renoveerimist,2.0,1.0,54.5,3.0,5.0,korteriomand,,115000.0,energiamärgis määramata,paneelmaja,1988.0,,,1.0,,,elektripliit,,,,,,,,,,,,,,,,,,,,
1215,san remont tehtud,1.0,,21.9,3.0,5.0,korteriomand,trepikoda lukus,65000.0,E,kivimaja,1982.0,keskküte,"dušš,pesumasin",,"mööbel,külmik",,elektripliit,"kaabel-TV,internet",,,30.0,70.0,,,,,,,,,,,,,,,
1216,"uus viimistlus,valmis,uusehitis",4.0,3.0,131.0,,,korteriomand,,325000.0,B,puitmaja,2020.0,"gaasiküte,kamin","saun,vann,dušš,pesumasin",2.0,"eraldi sissepääs,mööbel,mööbli võimalus","panipaik,garderoob",,"digi-TV,internet,telefon",18.5,,,,Harjumaa,,terrass,"parkimiskoht garaažis,kindel parkimiskoht kinnistul,garaaž,parkla",bituumen,,,,,sundventilatsioon,,,,,
1217,san remont tehtud,2.0,1.0,49.2,,9.0,korteriomand,,119000.0,,kivimaja,1981.0,,,,mööbel,,,,,,,,,jah,,,,,,,,,,,,,
1218,renoveeritud,2.0,1.0,45.5,2.0,3.0,korteriomand,trepikoda lukus,149000.0,E,kivimaja,1955.0,keskküte,wc ja vannituba eraldi,1.0,,,gaasipliit,"internet,digi-TV",1.0,,,,,,rõdu,tasuta parkimine,plekk,,,,,,,,,,
1219,uusehitis,2.0,1.0,45.0,6.0,18.0,korteriomand,"videokaamerad,trepikoda lukus,turvasüsteem,turvauks",189000.0,C,"paneelmaja,betoonmaja",2022.0,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",1.0,"mööbel,mööbli võimalus,TV,külmik","kelder,panipaik,garderoob",elektripliit,"telefon,internet,digi-TV",,950.0,,,,jah,rõdu,garaaž,,,,,,,,,,950.0,
1220,vajab kapitaalremonti,3.0,2.0,66.8,2.0,5.0,korteriomand,"trepikoda lukus,turvauks",49900.0,E,paneelmaja,1988.0,keskküte,"wc ja vannituba eraldi,vann,tsentraalne kanalisatsioon,boiler",1.0,mööbli võimalus,kelder,elektripliit,"telefon,internet,digi-TV",,,,,,,rõdu,"kindel parkimiskoht kinnistul,tasuta parkimine",,,,,,,,,,,
1221,"renoveeritud,valmis",4.0,3.0,64.0,8.0,9.0,korteriomand,"trepikoda lukus,turvauks",187000.0,E,kivimaja,1972.0,"põrandaküte,keskküte",dušš,1.0,mööbel,kelder,elektripliit,"internet,digi-TV",3.0,,,,,jah,kinnine rõdu,tasuta parkimine,,,,,,sundventilatsioon,,,,,
1222,,2.0,1.0,48.1,2.0,3.0,korteriomand,,175000.0,energiamärgis määramata,kivimaja,2012.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1223,,4.0,3.0,78.4,3.0,4.0,,,310000.0,energiamärgis määramata,kivimaja,1913.0,,,1.0,,panipaik,,,,,,,,,rõdu,,,,,,,,,,,,
1224,renoveeritud,3.0,2.0,66.5,4.0,5.0,korteriomand,"turvauks,trepikoda lukus",125900.0,E,paneelmaja,1981.0,keskküte,,1.0,"mööbel,mööbli võimalus","kelder,panipaik",elektripliit,"digi-TV,internet",,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,
1225,renoveeritud,2.0,1.0,25.6,2.0,2.0,korteriomand,"trepikoda lukus,turvauks",105900.0,,puitmaja,1926.0,,"pesumasin,dušš,boiler",,"mööbli võimalus,külmik",panipaik,puupliit,"kaabel-TV,telefon",,,,,0,,,,,,,,jah,,,,,,
1226,renoveeritud,1.0,1.0,25.6,2.0,2.0,korteriomand,"trepikoda lukus,turvauks",105900.0,,puitmaja,1926.0,,"pesumasin,dušš,boiler",,külmik,panipaik,puupliit,internet,,,,,0,,,,,,,,jah,,,,,,
1227,vajab renoveerimist,2.0,1.0,49.3,3.0,9.0,korteriomand,trepikoda lukus,94999.0,D,paneelmaja,1983.0,keskküte,vann,,,,,"telefon,internet,digi-TV",,,,,,jah,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
1228,"uus viimistlus,renoveeritud",3.0,2.0,50.0,7.0,9.0,korteriomand,"turvauks,trepikoda lukus",125000.0,E,paneelmaja,,keskküte,"vann,wc ja vannituba eraldi",1.0,,,elektripliit,"digi-TV,internet",4.0,,,,,jah,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
1229,"uus viimistlus,renoveeritud",2.0,2.0,50.0,7.0,9.0,korteriomand,"trepikoda lukus,turvauks",125000.0,E,paneelmaja,,keskküte,"vann,wc ja vannituba eraldi",1.0,,,elektripliit,"internet,digi-TV",4.0,,,,,jah,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
1230,valmis,5.0,3.0,129.7,,,kinnistu,"trepikoda lukus,videokaamerad,turvasüsteem,turvauks,naabrivalve",268000.0,,"plokkmaja,kivimaja",2007.0,"autonoomne küte,gaasiküte,õhksoojuspump,ahjuküte,kamin,põrandaküte","tsentraalne kanalisatsioon,vann,saun,dušš,wc ja vannituba eraldi,boiler,pesumasin",2.0,"eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus","panipaik,garderoob",elektripliit,"internet,digi-TV,telefon",,,,,,,terrass,"kindel parkimiskoht kinnistul,tasuta parkimine",bituumen,4357 m²,,,,"sundventilatsioon,konditsioneer,kliimaseade",,,,,
1231,valmis,2.0,1.0,52.6,3.0,5.0,korteriomand,"turvauks,trepikoda lukus",119000.0,D,paneelmaja,1975.0,keskküte,,1.0,mööbli võimalus,kelder,elektripliit,"digi-TV,internet",6.0,,,,,,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
1232,vajab renoveerimist,2.0,1.0,46.5,3.0,5.0,korteriomand,"naabrivalve,trepikoda lukus,turvauks",103900.0,C,betoonmaja,,keskküte,"vann,tsentraalne kanalisatsioon",1.0,"kinnine hoov,mööbli võimalus","kelder,garderoob",gaasipliit,"internet,digi-TV",2.5,,,,,,rõdu,tasuta parkimine,plekk,,,,,sundventilatsioon,,,,,
1233,san remont tehtud,2.0,,46.1,3.0,5.0,korteriomand,,104800.0,D,kivimaja,,keskküte,,,,kelder,,,,,,,,,rõdu,,,,,,,,,,,,
1234,renoveeritud,3.0,,63.2,5.0,5.0,korteriomand,,170000.0,D,kivimaja,2006.0,,"dušš,pesumasin",,külmik,panipaik,,internet,,,,,,,"kinnine rõdu,klaasitud rõdu",,,,Added_to_price,http://www.arcovara.ee/320054,,,,,,,
1235,san remont tehtud,1.0,,30.5,1.0,5.0,korteriomand,"trepikoda lukus,turvauks",82000.0,E,"betoonmaja,paneelmaja",1988.0,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",1.0,"mööbel,külmik",panipaik,elektripliit,internet,,,,,,,,tasuta parkimine,bituumen,,,,,sundventilatsioon,,,,,
1236,uusehitis,3.0,2.0,79.6,5.0,7.0,korteriomand,"naabrivalve,trepikoda lukus,turvauks",305000.0,C,,2008.0,keskküte,"vann,wc ja vannituba eraldi",,külmik,panipaik,,internet,,,,,0,jah,rõdu,,,,,,jah,,,,,,
1237,uusehitis,3.0,2.0,85.5,2.0,3.0,korteriomand,trepikoda lukus,513000.0,energiamärgis määramata,kivimaja,,elektriküte,"dušš,saun",,,,,"kaabel-TV,internet",,,,,15273101,,,,,,,,,,,,,,
1238,valmis,3.0,2.0,65.6,3.0,9.0,korteriomand,"trepikoda lukus,turvauks,naabrivalve",145000.0,C,paneelmaja,1986.0,keskküte,,1.0,mööbel,,,"digi-TV,internet",,,,,,jah,klaasitud rõdu,tasuta parkimine,,,,,,sundventilatsioon,,,,,
1239,vajab renoveerimist,2.0,1.0,53.4,2.0,9.0,korteriomand,"turvauks,trepikoda lukus",105000.0,D,,,keskküte,"wc ja vannituba eraldi,vann",,mööbel,,,,,,,,,jah,,,,,,,,,,,,,
1240,renoveeritud,2.0,,50.1,1.0,5.0,,"turvauks,trepikoda lukus",109000.0,E,paneelmaja,1967.0,keskküte,"vann,tsentraalne kanalisatsioon,pesumasin,dušš",,"mööbel,mööbli võimalus",garderoob,gaasipliit,"digi-TV,internet,telefon",,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,
1241,"renoveeritud,uus viimistlus,valmis",3.0,2.0,60.1,7.0,9.0,korteriomand,"trepikoda lukus,turvauks",169500.0,E,paneelmaja,1970.0,"põrandaküte,keskküte","dušš,tsentraalne kanalisatsioon",1.0,mööbel,garderoob,elektripliit,"digi-TV,internet",6.0,,,,,jah,"klaasitud rõdu,rõdu",tasuta parkimine,,,,,,sundventilatsioon,,,,,
1242,"valmis,renoveeritud,uus viimistlus",3.0,2.0,60.1,7.0,9.0,korteriomand,"trepikoda lukus,turvauks",169500.0,E,paneelmaja,1970.0,"põrandaküte,keskküte",dušš,1.0,mööbel,garderoob,elektripliit,"digi-TV,internet",6.0,,,,,jah,"rõdu,klaasitud rõdu",tasuta parkimine,,,,,,,,,,,
1243,vajab renoveerimist,3.0,3.0,63.3,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",128000.0,E,kivimaja,1983.0,keskküte,"wc ja vannituba eraldi,vann,pesumasin",,,,elektripliit,,3.0,,100.0,200.0,,,rõdu,,,,,,,,,,,,
1244,,3.0,,61.7,5.0,5.0,korteriomand,"trepikoda lukus,turvauks,turvasüsteem",143000.0,,kivimaja,,keskküte,wc ja vannituba eraldi,1.0,,kelder,,,,,,,,,,,,,,,jah,,,,,,
1245,san remont tehtud,2.0,1.0,49.3,6.0,9.0,korteriomand,trepikoda lukus,128000.0,D,paneelmaja,1984.0,keskküte,"vann,wc ja vannituba eraldi,pesumasin",1.0,mööbel,,,"internet,kaabel-TV",,,,,,jah,,,,,,,jah,,,,,,
1246,valmis,3.0,2.0,78.5,1.0,4.0,korteriomand,,249900.0,C,kivimaja,2016.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1247,renoveeritud,2.0,,43.5,2.0,5.0,korteriomand,trepikoda lukus,138000.0,D,,1966.0,,"pesumasin,dušš",,"TV,külmik",,,"kaabel-TV,internet",,,,,,,,,,,Added_to_price,http://www.arcovara.ee/320053,,,,,,,
1248,vajab renoveerimist,3.0,,46.1,1.0,2.0,korteriomand,trepikoda lukus,27900.0,energiamärgis määramata,kivimaja,1963.0,"ahjuküte,elektriküte",dušš,,TV,,,"kaabel-TV,internet",,,,,,,,,,,Added_to_price,http://www.arcovara.ee/320048,,,,,,,
1249,valmis,1.0,,32.7,1.0,5.0,korteriomand,trepikoda lukus,82000.0,energiamärgis määramata,paneelmaja,1981.0,,vann,,"mööbli võimalus,külmik",,,telefon,,,,,,,"kinnine rõdu,rõdu",,,,Added_to_price,http://www.arcovara.ee/320049,,,,,,,
1250,renoveeritud,2.0,,52.9,3.0,5.0,korteriomand,"turvauks,trepikoda lukus",136000.0,E,,1977.0,,vann,,"TV,külmik",,,"kaabel-TV,internet",,,,,,,"rõdu,kinnine rõdu",,,,Added_to_price,http://www.arcovara.ee/320047,,,,,,,
1251,valmis,1.0,,32.7,5.0,5.0,kinnistu,"turvauks,trepikoda lukus,videokaamerad,naabrivalve",84500.0,,paneelmaja,,keskküte,,,"mööbel,mööbli võimalus",panipaik,elektripliit,,8.0,,,,,,klaasitud rõdu,tasuta parkimine,,,,,,,,,,,
