,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Energiamärgis,Ehitusaasta,Lift,Küte,Sanitaar,Pliit,Vannitube,Turvasüsteem,Materjal,Side,Ventilatsioon,Omandiõigus,Lisanduvad kommunaalkulud,Lisanduvad kommunaalid,Parkimiskohti,tasuta parkimine,Lisaruumid,tasuline parkimine,Tagatisraha,Krunt,Kinnistu number,Maakleritasu,Parkimine,Katus,Piirangud,Lisainfo,maakond
16,"Seebi tn 1,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,70.1,,,8,20,"mööbel,külmik",1150.0,188.00,280.00,C,2020,jah,"keskküte,põrandaküte","dušš,pesumasin",,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",paneelmaja,internet,,,,,,,,,,,,,,,,,harju
17,"Staapli tn 4, Kalamaja,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,55.3,rõdu,4.00,5,6,"mööbel,külmik",850.0,100.00,180.00,C,2018,jah,"keskküte,põrandaküte","dušš,vann,pesumasin",elektripliit,,"turvauks,trepikoda lukus",kivimaja,"telefon,internet,kaabel-TV",,korteriomand,,,,,,,0.00,,,,garaaž,,,,harju
18,"Pirita tee 26f,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,64.9,rõdu,7.40,14,16,"mööbel,külmik",1100.0,,,B,2003,jah,gaasiküte,"dušš,pesumasin",,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
19,"Tatari tn 16, Kesklinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,46.3,rõdu,9.00,4,4,"mööbel,külmik",800.0,,,A,2022,jah,keskküte,"dušš,pesumasin",,,"naabrivalve,videokaamerad,trepikoda lukus",kivimaja,"telefon,internet",,korteriomand,,,,,,,,,2344401,,,,,,harju
20,"Paldiski mnt 19,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,4,2,71.6,,,1,3,"mööbel,külmik",990.0,,,B,2014,,põrandaküte,"vann,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",puitmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
21,"Lasnamäe tn 4a,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,4,3,89.1,rõdu,9.00,3,13,"mööbel,külmik",1590.0,,,B,2018,jah,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,vann",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
23,"Raua tn 59,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,72.2,rõdu,3.20,2,6,"mööbel,külmik",1400.0,,,B,2019,jah,"keskküte,põrandaküte","vann,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",,,,korteriomand,,,,,,,,,,,,,,,harju
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
25,"Lasnamäe tn 4b, Skyline Residence,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,56.4,rõdu,10.60,6,13,"mööbel,külmik",1000.0,,,B,2018,jah,"keskküte,põrandaküte","vann,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",,,,korteriomand,,,,,,,,,,,,,,,harju
26,"Rotermanni tn 14, Rotermann,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,71.0,,,4,7,"mööbel,külmik",1500.0,,,B,2016,jah,keskküte,"dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
