,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Energiamärgis,Ehitusaasta,Lift,Küte,Sanitaar,Pliit,Vannitube,Turvasüsteem,Materjal,Side,Ventilatsioon,Omandiõigus,Lisanduvad kommunaalkulud,Lisanduvad kommunaalid,Parkimiskohti,tasuta parkimine,Lisaruumid,tasuline parkimine,Tagatisraha,Krunt,Kinnistu number,Maakleritasu,Parkimine,Katus,Piirangud,Lisainfo,maakond
426,"Vikerlase tn 8,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,"uus viimistlus,valmis,renoveeritud",1,1,33.0,"rõdu,kinnine rõdu",3.00,7,9,"mööbel,TV,külmik",430.0,50.00,100.00,D,1980,jah,keskküte,"vann,tsentraalne kanalisatsioon,pesumasin",elektripliit,1,"turvauks,trepikoda lukus",paneelmaja,"internet,digi-TV",,korteriomand,,kõik kommunaalteenused,,,panipaik,,430.00,,,516.00,kindel parkimiskoht kinnistul,bituumen,,,harju
427,"Võidujooksu tn 1,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uus viimistlus,3,2,83.0,klaasitud rõdu,,3,7,"kinnine hoov,mööbel,TV,külmik",1000.0,,,energiamärgis määramata,2014,jah,"põrandaküte,keskküte","vann,pesumasin,dušš,wc ja vannituba eraldi",elektripliit,1,"trepikoda lukus,videokaamerad",,,konditsioneer,korteriomand,,,,,,,,,,,"kindel parkimiskoht kinnistul,tasuta parkimine",,,,harju
428,"Võidujooksu tn,Kadriorg, Tallinn, Harju maakond",2022-10-24,uus viimistlus,3,2,83.0,klaasitud rõdu,,3,7,"kinnine hoov,mööbel,TV,külmik",1000.0,,,energiamärgis määramata,2014,jah,"põrandaküte,keskküte","vann,pesumasin,dušš,wc ja vannituba eraldi",elektripliit,1,"trepikoda lukus,videokaamerad",,,konditsioneer,korteriomand,,,,,,,,,,,"kindel parkimiskoht kinnistul,tasuta parkimine",,,,harju
429,"Mustamäe tee 159,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,55.4,,,13,16,,540.0,,,C,,,,,,,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
430,"Manufaktuuri tn 14-3, Manufaktuuri,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,37.1,,,1,7,,600.0,127.00,127.00,energiamärgis määramata,2019,jah,,,,,,,,,,,,,,,,,,12293950,,,,,,harju
431,"Rae tn 36,Paldiski linn, Harju maakond",2022-10-24,valmis,1,1,32.3,,,4,5,külmik,300.0,,,,1987,,keskküte,"dušš,pesumasin",elektripliit,,"naabrivalve,trepikoda lukus",paneelmaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
432,"Padriku 7/6,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,94.1,,,3,4,"mööbel,TV,külmik",750.0,,,,2006,,"keskküte,gaasiküte","dušš,vann,pesumasin",,1,"turvauks,trepikoda lukus",paneelmaja,"kaabel-TV,internet",,korteriomand,,,,,kelder,,,,,,,,,,harju
433,"Sõpruse pst 212, HEA ASUKOHT MUSTAMÄEL,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,47.2,rõdu,3.00,5,5,külmik,490.0,,,C,1968,,keskküte,"dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
434,"Luha tn 32, Uus Maailm,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,san remont tehtud,2,1,59.0,,,2,3,,490.0,,,energiamärgis määramata,,,,,,1,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
435,"Jahu tn 6/2,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,64.4,rõdu,8.50,4,4,"mööbel,külmik",990.0,,,B,2020,,"keskküte,põrandaküte","pesumasin,dušš",,,"turvauks,trepikoda lukus",kivimaja,kaabel-TV,,korteriomand,,,,,,,,,15340250,,,,,,harju
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
437,"Mäepealse tn 28,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,40.6,rõdu,,3,6,,550.0,,,D,2013,,,,elektripliit,1,,kivimaja,,,korteriomand,,,,,panipaik,,,,0,,,,,,harju
438,"Päikese pst 55, Pääsküla,Nõmme linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,1,24.0,,,1,1,,470.0,,,energiamärgis määramata,,,,,elektripliit,1,,kivimaja,,,,,,,,,,,,,,,,,,harju
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
440,"Sõpruse pst 196, TUBA 2 TOAL.KORTERIST,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,,1,1,18.0,,,2,9,mööbel,250.0,,,,1970,jah,,,,,,paneelmaja,,,korteriomand,,,,,,,250.00,,,,,,,,harju
441,"Kalaranna tn 8/2, Põhja-Tallinn,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,59.8,rõdu,5.10,3,5,"mööbel,külmik",900.0,,160.00,B,2022,jah,,"pesumasin,dušš,tsentraalne kanalisatsioon",elektripliit,1,"trepikoda lukus,turvauks",plokkmaja,"internet,digi-TV",sundventilatsioon,korteriomand,,kõik kommunaalteenused,,,garderoob,,900.00,,,900.00,tasuline parkimine,,,,harju
442,"Tanuma tee,Neeme küla, Jõelähtme vald, Harju maakond",2022-10-24,uus viimistlus,1,,26.0,,,,1,"mööbel,külmik",480.0,,,energiamärgis määramata,,,õhksoojuspump,"boiler,dušš,pesumasin",elektripliit,,,puitmaja,,,kinnistu,Added_to_price,"elekter,vesi",,,,,,,,480.00,,,,,harju
443,"Punane tn 21,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,"renoveeritud,uus viimistlus",3,2,43.3,klaasitud rõdu,3.00,7,9,külmik,630.0,,,E,1970,jah,keskküte,"tsentraalne kanalisatsioon,pesumasin",elektripliit,1,"trepikoda lukus,turvauks",paneelmaja,"internet,digi-TV",,korteriomand,,"elekter,vesi,kõik kommunaalteenused,küte",,,,,,,,,tasuta parkimine,rullmaterjal,,,harju
444,"K. Kärberi tn 47, HEA PAKKUMINE,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,1,33.0,rõdu,4.00,7,9,"mööbel,külmik",360.0,60.00,120.00,D,1985,,keskküte,"dušš,vann",,,"naabrivalve,turvauks,trepikoda lukus",paneelmaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
445,"Õismäe tee 25,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,52.5,,,1,5,mööbel,630.0,,,energiamärgis määramata,,,,"wc ja vannituba eraldi,vann,pesumasin",,,,,,,kinnistu,,,,,,,,,,,,,,,harju
446,"Suur-Patarei tn 21b,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,48.4,,,1,3,,800.0,,,energiamärgis määramata,,,gaasiküte,"dušš,vann,pesumasin",,,"naabrivalve,trepikoda lukus",puitmaja,kaabel-TV,,korteriomand,,,,,,,,1007 m²,26866701,,,,,,harju
447,"Kopliranna tn 26,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,39.2,,,2,5,mööbel,500.0,,,E,1987,,keskküte,"dušš,boiler,pesumasin",gaasipliit,,"turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,garderoob,,,2308 m²,10497701,,,,,,harju
448,"Võidujooksu tn 7,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,"valmis,uusehitis,uus viimistlus",1,,35.0,rõdu,3.50,1,7,"mööbel,külmik",530.0,,,,2020,jah,"keskküte,põrandaküte","tsentraalne kanalisatsioon,dušš,pesumasin",elektripliit,,"trepikoda lukus,turvauks,turvasüsteem",,"telefon,digi-TV,internet",,korteriomand,,,,,,,,,,,"kindel parkimiskoht kinnistul,tasuta parkimine",,,,harju
449,"Koorti 6,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,,1,,32.9,,,3,9,,425.0,,,energiamärgis määramata,,,,,elektripliit,1,,paneelmaja,,,korteriomand,,,,,,,,,,,,,,,harju
450,"Pirita tee 26, Pirita,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,4,3,122.2,rõdu,,4,8,,2900.0,,,B,2015,,,,elektripliit,2,,kivimaja,,,korteriomand,,,,,panipaik,,,,,,,,,,harju
451,"Pirita tee 26,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,4,3,122.2,rõdu,,4,8,,2900.0,,,B,2015,,,,elektripliit,2,,kivimaja,,,korteriomand,,,,,panipaik,,,,,,,,,,harju
452,"Pirita tee 26, Pirita,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,66.4,rõdu,,4,8,,990.0,,,B,,,,,elektripliit,1,,kivimaja,,,korteriomand,,,,,panipaik,,,,,,,,,,harju
453,"Pirita tee 26,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,66.4,rõdu,,4,8,,990.0,,,B,,,,,elektripliit,1,,kivimaja,,,korteriomand,,,,,panipaik,,,,,,,,,,harju
454,"Karu tn 39, Sadama,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,2,67.0,,,5,7,,600.0,,,D,1990,,,,,1,,kivimaja,,,korteriomand,,,,,,,,,0,,,,,,harju
455,"Mäepealse tn 28,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,45.2,,,2,6,,500.0,,,C,2013,,,,,1,,kivimaja,,,korteriomand,,,,,,,,,0,,,,,,harju
456,"Sepa tn 24,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,76.1,rõdu,5.00,3,5,"mööbel,külmik",1350.0,,,B,2019,jah,"keskküte,põrandaküte","vann,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
458,"Kiisa tn 8, Kitseküla,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,64.4,,,1,3,"mööbel,külmik",600.0,,,,1990,,,"dušš,pesumasin",,,videokaamerad,kivimaja,,,,,,,,,,,,7514150,,,,,,harju
459,"Ilmarise tn 5,Nõmme linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,1,21.6,,,4,5,"mööbel,mööbli võimalus,külmik",350.0,,,G,1972,,keskküte,,elektripliit,1,,,"telefon,internet,digi-TV",,,,,,,,,350.00,,,350.00,tasuta parkimine,,,,harju
460,"Vindi tn 13, Lilleküla,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,1,1,27.8,,,5,5,,400.0,,,E,1987,,,,gaasipliit,1,,paneelmaja,,,korteriomand,,,,,,,,,,,,,,,harju
461,"Õle tn,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,san remont tehtud,1,,25.0,,,1,2,külmik,450.0,,,,1920,,elektriküte,"boiler,dušš,pesumasin",elektripliit,,trepikoda lukus,puitmaja,,,,,,,,,,,,,,tasuta parkimine,,,,harju
462,"Kalmistu tee 7,Nõmme linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,81.6,terrass,,1,2,,700.0,,,E,,,elektriküte,"dušš,vann,pesumasin",,1,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
463,"Õismäe tee 23,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,52.5,,,5,5,"mööbel,külmik",520.0,70.00,150.00,,1975,,keskküte,"wc ja vannituba eraldi,vann,pesumasin",elektripliit,,,paneelmaja,,,korteriomand,,,,,,,520.00,,,,,,,,harju
464,"Tartu mnt 84a,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uus viimistlus,1,1,32.0,,,13,14,"mööbel,külmik",570.0,110.00,170.00,F,2006,jah,keskküte,"dušš,wc ja vannituba eraldi,pesumasin",,1,"turvauks,trepikoda lukus",kivimaja,internet,kliimaseade,,,,,,,,,,,,,,,,harju
465,"Kopli tn 98b,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,40.5,,,3,5,"mööbel,külmik",500.0,80.00,170.00,,1968,,keskküte,"dušš,pesumasin",gaasipliit,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,500.00,,,,,,,,harju
466,"Pelguranna tn 9,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,36.5,,,1,4,"mööbel,külmik",500.0,80.00,180.00,D,1961,,keskküte,"dušš,pesumasin",gaasipliit,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,"telefon,internet,kaabel-TV",,korteriomand,,,,,,,500.00,,,,,,,,harju
467,"Tehnika tn 127,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,52.2,,,2,3,"mööbel,külmik",650.0,,,,1937,,"keskküte,gaasiküte,kamin,põrandaküte","dušš,pesumasin",gaasipliit,,"turvauks,trepikoda lukus",,"kaabel-TV,internet",,,,,,,,,650.00,,,,,,,,harju
468,"Nelgi põik 2,Viimsi alevik, Harju maakond",2022-10-24,uusehitis,1,,35.4,,,1,2,,590.0,,,A,2022,jah,põrandaküte,dušš,,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,jah,panipaik,,,,0,,,,,,harju
469,"Õismäe tee 146, Väike-Õismäe,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,,2,,49.3,,,8,9,,480.0,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,harju
470,"J. Sütiste tee 15,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,,2,,43.6,,,5,5,,550.0,,,D,1971,,,,,,,,,,,,,,,,,,,,,,,,,harju
471,"Narva mnt 5, Sadama,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,1,,46.6,,,4,8,,650.0,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,harju
472,"Wismari tn 24/1, Kassisaba,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,1,,32.2,,,2,3,,550.0,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,harju
473,"Anni tn 12,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,1,,32.6,rõdu,,8,9,"tööstusvool,külmik",350.0,,,E,1982,,,"pesumasin,dušš",,,,,,,korteriomand,Added_to_price,,,,,,,,,,,,,http://www.arcovara.ee/320237,harju
474,"Läänemere tee 27,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,,46.4,kinnine rõdu,,1,5,"mööbel,tööstusvool,külmik",500.0,,,energiamärgis määramata,,,,"vann,dušš,pesumasin",,,trepikoda lukus,,,,korteriomand,Added_to_price,,,,,,,,,,,,,http://www.arcovara.ee/320236,harju
475,"Sõle tn 17,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,43.7,rõdu,3.00,3,5,"mööbel,külmik",500.0,,,D,1967,,keskküte,"vann,pesumasin",gaasipliit,,turvauks,paneelmaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
476,"Angerja tn 10,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uus viimistlus,3,2,39.7,,,4,4,"mööbel,Lemmikloomad lubatud,külmik",650.0,55.00,190.00,E,1962,,keskküte,"dušš,pesumasin,boiler,tsentraalne kanalisatsioon",elektripliit,1,trepikoda lukus,kivimaja,"digi-TV,internet",,korteriomand,,kõik kommunaalteenused,,,"panipaik,garderoob",,,,,780.00,tasuta parkimine,,,,harju
477,"Tedre tn 27, Lilleküla,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,,2,,47.0,,,5,5,,650.0,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,harju
478,"Angerja tn 10,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uus viimistlus,2,1,39.7,,,4,4,"mööbel,Lemmikloomad lubatud,külmik",650.0,55.00,190.00,E,1962,,keskküte,"boiler,dušš,tsentraalne kanalisatsioon,pesumasin",elektripliit,1,trepikoda lukus,kivimaja,"digi-TV,internet",,korteriomand,,kõik kommunaalteenused,,,"panipaik,garderoob",,,,,780.00,tasuta parkimine,,,,harju
479,"Kaupmehe tn 19, Südalinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"valmis,uus viimistlus,uusehitis",2,1,39.0,,4.00,4,7,"mööbel,TV,külmik",850.0,,,,2021,jah,"põrandaküte,keskküte",,,1,,"paneelmaja,kivimaja",,,,,,,,,,,,,850.00,,,,,harju
480,"Mustamäe tee 106,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,2,60.5,rõdu,4.00,2,5,"kinnine hoov,mööbel",590.0,,,,,,keskküte,,elektripliit,1,"turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,,,,,,,,tasuta parkimine,,,,harju
481,"Kolde pst 96,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,"renoveeritud,valmis",1,1,30.6,rõdu,,3,5,"TV,külmik",430.0,,,C,,,,"dušš,wc ja vannituba eraldi,tsentraalne kanalisatsioon,pesumasin,vann",elektripliit,1,,paneelmaja,"digi-TV,internet","sundventilatsioon,konditsioneer",kinnistu,,,,,,,,,,,tasuta parkimine,,,,harju
482,"Virbi tn 4,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,,67.5,rõdu,,13,14,"mööbel,külmik",620.0,,,,1992,jah,keskküte,"wc ja vannituba eraldi,tsentraalne kanalisatsioon,vann",elektripliit,,"trepikoda lukus,turvamees,turvauks",kivimaja,"digi-TV,internet",,korteriomand,,kõik kommunaalteenused,,,,,620.00,,,620.00,tasuta parkimine,bituumen,,,harju
483,"Peetri tn 7, Kalamaja,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,23.9,,,3,3,"mööbel,külmik",577.0,,,energiamärgis määramata,2021,jah,keskküte,"dušš,pesumasin",elektripliit,,trepikoda lukus,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
484,"Kalaranna tn 8/3,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,77.2,rõdu,10.20,3,4,"mööbel,külmik",1700.0,,,B,2022,jah,"põrandaküte,keskküte,kombineeritud küte","pesumasin,vann,dušš",elektripliit,1,"trepikoda lukus,turvauks,videokaamerad",,"internet,digi-TV",sundventilatsioon,korteriomand,,kõik kommunaalteenused,,,,,1700.00,,,2040.00,garaaž,,,,harju
485,"Kotzebue tn 8,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,2,50.0,,,1,2,"mööbel,külmik",600.0,,,energiamärgis määramata,,,"keskküte,gaasiküte",vann,elektripliit,1,"turvauks,trepikoda lukus",puitmaja,internet,,,Added_to_price,"elekter,vesi,küte",1,jah,kelder,,,,,,,,,,harju
486,"Kotzebue tn 8,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,1,26.0,,,1,2,"mööbel,külmik",450.0,,,energiamärgis määramata,,,"keskküte,gaasiküte",,elektripliit,1,"trepikoda lukus,turvauks",puitmaja,internet,,,Added_to_price,"küte,elekter,vesi",1,,kelder,jah,,,,,,,,,harju
487,"Lõime tn 15, Pelguranna,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,49.8,,,1,3,,600.0,,,D,1949,,,,,1,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
488,"Seebi tn 1, Tondi,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,37.7,,,13,20,,780.0,,,C,2020,,,,elektripliit,1,,paneelmaja,,,korteriomand,,,,,,,,,0,,,,,,harju
489,"Seebi tn 1, Tondi,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,37.7,,,14,20,,810.0,,,C,2020,,,,elektripliit,1,,paneelmaja,,,korteriomand,,,,,,,,,0,,,,,,harju
490,"Ehitajate tee 13,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,1,1,48.0,"klaasitud rõdu,rõdu",,9,14,"mööbel,külmik",470.0,,,energiamärgis määramata,,jah,keskküte,"tsentraalne kanalisatsioon,dušš,vann,pesumasin",elektripliit,1,"turvauks,trepikoda lukus,naabrivalve",kivimaja,"digi-TV,internet",,korteriomand,,,,,,,,,,,tasuta parkimine,,,,harju
491,"Rae tn 1,Paldiski linn, Harju maakond",2022-10-24,renoveeritud,1,,32.8,rõdu,,5,5,"mööbel,külmik",270.0,40.00,90.00,D,1998,,keskküte,"dušš,pesumasin",elektripliit,,"turvauks,trepikoda lukus",paneelmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,0,,,,,,harju
492,"Pärnu mnt 110,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,39.3,,,11,15,"mööbel,külmik",650.0,,,D,2006,jah,"keskküte,põrandaküte","vann,pesumasin",,,"turvauks,trepikoda lukus",kivimaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
493,"Rähni tn 11,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,"renoveeritud,uus viimistlus,valmis",2,1,56.5,,,3,3,"kinnine hoov,mööbel,külmik",700.0,,,energiamärgis määramata,1930,,"elektriküte,kamin,põrandaküte","tsentraalne kanalisatsioon,boiler,dušš",elektripliit,1,"trepikoda lukus,turvauks,naabrivalve",puitmaja,"digi-TV,internet",,korteriomand,,kõik kommunaalteenused,,,"panipaik,garderoob",,,,,700.00,tasuta parkimine,plekk,,,harju
494,"Tina tn 7,Kadriorg, Tallinn, Harju maakond",2022-10-24,valmis,3,2,72.1,rõdu,,3,5,,1400.0,,,energiamärgis määramata,,,,,elektripliit,1,,,,,korteriomand,,,,,panipaik,,,,0,,,,,,harju
495,"Kivimäe tn 10,Nõmme linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,1,,22.0,,,2,2,"mööbli võimalus,külmik",500.0,,,A,2022,,õhksoojuspump,"dušš,pesumasin",,,trepikoda lukus,,,,kinnistu,,,,,,,,,0,,,,,,harju
496,"Kivi tn 1,Paldiski linn, Harju maakond",2022-10-24,renoveeritud,1,1,32.0,,,5,5,mööbli võimalus,250.0,40.00,75.00,D,,,keskküte,"dušš,tsentraalne kanalisatsioon,pesumasin",elektripliit,1,trepikoda lukus,paneelmaja,,,korteriomand,,kõik kommunaalteenused,,,,,250.00,,,300.00,tasuta parkimine,,,,harju
497,"Lehiku tee 9,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,,62.2,terrass,,1,3,"eraldi sissepääs,TV,külmik",680.0,,,E,2006,,"gaasiküte,keskküte","pesumasin,vann,saun,dušš",,,"turvasüsteem,trepikoda lukus",kivimaja,"telefon,kaabel-TV,internet",,kinnistu,Added_to_price,,,,,,,3999 m²,,,,,,http://www.arcovara.ee/320229,harju
498,"C. R. Jakobsoni tn 17,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"valmis,renoveeritud",2,1,50.0,rõdu,,3,7,"mööbel,TV,külmik",600.0,100.00,180.00,,2006,jah,keskküte,,elektripliit,1,"videokaamerad,turvasüsteem,trepikoda lukus,naabrivalve,turvauks",kivimaja,"internet,digi-TV,telefon",sundventilatsioon,,,kõik kommunaalteenused,,,,,600.00,,,600.00,,,,,harju
499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
500,"Pärnu mnt 43b,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,55.0,rõdu,9.80,3,5,"mööbel,külmik",1700.0,,,B,2022,jah,"keskküte,põrandaküte","dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,1553401,,,,,,harju
501,"Tatari tn 27, Tatari,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,2,,55.0,,,4,5,,650.0,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,harju
502,"Toom-Rüütli tn 4, Vanalinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,6,3,270.0,,,1,3,külmik,2400.0,,,energiamärgis määramata,1963,,"elektriküte,kamin","dušš,wc ja vannituba eraldi,vann,saun,boiler,pesumasin",,,"turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
503,"Sõpruse pst 159b,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,46.1,,,4,8,mööbel,450.0,,,,2004,jah,keskküte,,elektripliit,1,"trepikoda lukus,turvauks",kivimaja,,,korteriomand,,,,,,,,,,,tasuta parkimine,,,,harju
504,"Käo tn 22,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,4,3,129.6,rõdu,22.80,1,2,"mööbel,külmik",2000.0,,,B,2015,,"gaasiküte,põrandaküte","dušš,wc ja vannituba eraldi,vann,saun",,,"naabrivalve,turvauks",kivimaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
505,"Rataskaevu tn 9,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,,49.0,,,1,5,"TV,külmik",650.0,,,E,1710,,keskküte,"dušš,pesumasin",,,trepikoda lukus,puitmaja,"telefon,kaabel-TV,internet",kliimaseade,korteriomand,Added_to_price,,,,,,,49 m²,,,,,,http://www.arcovara.ee/320226,harju
506,"Mustamäe tee 3a,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,43.1,,,11,14,,690.0,,,energiamärgis määramata,2017,,keskküte,"dušš,wc ja vannituba eraldi,pesumasin",,1,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,internet,kliimaseade,,,,,,,,,8109 m²,,,,,,,harju
507,"Vahepere tn 5,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,100.5,rõdu,,1,3,,1150.0,,,F,2005,,,,elektripliit,2,,kivimaja,,,korteriomand,,,,,panipaik,,,,,,,,,,harju
508,"Tohu tn 5, Kose,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,1,1,37.2,,,1,3,,550.0,,,energiamärgis määramata,2011,,,,elektripliit,1,,kivimaja,,,korteriomand,,,,,,,,,0,,,,,,harju
509,"Pikk tn 36,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,56.5,,,4,6,"mööbel,külmik",1390.0,,,,1850,jah,,"dušš,pesumasin",elektripliit,1,turvauks,kivimaja,internet,,,,,,,,,,,,,,,,,harju
