,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Katus,Küte,Pliit,Side,Ventilatsioon,Rõdu,Rõdu pind,Omandiõigus,Lisanduvad kommunaalid,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Maakleritasu,Kinnistu number,Parkimine,Lisaruumid,Sanitaar,Lisainfo,Piirangud,Krunt,Lisanduvad kommunaalkulud,tasuline parkimine,tasuta parkimine,maakond
0,"Kaupmehe tn 14, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,"uus viimistlus,uusehitis,valmis",3,2,1,87.3,2,6,"trepikoda lukus,turvasüsteem,turvauks",mööbel,1175.0,energiamärgis määramata,kivimaja,1936,jah,plekk,keskküte,elektripliit,"internet,telefon,digi-TV",konditsioneer,,,,,,,,,,,,,,,,,,,harju
1,"N/A, N/A",N/A,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
2,"Pagi tn 5, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,1,45.8,4,4,"naabrivalve,videokaamerad,turvauks,trepikoda lukus,turvasüsteem","kinnine hoov,mööbel,mööbli võimalus,Lemmikloomad lubatud,TV,külmik",650.0,B,kivimaja,2022,jah,pvc,"keskküte,põrandaküte",elektripliit,"telefon,internet,digi-TV","sundventilatsioon,kliimaseade",rõdu,10.00,korteriomand,kõik kommunaalteenused,60.00,120.00,650.00,780.00,8650050,"tasuta parkimine,kindel parkimiskoht kinnistul","kelder,panipaik,garderoob","dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,,harju
3,"Tuvi tn 12/1, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,1,93.9,2,8,"turvamees,trepikoda lukus,turvauks","mööbel,külmik",1000.0,D,betoonmaja,2002,jah,rullmaterjal,"keskküte,põrandaküte",elektripliit,"internet,digi-TV,telefon",sundventilatsioon,klaasitud rõdu,8.20,korteriomand,"küte,elekter,kõik kommunaalteenused,vesi",135.00,350.00,1000.00,1200.00,,parkimiskoht maa-aluses garaažis,panipaik,"saun,tsentraalne kanalisatsioon,wc ja vannituba eraldi,pesumasin,dušš",,,,,,,harju
4,"Lai tn 11, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,,2,1,1,34.7,3,3,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",600.0,,kivimaja,,,plekk,gaasiküte,elektripliit,"digi-TV,telefon,internet",,,,korteriomand,"gaas,elekter,kõik kommunaalteenused,vesi,küte",,,600.00,720.00,25654501,,garderoob,"dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,,harju
5,"Kukeseene tee, Patika küla, Rae vald, Harju maakond","Patika küla, Rae vald, Harju maakond",2023-01-13,renoveeritud,3,2,1,80.0,1,3,"turvauks,trepikoda lukus,naabrivalve","eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus,Lemmikloomad lubatud,TV,külmik",390.0,C,kivimaja,2002,,kivikatus,"ahjuküte,õhksoojuspump,kamin,õhk-vesi soojuspump,põrandaküte",elektripliit,"digi-TV,telefon,internet",,,,korteriomand,kõik kommunaalteenused,50.00,120.00,390.00,,4418302,"kindel parkimiskoht kinnistul,tasuta parkimine","kelder,panipaik,garderoob","tsentraalne kanalisatsioon,dušš,pesumasin",,,,,,,harju
6,"Kiikri tn 2/2, Kadriorg, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,5,4,,174.1,5,5,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",3800.0,B,kivimaja,2018,jah,,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,36.40,korteriomand,,,,,,,,panipaik,"dušš,wc ja vannituba eraldi,vann,saun,pesumasin",,,,,,,harju
7,"Põhja pst 21/2, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,,62.8,3,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",900.0,B,kivimaja,2009,jah,,keskküte,elektripliit,"telefon,internet",,rõdu,12.20,korteriomand,,,,,,,,,"dušš,vann,pesumasin",,,,,,,harju
8,"Kalaranna tn 8/9, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,,81.0,4,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",2900.0,B,kivimaja,2022,jah,,"keskküte,põrandaküte",,internet,,rõdu,15.80,korteriomand,,170.00,270.00,,,,,,"dušš,wc ja vannituba eraldi,vann,pesumasin",,,,,,,harju
9,"Suur-Sepa tee 2, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2023-01-13,,2,1,1,56.3,1,3,,,575.0,energiamärgis määramata,kivimaja,,,,,elektripliit,,,,,,,,,,,,,panipaik,,,,,,,,harju
10,"Kalaranna tn 8/11, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,,72.5,3,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1500.0,B,kivimaja,2022,jah,,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,4.20,korteriomand,,,,,,,,,"dušš,pesumasin",,,,,,,harju
11,"Toom-Kuninga tn 15, Tõnismägi, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,1,1,,36.2,5,8,"naabrivalve,trepikoda lukus","mööbel,külmik",700.0,B,kivimaja,2020,jah,,"keskküte,põrandaküte",,,,,,korteriomand,,,,,,,,,"dušš,pesumasin",,,,,,,harju
12,"N/A, N/A",N/A,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
13,"A. Lauteri tn 8, Maakri, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,,64.5,5,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",620.0,E,kivimaja,1959,,,keskküte,,"telefon,kaabel-TV,internet",,,,korteriomand,,100.00,250.00,,,,,,"dušš,vann,boiler,pesumasin,wc ja vannituba eraldi",,,,,,,harju
14,"3. liin 5, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,3,2,,51.3,2,2,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",950.0,C,puitmaja,2021,,,keskküte,,,,,,korteriomand,,,,,,,,panipaik,"dušš,pesumasin",,,,,,,harju
15,"Vana-Kalamaja tn 16, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,3,2,,65.0,3,5,"turvauks,trepikoda lukus","mööbel,külmik",790.0,D,kivimaja,1992,,,"keskküte,gaasiküte",elektripliit,"telefon,internet",,rõdu,10.00,,,110.00,190.00,,,,,,"dušš,vann,pesumasin",,,,,,,harju
16,"Mereranna tee 2, Haabneeme alevik, Viimsi vald, Harju maakond","Haabneeme alevik, Viimsi vald, Harju maakond",2023-01-13,valmis,4,3,1,95.1,5,5,"turvauks,trepikoda lukus","mööbel,külmik",750.0,D,kivimaja,1985,,,keskküte,elektripliit,"internet,telefon,digi-TV",,"rõdu,klaasitud rõdu",,korteriomand,"elekter,kõik kommunaalteenused,küte,vesi",,,750.00,900.00,3735702,tasuta parkimine,,"saun,vann,tsentraalne kanalisatsioon,dušš,pesumasin",,,,,,,harju
17,"Toom-Kuninga tn 15, Uus Maailm, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,,65.5,2,8,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1050.0,B,kivimaja,2020,jah,,"keskküte,põrandaküte",,"kaabel-TV,internet",,,,korteriomand,,90.00,160.00,,,,,panipaik,"vann,pesumasin",,,,,,,harju
18,"Raua tn 59, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,,72.2,2,6,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1300.0,B,,2019,jah,,"keskküte,põrandaküte",,,,rõdu,3.20,korteriomand,,,,,,,,panipaik,"vann,pesumasin",,,,,,,harju
19,"Olevimägi 16, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2023-01-13,san remont tehtud,2,1,1,91.0,3,3,,"eraldi sissepääs,kinnine hoov,mööbel",800.0,,kivimaja,,,,elektriküte,,,,,,,,195.00,283.00,1600.00,,,parkimiskoht puudub,panipaik,,,,,,,,harju
20,"Lai tn 11, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2023-01-13,,2,1,1,34.7,3,3,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",600.0,,kivimaja,,,plekk,gaasiküte,elektripliit,"internet,digi-TV,telefon",,,,korteriomand,"vesi,küte,gaas,elekter,kõik kommunaalteenused",,,600.00,720.00,25654501,,garderoob,"tsentraalne kanalisatsioon,pesumasin,dušš",,,,,,,harju
21,"N/A, N/A",N/A,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
22,"Roosikrantsi tn 16, Südalinn, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,,3,,,92.2,3,6,,,825.0,energiamärgis määramata,kivimaja,1935,,,,,,,,,korteriomand,,,,,,,,panipaik,,,,,,,,harju
23,"Nelgi põik 2, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2023-01-13,uusehitis,2,1,,60.0,1,2,"turvauks,trepikoda lukus","mööbel,külmik",750.0,A,kivimaja,2022,,,"keskküte,põrandaküte",elektripliit,"kaabel-TV,internet",,rõdu,9.00,korteriomand,,,,,,,,panipaik,"dušš,pesumasin",,,,,,,harju
24,"Hansu tn 4/2, Tiskre, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,,2,1,1,42.7,2,2,,,500.0,energiamärgis määramata,kivimaja,2007,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
25,"Volmre tn 23, Vikimõisa, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,,45.9,3,3,"turvauks,trepikoda lukus","mööbel,külmik",690.0,A,kivimaja,2022,jah,,"keskküte,põrandaküte",,kaabel-TV,,rõdu,9.10,korteriomand,,,,690.00,,,,panipaik,"dušš,pesumasin",,,,,,,harju
26,"Nelgi põik 2, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2023-01-13,uusehitis,1,,,35.4,1,2,"naabrivalve,turvauks,trepikoda lukus",,550.0,A,kivimaja,2022,jah,,põrandaküte,,,,,,korteriomand,,,,,,0,,"panipaik,garderoob",dušš,,,,,,,harju
27,"Vikerlase tn 10, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,2,1,1,50.0,2,9,"naabrivalve,trepikoda lukus,turvauks","mööbel,TV,külmik",600.0,energiamärgis määramata,paneelmaja,,jah,rullmaterjal,keskküte,,"digi-TV,internet,telefon",,,,korteriomand,kõik kommunaalteenused,90.00,180.00,650.00,650.00,,tasuta parkimine,"panipaik,garderoob","wc ja vannituba eraldi,pesumasin,tsentraalne kanalisatsioon,vann",,,,,,,harju
28,"Liivaoja tn 2, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,,60.0,4,5,"turvauks,trepikoda lukus","mööbel,külmik",800.0,energiamärgis määramata,,2006,jah,,keskküte,elektripliit,"kaabel-TV,internet",,,,korteriomand,,,,0.00,,,,panipaik,"dušš,pesumasin",,,,,,,harju
29,"Jahu tn 1, Kalarand, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,,100.3,5,5,"turvauks,trepikoda lukus","mööbel,külmik",1600.0,energiamärgis määramata,,,jah,,"keskküte,kamin",elektripliit,"telefon,internet",,,,korteriomand,,,,0.00,,,,,"dušš,vann,saun,pesumasin,wc ja vannituba eraldi",,,,,,,harju
30,"Tartu mnt 18, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,2,1,,59.2,10,12,"videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",750.0,,kivimaja,,jah,,keskküte,elektripliit,internet,,,,korteriomand,,150.00,250.00,,,,,,"dušš,pesumasin",,,,,,,harju
31,"Kivila tn 21, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,,1,32.8,7,9,"naabrivalve,trepikoda lukus,turvauks","mööbel,külmik",400.0,C,paneelmaja,1983,jah,,keskküte,elektripliit,internet,,kinnine rõdu,3.00,korteriomand,"vesi,elekter,küte,kõik kommunaalteenused",50.00,100.00,400.00,400.00,,tasuta parkimine,,"pesumasin,vann,tsentraalne kanalisatsioon",,,,,,,harju
32,"K. Kärberi tn 36, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,,1,32.8,9,9,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",450.0,,paneelmaja,1984,jah,,keskküte,elektripliit,internet,sundventilatsioon,klaasitud rõdu,,korteriomand,"kõik kommunaalteenused,küte,vesi,elekter",50.00,100.00,450.00,450.00,,tasuta parkimine,garderoob,"vann,tsentraalne kanalisatsioon,pesumasin",,,,,,,harju
33,"Paepargi tn 50/1, Paepargi, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,,63.9,10,14,"turvauks,trepikoda lukus",külmik,670.0,B,paneelmaja,2020,jah,,"keskküte,põrandaküte",,,,rõdu,4.70,korteriomand,,,,,,,,panipaik,dušš,,,,,,,harju
34,"J. Köleri tn 13, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2023-01-13,valmis,2,1,1,57.2,1,5,"turvasüsteem,trepikoda lukus","mööbel,Lemmikloomad lubatud,külmik",730.0,D,kivimaja,2004,,rullmaterjal,"põrandaküte,keskküte",elektripliit,"internet,digi-TV,telefon",,rõdu,4.20,korteriomand,"vesi,küte,kõik kommunaalteenused,elekter",100.00,200.00,1500.00,,15713401,parkimiskoht puudub,,"tsentraalne kanalisatsioon,dušš,pesumasin",,,,,,,harju
35,"Pirita tee 28a, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,2,178.0,3,,"turvauks,turvasüsteem,videokaamerad,trepikoda lukus","mööbel,mööbli võimalus",1700.0,D,,,,,gaasiküte,elektripliit,"digi-TV,internet",konditsioneer,rõdu,,korteriomand,kõik kommunaalteenused,,,3000.00,,,parkimiskoht maa-aluses garaažis,panipaik,"saun,vann,pesumasin,dušš",,,,,,,harju
36,"Staadioni tn 1, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,1,72.0,5,6,"trepikoda lukus,videokaamerad",,1100.0,B,kivimaja,2017,jah,,"põrandaküte,keskküte",,,sundventilatsioon,rõdu,15.00,,,,,,,,parkimiskoht garaažis,,,,,,,,,harju
37,"Lembitu tn 8, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,"renoveeritud,valmis,uus viimistlus",2,1,1,52.8,4,6,"naabrivalve,trepikoda lukus,turvauks","kinnine hoov,mööbel,TV,külmik",850.0,D,kivimaja,,,,keskküte,elektripliit,"digi-TV,internet",sundventilatsioon,rõdu,1.00,korteriomand,kõik kommunaalteenused,35.00,150.00,850.00,,,,,"vann,wc ja vannituba eraldi,pesumasin",,,,,,,harju
38,"Järveotsa tee 2, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,1,1,30.0,1,9,"trepikoda lukus,turvauks","TV,külmik",350.0,,paneelmaja,,,rullmaterjal,keskküte,elektripliit,"internet,telefon",sundventilatsioon,rõdu,,korteriomand,kõik kommunaalteenused,,,350.00,350.00,,tasuta parkimine,"kelder,panipaik","tsentraalne kanalisatsioon,dušš,pesumasin,wc ja vannituba eraldi",,,,,,,harju
39,"Mulla tn 6a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,2,1,1,59.4,2,3,,,575.0,energiamärgis määramata,,1935,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
40,"F. R. Kreutzwaldi tn 10, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,3,2,1,151.5,,,"turvauks,trepikoda lukus","kinnine hoov,mööbel,TV,külmik",1800.0,energiamärgis määramata,kivimaja,1950,,,keskküte,elektripliit,"digi-TV,internet",sundventilatsioon,rõdu,14.50,korteriomand,kõik kommunaalteenused,250.00,390.00,1800.00,1995.00,,"tasuta parkimine,kindel parkimiskoht kinnistul","kelder,panipaik","dušš,wc ja vannituba eraldi,pesumasin,vann,saun",,,,,,,harju
41,"Ädala tn 5, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,,3,,,62.4,1,5,"turvauks,trepikoda lukus","mööbel,külmik",690.0,E,kivimaja,1987,,,keskküte,elektripliit,"kaabel-TV,telefon,internet",,,,korteriomand,,,,,,,,panipaik,"dušš,wc ja vannituba eraldi,pesumasin",,,,,,,harju
42,"R. Tobiase tn 11, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2023-01-13,uusehitis,1,1,1,34.7,4,6,"trepikoda lukus,turvauks,naabrivalve","mööbel,TV,külmik",660.0,B,kivimaja,2019,jah,kivikatus,keskküte,elektripliit,"digi-TV,telefon,internet",,terrass,10.00,korteriomand,,,,,,,,garderoob,"pesumasin,dušš",,,,,,,harju
43,"Uus tn 20, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2023-01-13,,2,,,49.0,,1,,,990.0,,,,,,,,,,rõdu,1.00,,,,,,,,,,,,,,,,,harju
44,"Narva mnt 32, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,,1,1,1,29.1,3,3,trepikoda lukus,"kinnine hoov,mööbel,külmik",280.0,,"puitmaja,kivimaja",1897,,plekk,"elektriküte,ahjuküte",elektripliit,,,,,korteriomand,,,,280.00,280.00,,,,"vann,boiler,pesumasin",,,,,,,harju
45,"N/A, N/A",N/A,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
46,"N/A, N/A",N/A,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
47,"N/A, N/A",N/A,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
48,"Mäepealse tn 29, Kadaka, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,1,66.4,2,6,,,750.0,B,,2020,,,,,,,,,korteriomand,,,,,,0,,panipaik,,,,,,,,harju
49,"Lastekodu tn 8, UUS VIIMISTLUS, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,3,2,,49.3,3,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",650.0,E,kivimaja,1963,,,keskküte,,"telefon,internet,kaabel-TV",,,,korteriomand,,130.00,190.00,,,,,,"dušš,boiler,pesumasin",,,,,,,harju
50,"Lahepea tn 15, Merimetsa, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,,60.7,3,5,"videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",900.0,A,paneelmaja,2022,jah,,"keskküte,põrandaküte",,"kaabel-TV,telefon,internet",,rõdu,8.10,korteriomand,,70.00,150.00,,,,,panipaik,"dušš,pesumasin",,,,,,,harju
51,"J. Sütiste tee 10, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,3,2,1,60.7,4,5,,,600.0,energiamärgis määramata,paneelmaja,,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
52,"Paljandi tn 2/2, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,1,1,1,36.5,2,4,,,470.0,C,paneelmaja,2006,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
53,"Jahu tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,,2,1,,47.0,4,5,turvauks,mööbel,700.0,E,kivimaja,2000,jah,,keskküte,,internet,,,,korteriomand,,,,,,,,,"dušš,pesumasin",,,,,,,harju
54,"Jahu tn 1, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,,2,1,,47.0,4,5,turvauks,mööbel,700.0,E,kivimaja,2000,jah,,keskküte,,internet,,,,korteriomand,,,,,,,,,"dušš,pesumasin",,,,,,,harju
55,"Tiiu tn 12/2, Uus-Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,,31.4,1,5,"videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",617.0,B,kivimaja,2023,,,"keskküte,põrandaküte",,"kaabel-TV,telefon",,,,korteriomand,,,,,,,,,"dušš,pesumasin",,,,,,,harju
56,"Tiigi tn 3, Jüri alevik, Rae vald, Harju maakond","Jüri alevik, Rae vald, Harju maakond",2023-01-13,uusehitis,2,,1,44.1,1,4,"turvauks,trepikoda lukus","mööbel,mööbli võimalus,külmik",550.0,D,,2005,,,keskküte,elektripliit,"digi-TV,internet",,rõdu,3.00,korteriomand,,,,,,,"tasuta parkimine,kindel parkimiskoht kinnistul",,"dušš,tsentraalne kanalisatsioon",,,,,,,harju
57,"Kesk-Ameerika tn 6, Uus Maailm, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,,45.8,1,3,"turvauks,trepikoda lukus","mööbel,külmik",750.0,energiamärgis määramata,puitmaja,1936,,,"keskküte,põrandaküte",,"kaabel-TV,telefon,internet",,,,,,,,830.00,,,,panipaik,"dušš,boiler,pesumasin",,,,,,,harju
58,"Suitsu tn 10, Veerenni/Tallinn Väike, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,1,,13.0,2,2,"naabrivalve,videokaamerad,trepikoda lukus","mööbel,külmik",195.0,,kivimaja,2013,,,keskküte,elektripliit,,,,,kinnistu,,60.00,,195.00,,,,,"dušš,boiler",,,,,,,harju
59,"Paepargi tn 50/1, Lasnamäe Linnaosa, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,,63.9,10,14,"turvauks,trepikoda lukus",külmik,670.0,B,paneelmaja,2020,jah,,"keskküte,põrandaküte",,,,rõdu,4.70,korteriomand,,,,,,,,panipaik,dušš,,,,,,,harju
60,"Hüatsindi tee 2, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2023-01-13,valmis,3,2,,77.2,2,2,"turvauks,trepikoda lukus","mööbel,külmik",1100.0,C,kivimaja,2018,,,keskküte,,kaabel-TV,,rõdu,16.40,korteriomand,,,,1100.00,,,,,"dušš,saun,pesumasin",,,,,,,harju
61,"Toom-Kuninga tn 15, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,2,2,,36.2,4,7,trepikoda lukus,"mööbel,külmik",647.0,B,kivimaja,2020,jah,,keskküte,,,,,,korteriomand,,,,,,,,,"dušš,pesumasin",,,,,,,harju
62,"Vindi tn 7, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,1,,,27.4,2,5,trepikoda lukus,"mööbel,külmik",477.0,D,kivimaja,1970,,,keskküte,elektripliit,,,,,korteriomand,,,,,,,,panipaik,"dušš,pesumasin",,,,,,,harju
63,"Ringi tn 44, Maardu linn, Harju maakond","Maardu linn, Harju maakond",2023-01-13,valmis,2,2,1,46.7,2,5,"trepikoda lukus,naabrivalve,videokaamerad","mööbel,Lemmikloomad lubatud,külmik",400.0,,,1977,,,keskküte,elektripliit,"internet,digi-TV",,,,korteriomand,,,,400.00,400.00,,tasuta parkimine,,"vann,tsentraalne kanalisatsioon,pesumasin",,,,,,,harju
64,"Liinivahe tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,4,3,1,86.1,3,5,,,1600.0,B,,2022,,,,,,,,,korteriomand,,,,,,,,panipaik,,,,,,,,harju
65,"J. Kunderi tn 24, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,1,,1,14.5,1,4,"trepikoda lukus,turvauks","mööbel,TV",350.0,E,kivimaja,1963,,rullmaterjal,elektriküte,,,,,,korteriomand,,,,350.00,350.00,,,,"dušš,tsentraalne kanalisatsioon",,,,,,,harju
66,"Ristiku tn 62, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,1,1,1,30.8,1,5,"naabrivalve,trepikoda lukus,videokaamerad","kinnine hoov,mööbel,TV,külmik",410.0,,,1969,,,keskküte,gaasipliit,,,,,korteriomand,,,,410.00,410.00,,tasuta parkimine,,,,,,,,,harju
67,"Naeri tn 5, Veerenni, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uus viimistlus,4,3,2,88.9,1,2,,,850.0,energiamärgis määramata,puitmaja,2013,,,,,,,,,korteriomand,,,,,,,,panipaik,,,,,,,,harju
68,"Kaupmehe tn 4, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,1,1,18.8,,4,,,340.0,energiamärgis määramata,kivimaja,1954,,,,,,,,,korteriomand,,,,,,,,,,,,,,,,harju
