,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Katus,Küte,Pliit,Side,Ventilatsioon,Rõdu,Rõdu pind,Omandiõigus,Lisanduvad kommunaalid,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Maakleritasu,Kinnistu number,Parkimine,Lisaruumid,Sanitaar,Lisainfo,Piirangud,Krunt,Lisanduvad kommunaalkulud,tasuline parkimine,tasuta parkimine,maakond
289,"Roseni tn 12, Rotermanni kvartal, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,"uus viimistlus,uusehitis,valmis",1,1,1,31.0,5,7,"trepikoda lukus,naabrivalve,turvasüsteem,turvauks,videokaamerad","kinnine hoov,mööbel,TV,külmik",480.0,C,betoonmaja,2007,jah,,keskküte,elektripliit,"internet,digi-TV",sundventilatsioon,,,kinnistu,"elekter,vesi,küte,kõik kommunaalteenused",80.00,130.00,480.00,,,,,"vann,pesumasin,tsentraalne kanalisatsioon,dušš",,,,,,,harju
290,"Sakala, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uus viimistlus,2,1,1,51.4,4,8,"trepikoda lukus,videokaamerad","mööbel,TV,külmik",750.0,C,betoonmaja,2003,jah,bituumen,keskküte,elektripliit,,,klaasitud rõdu,6.30,korteriomand,,150.00,200.00,1500.00,,,muu,,"vann,dušš,pesumasin",,,,,,,harju
291,"Kivinuka tn 16, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,1,60.7,3,3,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",800.0,B,plokkmaja,2022,,,keskküte,elektripliit,,sundventilatsioon,rõdu,5.10,korteriomand,kõik kommunaalteenused,,,950.00,,,kindel parkimiskoht kinnistul,panipaik,"dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,,harju
292,"Tornimäe tn, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uus viimistlus,3,2,,98.0,28,,"trepikoda lukus,turvamees",,2900.0,D,betoonmaja,,,,keskküte,elektripliit,"internet,digi-TV",,,,korteriomand,,,,2900.00,,,,,"wc ja vannituba eraldi,konditsioneer,vann,dušš,pesumasin",,,,,,,harju
293,"Tiiu tn 12/1, Uus-Veerenni (Merko kvartal), Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,2,1,55.4,2,5,"naabrivalve,trepikoda lukus","mööbel,mööbli võimalus,külmik",800.0,B,"paneelmaja,kivimaja",2022,jah,bituumen,"keskküte,põrandaküte",elektripliit,"internet,digi-TV",sundventilatsioon,rõdu,3.20,korteriomand,"elekter,vesi,kõik kommunaalteenused,küte",70.00,160.00,1000.00,,,parkimiskoht maa-aluses garaažis,"kelder,garderoob","pesumasin,dušš,tsentraalne kanalisatsioon",Tiiu 12/1,,,,,,harju
294,"Vana-Mustamäe tn 42a, Nõmme linnaosa, Tallinn, Harju maakond","Nõmme linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,2,,62.0,1,4,"naabrivalve,trepikoda lukus","kinnine hoov,mööbel,külmik",690.0,,,2018,,,"õhksoojuspump,põrandaküte",elektripliit,internet,,,6.00,,,,,0.00,,,,panipaik,dušš,,,,,,,harju
295,"Narva mnt 9j, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,1,1,1,20.0,,5,"trepikoda lukus,videokaamerad,turvasüsteem","mööbel,Lemmikloomad lubatud,TV,külmik",590.0,C,,1995,jah,,keskküte,elektripliit,internet,sundventilatsioon,,,,,,,,,,,,"dušš,tsentraalne kanalisatsioon",www.city-yard-inn.ee,,,,,,harju
296,"Villardi tn 32, Uus-Maailm, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,3,2,1,78.8,4,4,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",690.0,energiamärgis määramata,kivimaja,,,,keskküte,elektripliit,"digi-TV,internet",,,,korteriomand,,,,690.00,690.00,,,"kelder,panipaik,garderoob","dušš,pesumasin,vann,tsentraalne kanalisatsioon",,,,,,,harju
297,"Pärnu mnt 8, Vanalinn, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2023-01-13,renoveeritud,2,1,,80.0,7,8,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",mööbel,690.0,,kivimaja,1937,jah,,"keskküte,põrandaküte",,"kaabel-TV,telefon,internet",,,,korteriomand,,,,,,,,,"dušš,wc ja vannituba eraldi,pesumasin",,,,,,,harju
298,"Paekalda tn 14, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,,41.8,4,5,"videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",700.0,,kivimaja,2022,jah,,"keskküte,põrandaküte",,"kaabel-TV,telefon,internet",,rõdu,4.70,korteriomand,,,,700.00,,,,panipaik,"dušš,pesumasin",,,,,,,harju
299,"Pärnu mnt 125a, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,2,1,,38.9,2,4,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",550.0,G,kivimaja,1961,,,keskküte,gaasipliit,"kaabel-TV,telefon,internet",,,,korteriomand,,80.00,130.00,,,,,,"dušš,pesumasin",,,,,,,harju
