,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Küte,Pliit,Side,Ventilatsioon,Rõdu,Omandiõigus,Lisanduvad kommunaalid,Tagatisraha,Parkimine,Lisaruumid,Sanitaar,Lisanduvad kommunaalkulud,Parkimiskohti,tasuta parkimine,Rõdu pind,tasuline parkimine,Suve kommunaalid,Talve kommunaalid,Krunt,Kinnistu number,Maakleritasu,Katus,Piirangud,Lisainfo,maakond
21,"Pikk tn 30, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,63.0,3,4,"turvauks,trepikoda lukus","mööbel,külmik",1300.0,,kivimaja,,,keskküte,,internet,,,korteriomand,,,,,"dušš,vann,pesumasin",,,,,,190.00,270.00,,,,,,,harju
22,"Kentmanni tn 6, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,105.9,3,14,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",2500.0,B,,2015,jah,"keskküte,põrandaküte",,,,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,10.00,,,,,,,,,,harju
23,"Tartu mnt 30, Sibulaküla, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,73.7,4,4,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",690.0,D,kivimaja,1957,,keskküte,,,,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,2.00,,,,,,,,,,harju
24,"Kiikri tn 2/2, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,,66.0,2,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1500.0,B,kivimaja,2018,jah,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"vann,pesumasin",,,,16.40,,,,,,,,,,harju
25,"Suur-Patarei tn 2, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,131.9,6,6,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",3000.0,energiamärgis määramata,,2011,jah,põrandaküte,,,,rõdu,korteriomand,,,,,"dušš,wc ja vannituba eraldi,vann,pesumasin",,,,120.00,,,,,,,,,,harju
26,"Kiikri tn 3, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,74.6,3,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1290.0,B,kivimaja,2017,jah,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"dušš,vann,pesumasin",,,,17.50,,,,,,,,,,harju
27,"Ristiku tn 24, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,1,38.8,1,3,trepikoda lukus,"kinnine hoov,mööbel,külmik",515.0,B,kivimaja,,,gaasiküte,elektripliit,"internet,digi-TV,telefon",sundventilatsioon,,korteriomand,kõik kommunaalteenused,700.00,parkimiskoht maa-aluses garaažis,,"pesumasin,dušš,tsentraalne kanalisatsioon",,,,,,80.00,160.00,,,,,,,harju
28,"Sõjakooli tn 14, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,"uusehitis,uus viimistlus",4,3,2,102.0,4,5,,Lemmikloomad lubatud,1700.0,B,kivimaja,2022,jah,"keskküte,põrandaküte",,,,rõdu,,"kõik kommunaalteenused,elekter,vesi,küte",,parkimiskoht maa-aluses garaažis,panipaik,,,,,13.30,,,,,,,,,,harju
29,"Sõjakooli tn 14, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,"uus viimistlus,uusehitis",4,3,2,100.3,3,5,,"mööbel,Lemmikloomad lubatud,külmik",1700.0,B,kivimaja,2022,jah,"keskküte,põrandaküte",,,sundventilatsioon,rõdu,,"elekter,vesi,küte,kõik kommunaalteenused",,parkimiskoht maa-aluses garaažis,panipaik,,,,,14.30,,,,,,,,,,harju
30,"Merivälja, Pirita linnaosa, Tallinn, Harju maakond","Pirita linnaosa, Tallinn, Harju maakond",2022-10-30,,2,,,81.0,1,4,turvasüsteem,,640.0,E,,,,,,,,,,,640.00,,,,,,,,,,,,9332901,,,,,harju
31,"Mardi tn 6, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,1,45.6,7,8,trepikoda lukus,"mööbel,külmik",700.0,B,kivimaja,,jah,keskküte,elektripliit,,sundventilatsioon,klaasitud rõdu,korteriomand,,750.00,muu,,,,,,,,,,,,,,,,harju
32,"Vanakuu tn 6, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,"uus viimistlus,valmis,uusehitis",2,1,1,46.7,1,4,trepikoda lukus,"mööbel,mööbli võimalus,Lemmikloomad lubatud,külmik",690.0,energiamärgis määramata,kivimaja,2019,,gaasiküte,elektripliit,,sundventilatsioon,rõdu,korteriomand,,690.00,"tasuta parkimine,kindel parkimiskoht kinnistul","panipaik,garderoob","tsentraalne kanalisatsioon,pesumasin,dušš",,,,2.80,,,,,,690.00,bituumen,,,harju
33,"Tartu mnt 18, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,,59.2,10,12,"videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",990.0,,kivimaja,,jah,"gaasiküte,keskküte",elektripliit,internet,,,korteriomand,,,,,"dušš,pesumasin",,,,,,150.00,250.00,,,,,,,harju
34,"Tartu mnt 65, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,47.0,2,6,"turvauks,trepikoda lukus","mööbel,külmik",600.0,E,kivimaja,1999,,"elektriküte,põrandaküte,õhksoojuspump",elektripliit,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"dušš,boiler,pesumasin",,,,4.00,,90.00,160.00,,,,,,,harju
