,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Köögi pind,Katastritunnus,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Saadaval,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud,maakond
324,2548698,"Laulupeo tn 17, Kesklinn,Kadriorg, Tallinn, Harju maakond",2022-10-23,renoveeritud,2,1,68.8 m²,3,3,korteriomand,"turvauks,trepikoda lukus",219000.0,3 183.14 €/m²,"688 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,puitmaja,,elektriküte,"dušš,boiler,pesumasin",,,78401:112:0440,"mööbel,külmik",,elektripliit,"internet,kaabel-TV",,,,,,,,,,,,,,,,,,,,,tartu
325,1026015,"Pargi tee 3,Peetri alevik, Rae vald, Harju maakond",2022-10-23,"renoveeritud,valmis",3,2,73.6 m²,2,3,korteriomand,"trepikoda lukus,turvauks,turvasüsteem,naabrivalve",199000.0,,"625 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,kivimaja,2006,"gaasiküte,põrandaküte","tsentraalne kanalisatsioon,wc ja vannituba eraldi,vann",1,,,"mööbel,mööbli võimalus","panipaik,garderoob",elektripliit,"telefon,digi-TV,internet",8.00,,,,,,rõdu,"kindel parkimiskoht kinnistul,tasuta parkimine",,bituumen,,,,,sundventilatsioon,,,,,,tartu
326,2422999,"Tuula tee 2d-11,Keila linn, Harju maakond",2022-10-23,uusehitis,2,1,40.2 m²,2,3,korteriomand,,141303.0,,"444 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"keskküte,põrandaküte",dušš,1,,29601:001:0213,,panipaik,,,,,,,,,,kindel parkimiskoht kinnistul,,,,,"Tutvu lähemalt, klikkides siin KEILA KODU",,sundventilatsioon,,,,,,tartu
327,2897533,"Tuula tee 2d-10,Keila linn, Harju maakond",2022-10-23,uusehitis,3,2,55.1 m²,2,3,korteriomand,,182106.0,,"572 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"keskküte,põrandaküte",dušš,1,,29601:001:0213,,panipaik,,,4.00,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,"Tutvu lähemalt, klikkides siin KEILA KODU",,sundventilatsioon,,,,,,tartu
328,7192271,"Tuula tee 2d-6,Keila linn, Harju maakond",2022-10-23,uusehitis,3,2,54.4 m²,3,3,korteriomand,,179792.0,,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"põrandaküte,keskküte",dušš,1,,29601:001:0213,mööbli võimalus,panipaik,,,4.00,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,"Tutvu lähemalt, klikkides siin KEILA KODU",,sundventilatsioon,,,,,,tartu
329,6357261,"Tuula tee 2d-2,Keila linn, Harju maakond",2022-10-23,uusehitis,3,2,54.4 m²,1,3,korteriomand,,179792.0,,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"põrandaküte,keskküte",dušš,,,29601:001:0213,,panipaik,,,12.00,,,,,,terrass,kindel parkimiskoht kinnistul,,,,,"Tutvu lähemalt, klikkides siin KEILA KODU",,sundventilatsioon,,,,,,tartu
330,5220829,"Käbliku tn 1,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,2,1,56.1 m²,3,5,korteriomand,,189900.0,3 385.03 €/m²,"597 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tartu
331,7157256,"Tuula tee 2c-9,Keila linn, Harju maakond",2022-10-23,uusehitis,3,2,54.4 m²,2,3,korteriomand,,179792.0,,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"keskküte,põrandaküte",dušš,1,,29601:001:0212,,panipaik,,,4.00,,,,,,rõdu,kindel parkimiskoht kinnistul,29.09.2022,,,,https://everaus.ee/keilakortermajad/,,,,,,,,tartu
332,8246945,"Tuula tee 2c-6,Keila linn, Harju maakond",2022-10-23,uusehitis,3,2,54.4 m²,3,3,korteriomand,,179792.0,,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"keskküte,põrandaküte",dušš,1,,29601:001:0212,,panipaik,,,4.00,,,,,,rõdu,kindel parkimiskoht kinnistul,29.09.2022,,,,https://everaus.ee/keilakortermajad/,,sundventilatsioon,,,,,,tartu
333,7068436,"Padriku tee 3/2,Pirita linnaosa, Tallinn, Harju maakond",2022-10-23,valmis,2,1,70.9 m²,3,4,korteriomand,"naabrivalve,trepikoda lukus,turvauks",185000.0,2 609.31 €/m²,"581 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,kivimaja,2006,"keskküte,põrandaküte","tsentraalne kanalisatsioon,pesumasin,vann",1,,,"kinnine hoov,mööbel,mööbli võimalus","panipaik,garderoob",elektripliit,"telefon,digi-TV,internet",15.40,,,,,,rõdu,kindel parkimiskoht kinnistul,27.09.2022,bituumen,,,,,,,,,,,tartu
