,0
65,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/5894816
66,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-kloostri-tn/1816788
67,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-saarekese-/4778082
68,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-saarekese-/7890502
69,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-aleksandri-tn/4557119
70,https://city24.ee/real-estate/apartments-for-sale/kambja-vald-kambja-alevik-manni-tn/1007430
71,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-veeriku-kannikese-tn/5844406
72,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ranilinn-riia-tn/5871094
73,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-sobra/8579822
74,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-vao/6566730
75,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/7483841
76,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/5257427
77,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/9370183
78,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/3912936
79,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ihaste-iirise/8417636
80,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ihaste-iirise/9219286
81,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-supilinn-tahtvere/2941454
82,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-lahte-alevik-opetaja-tn/4266984
83,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-elva-linn-kao-tee/1966833
84,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-vaba-tn/7001030
85,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ranilinn-aardla-tn/3719895
86,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-kaupmehe-tn/2613369
87,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/5067283
88,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/5882259
89,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-kaupmehe-tn/7307482
90,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/1874227
91,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-kaupmehe-tn/8689664
92,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-tila-kula-erminurme-tee/3978877
93,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vesneri-kula-vesneri/2868677
94,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-anne-tn/3430073
95,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/7905682
96,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/1921601
97,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/3111014
98,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/3557922
99,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/4023225
100,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-onne-tn/4713216
101,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-fortuuna/4156670
102,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-anne-tn/3959013
103,https://city24.ee/real-estate/apartments-for-sale/kambja-vald-ulenurme-alevik-mannikabi-tn/5740832
104,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ranilinn-riia-tn/2664746
105,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-anne-tn/5578235
106,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-keskuse-tn/5369153
107,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-keskuse-tn/5200674
108,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-keskuse-tn/7313242
109,https://city24.ee/real-estate/apartments-for-sale/peipsiaare-vald-koosa-kula-sooaare/9249628
110,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ilmatsalu-alevik-aasa-tee/8019090
111,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kalda-tee/3081937
112,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kaunase-pst/1172915
113,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kaalukoja-tee/8933042
114,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/5255405
115,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ilmatsalu-alevik-jarve-tee/7151208
116,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-jaamamoisa-pohja-pst/4581117
117,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-jaamamoisa-ida-tn/9367596
118,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn-/6768172
119,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-riia-tn/5999376
120,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-tahtvere-jakobi/8641351
121,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-munga-tn/3231644
122,https://city24.ee/real-estate/apartments-for-sale/elva-vald-aakre-kula-moisa-tee/1985602
123,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-korvekula-alevik-parna-tn/5671938
