,rooms,size,floor,condition,ownership_type,reg_no,energy_label,url,price,aadress,year,utility,total_floors,maakond,linn_vald,linnaosa,streetwno,street,sqm_price,st_address,address,lat,long
0,3,65.3,1.0,Renoveeritud,Korteriomand,41201:004:0031,Puudub,https://www.kv.ee/uus-pakkuminemuua-parnumaal-laaneranna-vallas-lihu-3367360.html,26000,"Pärnumaa, Lääneranna vald, Lihula linn, Ristiku 13",,,3.0,Pärnumaa,Lääneranna vald,Lihula linn,Ristiku 13,Ristiku,398.1623277182236,"Eesti, Pärnumaa,Lääneranna vald,Lihula linn,Ristiku","Ristiku, Lihula, 90302 Pärnu maakond, Estonia",58.68838729999999,23.8406406
1,3,63.3,2.0,Uus,Korteriomand,78401:101:0507,A,https://www.kv.ee/veskimetsa-voimsate-tammede-ja-parnade-korvale-raj-3331644.html,183900,"Harjumaa, Tallinn, Haabersti, Veskilise tn 7-7",2022.0,,3.0,Harjumaa,Tallinn,Haabersti,Veskilise tn 7-7,Veskilise tn,2905.21327014218,"Eesti, Harjumaa,Tallinn,Haabersti,Veskilise tn","Sõpruse pst 151, 13418 Tallinn, Estonia",59.41451170000001,24.7098525
2,4,77.7,2.0,Renoveeritud,Korteriomand,,Puudub,https://www.kv.ee/lohusalu-poolsaarel-pakkumisel-ainulaadne-4toaline-3362941.html,139000,"Harjumaa, Lääne-Harju vald, Lohusalu, Rannuka tee 3",1989.0,,2.0,Harjumaa,Lääne-Harju vald,Lohusalu,Rannuka tee 3,Rannuka tee,1788.9317889317888,"Eesti, Harjumaa,Lääne-Harju vald,Lohusalu,Rannuka tee","Rannuka tee, Lohusalu, 76709 Harju maakond, Estonia",59.3920932,24.2019709
3,2,43.7,5.0,Vajab renoveerimist,Korteriomand,,E,https://www.kv.ee/manniku-asumis-pakkumisel-avara-planeeringuga-2toa-3361916.html,77000,"Harjumaa, Tallinn, Nõmme, Valdeku 112",1988.0,,5.0,Harjumaa,Tallinn,Nõmme,Valdeku 112,Valdeku,1762.0137299771166,"Eesti, Harjumaa,Tallinn,Nõmme,Valdeku","Valdeku, Tallinn, Estonia",59.37578159999999,24.7152421
4,2,52.2,4.0,Vajab renoveerimist,Korteriomand,27304:002:0390,E,https://www.kv.ee/nb-kliendipaev-toimub-30-09-2021-kell-16-3017-30-m-3376872.html,28000,"Lääne-Virumaa, Kadrina vald, Kadrina, Kalevipoja 5",1987.0,,5.0,Lääne-Virumaa,Kadrina vald,Kadrina,Kalevipoja 5,Kalevipoja,536.3984674329502,"Eesti, Lääne-Virumaa,Kadrina vald,Kadrina,Kalevipoja","Kalevipoja, Kadrina, 45201 Lääne-Viru maakond, Estonia",59.34621849999999,26.1332064
5,3,56.5,5.0,Renoveeritud,Korteriomand,78403:315:0008,D,https://www.kv.ee/muua-ilus-renoveeritud-korter-hinnatud-pae-rajooni-3372933.html,115000,"Harjumaa, Tallinn, Lasnamäe, Pae tn 22",1961.0,,5.0,Harjumaa,Tallinn,Lasnamäe,Pae tn 22,Pae tn,2035.398230088496,"Eesti, Harjumaa,Tallinn,Lasnamäe,Pae tn","Pae, Tallinn, Estonia",59.4322291,24.8113527
6,3,78.7,1.0,,Korteriomand,78401:115:2170,Puudub,https://www.kv.ee/avarad-kodud-mugavust-ja-ajatut-elegantsi-hindaval-3351503.html,354150,"Harjumaa, Tallinn, Kadriorg, Oru 2",2021.0,,4.0,Harjumaa,Tallinn,Kadriorg,Oru 2,Oru,4500.0,"Eesti, Harjumaa,Tallinn,Kadriorg,Oru","Oru, 10127 Tallinn, Estonia",59.44203580000001,24.8017402
7,2,48.6,3.0,Vajab san. remonti,Korteriomand,,C,https://www.kv.ee/muua-eraldi-tubadega-2toaline-korter-korter-asub-m-3376945.html,22000,"Harjumaa, Lääne-Harju vald, Ämari, Lennu tn 24",1975.0,,5.0,Harjumaa,Lääne-Harju vald,Ämari,Lennu tn 24,Lennu tn,452.6748971193416,"Eesti, Harjumaa,Lääne-Harju vald,Ämari,Lennu tn","Lennu, Ämari, 76102 Harju maakond, Estonia",59.2474252,24.2394787
8,3,64.4,3.0,,Korteriomand,78401:101:4846,B,https://www.kv.ee/tallinna-lauluvaljakust-vaid-kilomeetri-kaugusele-3377556.html,196000,"Harjumaa, Tallinn, Lasnamäe, Lageloo tn 7",2022.0,,8.0,Harjumaa,Tallinn,Lasnamäe,Lageloo tn 7,Lageloo tn,3043.478260869565,"Eesti, Harjumaa,Tallinn,Lasnamäe,Lageloo tn","Peterburi tee 81, 13626 Tallinn, Estonia",59.4339599,24.8548002
9,3,66.9,10.0,Uus,Korteriomand,78401:101:5196,B,https://www.kv.ee/aadressile-priisle-tee-1-rajatav-11korruseline-kor-3380079.html,180000,"Harjumaa, Tallinn, Lasnamäe, Priisle tee 1-35",2022.0,,11.0,Harjumaa,Tallinn,Lasnamäe,Priisle tee 1-35,Priisle tee,2690.5829596412555,"Eesti, Harjumaa,Tallinn,Lasnamäe,Priisle tee","Priisle tee, Tallinn, Estonia",59.4512472,24.8949976
10,3,60.2,11.0,Uus,Korteriomand,78401:101:5196,B,https://www.kv.ee/aadressile-priisle-tee-1-rajatav-11korruseline-kor-3253958.html,174000,"Harjumaa, Tallinn, Lasnamäe, Priisle tee 1-73",2021.0,,11.0,Harjumaa,Tallinn,Lasnamäe,Priisle tee 1-73,Priisle tee,2890.3654485049838,"Eesti, Harjumaa,Tallinn,Lasnamäe,Priisle tee","Priisle tee, Tallinn, Estonia",59.4512472,24.8949976
11,4,80.9,1.0,Uus,Korteriomand,78401:101:4846,B,https://www.kv.ee/tallinna-lauluvaljakust-vaid-kilomeetri-kaugusele-3377114.html,241000,"Harjumaa, Tallinn, Lasnamäe, Lageloo tn 7-2",2023.0,,8.0,Harjumaa,Tallinn,Lasnamäe,Lageloo tn 7-2,Lageloo tn,2978.986402966625,"Eesti, Harjumaa,Tallinn,Lasnamäe,Lageloo tn","Peterburi tee 81, 13626 Tallinn, Estonia",59.4339599,24.8548002
12,4,75.1,1.0,Uus,Korteriomand,,A,https://www.kv.ee/muuki-tulid-uued-energiasaastlikud-ridaelamuboksid-3380593.html,126900,"Tartumaa, Kastre vald, Haaslava, Lehise tee 35",2022.0,,1.0,Tartumaa,Kastre vald,Haaslava,Lehise tee 35,Lehise tee,1689.7470039946738,"Eesti, Tartumaa,Kastre vald,Haaslava,Lehise tee","Lehise Tee, Haaslava, 62107 Tartu maakond, Estonia",58.3261761,26.8060709
13,3,88.6,4.0,,,65301:001:1752,D,https://www.kv.ee/avar-3toaline-2roduga-panipaik-ja-katusealune-auto-3356832.html,192000,"Harjumaa, Rae vald, Peetri, Raudkivi tee 4",2007.0,,5.0,Harjumaa,Rae vald,Peetri,Raudkivi tee 4,Raudkivi tee,2167.042889390519,"Eesti, Harjumaa,Rae vald,Peetri,Raudkivi tee","Raudkivi tee, Peetri, Harju maakond, Estonia",59.40337899999999,24.8083331
14,3,160.0,1.0,Uus,Korteriomand,62510:113:0002,Puudub,https://www.kv.ee/siin-on-uks-eriline-kodu-kes-hindab-omanaolisust-j-3383828.html,239000,"Pärnumaa, Pärnu, Pärnu linn, Kesklinn, Kuninga tn 13",1696.0,,3.0,Pärnumaa,Pärnu,Pärnu linn,Kuninga tn 13,Kuninga tn,1493.75,"Eesti, Pärnumaa,Pärnu,Pärnu linn,Kuninga tn","Kuninga, Pärnu, Pärnu maakond, Estonia",58.38395569999999,24.5013407
15,3,71.4,1.0,Keskmine,Korteriomand,18301:007:0690,E,https://www.kv.ee/kui-otsite-endale-mugavat-ja-vaga-hea-asukohaga-el-3376151.html,79000,"Läänemaa, Haapsalu, Haapsalu linn, Põllu tn 1",1979.0,,4.0,Läänemaa,Haapsalu,Haapsalu linn,Põllu tn 1,Põllu tn,1106.4425770308123,"Eesti, Läänemaa,Haapsalu,Haapsalu linn,Põllu tn","Põllu, Haapsalu, 90505 Lääne maakond, Estonia",58.943248,23.5466012
16,1,15.7,1.0,San. remont tehtud,Korteriomand,78408:803:6910,Puudub,https://www.kv.ee/hubane-ning-kompaktne-minikorter-asub-2-korruselis-3382849.html,39500,"Harjumaa, Tallinn, Põhja-Tallinn, Härjapea 4",1890.0,,2.0,Harjumaa,Tallinn,Põhja-Tallinn,Härjapea 4,Härjapea,2515.923566878981,"Eesti, Harjumaa,Tallinn,Põhja-Tallinn,Härjapea","Härjapea, Tallinn, Estonia",59.437705,24.715452
17,2,34.8,3.0,Uus,Korteriomand,,B,https://www.kv.ee/tapsema-info-saamiseks-kulastage-arenduse-riia-kva-3340643.html,115000,"Tartumaa, Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 20",2021.0,,3.0,Tartumaa,Tartu,Tartu linn,Riia 20,Riia,3304.5977011494256,"Eesti, Tartumaa,Tartu,Tartu linn,Riia","Riia, Tartu, Estonia",58.3637427,26.6971775
18,3,57.3,2.0,Uus,Korteriomand,,B,https://www.kv.ee/2022-kevadeks-valmib-restoran-kaseke-asemele-moder-3188742.html,189000,"Tartumaa, Tartu, Tartu linn, Karlova, Lootuse tn 2a-3",2022.0,50 €/70 €,4.0,Tartumaa,Tartu,Tartu linn,Lootuse tn 2a-3,Lootuse tn,3298.429319371728,"Eesti, Tartumaa,Tartu,Tartu linn,Lootuse tn","Lootuse, 50108 Tartu, Estonia",58.36999770000001,26.7244122
19,3,60.6,3.0,Uus,Korteriomand,62507:005:0001,A,https://www.kv.ee/bremeni-kodud-koosnevad-kolmest-keskmise-korgusega-3355310.html,228500,"Pärnumaa, Pärnu, Pärnu linn, Rääma, Rääma tn 9-8",2022.0,,3.0,Pärnumaa,Pärnu,Pärnu linn,Rääma tn 9-8,Rääma tn,3770.6270627062704,"Eesti, Pärnumaa,Pärnu,Pärnu linn,Rääma tn","Rääma, Pärnu, Pärnu maakond, Estonia",58.3912803,24.5160304
20,2,38.4,2.0,Uus,Korteriomand,,B,https://www.kv.ee/2022-kevadeks-valmib-restoran-kaseke-asemele-moder-3188715.html,134900,"Tartumaa, Tartu, Tartu linn, Karlova, Lootuse tn 2a-6",2022.0,,4.0,Tartumaa,Tartu,Tartu linn,Lootuse tn 2a-6,Lootuse tn,3513.020833333333,"Eesti, Tartumaa,Tartu,Tartu linn,Lootuse tn","Lootuse, 50108 Tartu, Estonia",58.36999770000001,26.7244122
21,4,83.6,2.0,Keskmine,,31801:002:0210,C,https://www.kv.ee/muua-neljatoaline-kahe-roduga-korter-kohila-alevis-3379419.html,95000,"Raplamaa, Kohila vald, Kohila, Tööstuse tn 29",1990.0,165 €/275 €,3.0,Raplamaa,Kohila vald,Kohila,Tööstuse tn 29,Tööstuse tn,1136.3636363636365,"Eesti, Raplamaa,Kohila vald,Kohila,Tööstuse tn","Tööstuse, Kohila, Rapla maakond, Estonia",59.17478769999999,24.7548054
22,2,40.9,3.0,Uus,Korteriomand,78401:118:0650,B,https://www.kv.ee/muua-hinnatud-arendaja-liveni-vaiketallinna-projek-3376295.html,169000,"Harjumaa, Tallinn, Kesklinn, Kitseküla, Türi tn 4",2021.0,,5.0,Harjumaa,Tallinn,Kesklinn,Türi tn 4,Türi tn,4132.029339853301,"Eesti, Harjumaa,Tallinn,Kesklinn,Türi tn","Türi, Tallinn, Estonia",59.409825,24.7422115
23,3,71.7,4.0,Uus,Korteriomand,,C,https://www.kv.ee/muua-3toaline-suure-roduga-korter-aurora-pargis-li-3381809.html,175000,"Harjumaa, Tallinn, Haabersti, Astangu, Astangu 19/1",2017.0,,8.0,Harjumaa,Tallinn,Haabersti,Astangu 19/1,Astangu,2440.725244072524,"Eesti, Harjumaa,Tallinn,Haabersti,Astangu","Astangu, Tallinn, Estonia",59.40182279999999,24.6244565
24,2,39.3,1.0,Keskmine,Korteriomand,79403:002:0065,-,https://www.kv.ee/muua-hubane-2toaline-korter-korter-asub-2korruseli-3366853.html,56990,"Tartumaa, Tartu vald, Kõrveküla, Hariduse 2",1977.0,,2.0,Tartumaa,Tartu vald,Kõrveküla,Hariduse 2,Hariduse,1450.1272264631043,"Eesti, Tartumaa,Tartu vald,Kõrveküla,Hariduse","Hariduse, Kõrveküla, 60512 Tartu maakond, Estonia",58.42380709999999,26.7678836
25,2,49.1,3.0,Uus,Korteriomand,,B,https://www.kv.ee/2022-kevadeks-valmib-restoran-kaseke-asemele-moder-3188743.html,169900,"Tartumaa, Tartu, Tartu linn, Karlova, Lootuse tn 2a-11",2022.0,,4.0,Tartumaa,Tartu,Tartu linn,Lootuse tn 2a-11,Lootuse tn,3460.285132382892,"Eesti, Tartumaa,Tartu,Tartu linn,Lootuse tn","Lootuse, 50108 Tartu, Estonia",58.36999770000001,26.7244122
26,2,54.8,2.0,Heas korras,Korteriomand,,B,https://www.kv.ee/muuki-on-tulnud-avar-kahetoaline-korter-paepargi-t-3383027.html,169990,"Harjumaa, Tallinn, Lasnamäe, Pae park, Paepargi 51",2017.0,,14.0,Harjumaa,Tallinn,Lasnamäe,Paepargi 51,Paepargi,3102.007299270073,"Eesti, Harjumaa,Tallinn,Lasnamäe,Paepargi","Paepargi, 11414 Tallinn, Estonia",59.4295368,24.8042081
27,1,11.8,5.0,Renoveeritud,Korteriomand,78406:601:0029,F,https://www.kv.ee/asukohtaktiivsele-inimesele-hea-asukohaga-ule-tee-3378949.html,43000,"Harjumaa, Tallinn, Haabersti, Mustjõe, Paldiski mnt 75",1966.0,,5.0,Harjumaa,Tallinn,Haabersti,Paldiski mnt 75,Paldiski mnt,3644.06779661017,"Eesti, Harjumaa,Tallinn,Haabersti,Paldiski mnt","Paldiski mnt, Tallinn, Estonia",59.4149637,24.6386998
28,2,49.2,5.0,Vajab san. remonti,Korteriomand,78401:109:0011,C,https://www.kv.ee/harjumaa-tallinn-kesklinn-planeedi-tn-2-2-tuba-58-3378513.html,114900,"Harjumaa, Tallinn, Kesklinn, Planeedi tn 2",1971.0,,8.0,Harjumaa,Tallinn,Kesklinn,Planeedi tn 2,Planeedi tn,2335.3658536585363,"Eesti, Harjumaa,Tallinn,Kesklinn,Planeedi tn","Planeedi, Tallinn, Estonia",59.42257639999999,24.740376
29,1,11.9,4.0,Heas korras,Korteriomand,78405:501:0305,Puudub,https://www.kv.ee/hea-vaike-uurikorter-korter-investorile-tootlus-he-3379861.html,40000,"Harjumaa, Tallinn, Mustamäe, E. Vilde tee 90",1967.0,25 €/45 €,5.0,Harjumaa,Tallinn,Mustamäe,E. Vilde tee 90,E. Vilde tee,3361.344537815126,"Eesti, Harjumaa,Tallinn,Mustamäe,E. Vilde tee","E. Vilde tee, Tallinn, Estonia",59.4040213,24.6748226
30,5,85.2,1.0,Renoveeritud,Korteriomand,62507:016:8110,Puudub,https://www.kv.ee/kusi-endale-sobivat-tutvmise-aega-korteri-juurde-k-3178035.html,115000,"Pärnumaa, Pärnu, Pärnu linn, Rääma, Kaevu 5",1971.0,,5.0,Pärnumaa,Pärnu,Pärnu linn,Kaevu 5,Kaevu,1349.7652582159624,"Eesti, Pärnumaa,Pärnu,Pärnu linn,Kaevu","Kaevu, Pärnu, Pärnu maakond, Estonia",58.3977704,24.5034055
31,2,46.9,5.0,Keskmine,Korteriomand,,-,https://www.kv.ee/muua-2-toaline-keskkuttega-korteriomand-pohjatalli-3383273.html,85000,"Harjumaa, Tallinn, Põhja-Tallinn, Stroomi, Randla 24",1970.0,,5.0,Harjumaa,Tallinn,Põhja-Tallinn,Randla 24,Randla,1812.366737739872,"Eesti, Harjumaa,Tallinn,Põhja-Tallinn,Randla","Randla, Tallinn, Estonia",59.4479684,24.690776
32,3,68.8,2.0,Vajab renoveerimist,Korteriomand,40002:003:0001,Puudub,https://www.kv.ee/muua-kena-3toaline-korter-lehtse-alevikus-korterko-3381685.html,36900,"Lääne-Virumaa, Tapa vald, Lehtse, Keskuse 5",,,2.0,Lääne-Virumaa,Tapa vald,Lehtse,Keskuse 5,Keskuse,536.3372093023256,"Eesti, Lääne-Virumaa,Tapa vald,Lehtse,Keskuse","Keskuse, Lehtse, 73601 Lääne-Viru maakond, Estonia",59.2503766,25.8257867
33,3,62.0,11.0,Uus,Korteriomand,78403:301:0131,B,https://www.kv.ee/kortermuuja-ilus-3-toaline-korter-paepargis-hinna-3356595.html,230900,"Harjumaa, Tallinn, Lasnamäe, Paepargi tn 50/1",2020.0,120 €/80 €,14.0,Harjumaa,Tallinn,Lasnamäe,Paepargi tn 50/1,Paepargi tn,3724.1935483870966,"Eesti, Harjumaa,Tallinn,Lasnamäe,Paepargi tn","Paepargi, 11414 Tallinn, Estonia",59.43443120000001,24.810105
34,1,31.8,2.0,Heas korras,Korteriomand,18301:015:0007,Puudub,https://www.kv.ee/muua-paikesepoolne-roduga-1toaline-korter-korter-p-3343010.html,42000,"Läänemaa, Haapsalu, Haapsalu linn, Kuuse tn 24",1980.0,,5.0,Läänemaa,Haapsalu,Haapsalu linn,Kuuse tn 24,Kuuse tn,1320.754716981132,"Eesti, Läänemaa,Haapsalu,Haapsalu linn,Kuuse tn","Kuuse, Haapsalu, Lääne maakond, Estonia",58.9364788,23.5530263
35,3,64.9,8.0,Heas korras,Korteriomand,78403:309:0940,E,https://www.kv.ee/muua-heas-korras-3toaline-korter-lasnamael-karberi-3364440.html,107000,"Harjumaa, Tallinn, Lasnamäe, K. Kärberi tn 36",1985.0,90 €/160 €,9.0,Harjumaa,Tallinn,Lasnamäe,K. Kärberi tn 36,K. Kärberi tn,1648.6902927580893,"Eesti, Harjumaa,Tallinn,Lasnamäe,K. Kärberi tn","K. Kärberi, Tallinn, Estonia",59.4464637,24.886084
36,5,116.8,,Uus,Korteriomand,,A,https://www.kv.ee/koikidel-korteritel-oma-elektriautode-laadimisjaam-3370356.html,399999,"Harjumaa, Tallinn, Kristiine, Nõmme tee 64",2021.0,,,Harjumaa,Tallinn,Kristiine,Nõmme tee 64,Nõmme tee,3424.64897260274,"Eesti, Harjumaa,Tallinn,Kristiine,Nõmme tee","Nõmme tee, Tallinn, Estonia",59.4130634,24.7167409
37,2,51.1,2.0,Valmis,Korteriomand,,F,https://www.kv.ee/korter-muua-suur-2toaline-korter51-1-ruutmeetrit-m-3366911.html,59000,"Harjumaa, Maardu, Orumetsa 3",1959.0,,2.0,Harjumaa,Maardu,Orumetsa 3,Orumetsa 3,Orumetsa,1154.5988258317025,"Eesti, Harjumaa,Maardu,Orumetsa 3,Orumetsa","Orumetsa 3, Maardu, 74111 Harju maakond, Estonia",59.47919470000001,25.0145381
38,1,16.9,2.0,Uus,Korteriomand,,B,https://www.kv.ee/tapsema-info-saamiseks-kulastage-arenduse-riia-kva-3340639.html,58000,"Tartumaa, Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 20",2021.0,,3.0,Tartumaa,Tartu,Tartu linn,Riia 20,Riia,3431.952662721894,"Eesti, Tartumaa,Tartu,Tartu linn,Riia","Riia, Tartu, Estonia",58.3637427,26.6971775
39,3,72.1,4.0,Heas korras,Korteriomand,,B,https://www.kv.ee/muuki-on-tulnud-kvaliteetne-perekorter-p-pinna-6a-3383639.html,215000,"Harjumaa, Tallinn, Lasnamäe, P. Pinna 6a",2016.0,,11.0,Harjumaa,Tallinn,Lasnamäe,P. Pinna 6a,P. Pinna,2981.969486823856,"Eesti, Harjumaa,Tallinn,Lasnamäe,P. Pinna","Paul Pinna, Tallinn, Estonia",59.4371682,24.8360154
40,1,42.7,5.0,Renoveeritud,Korteriomand,78401:102:0310,Puudub,https://www.kv.ee/muua-42-7-m-suuruse-uldpinnaga-korter-viru-keskuse-3378060.html,165000,"Harjumaa, Tallinn, Kesklinn, Viru väljak 6",2004.0,,11.0,Harjumaa,Tallinn,Kesklinn,Viru väljak 6,Viru väljak,3864.1686182669782,"Eesti, Harjumaa,Tallinn,Kesklinn,Viru väljak","Viru väljak, Tallinn, Estonia",59.43675520000001,24.7535955
41,3,112.0,3.0,Uus,Korteriomand,78401:114:0062,A,https://www.kv.ee/hetkeseisuga-on-muugis-poordi-3-peremajaskorter-53-3341730.html,369000,"Harjumaa, Tallinn, Kesklinn, Poordi tn 3-53",2017.0,,6.0,Harjumaa,Tallinn,Kesklinn,Poordi tn 3-53,Poordi tn,3294.6428571428573,"Eesti, Harjumaa,Tallinn,Kesklinn,Poordi tn","Poordi, Tallinn, Estonia",59.44218329999999,24.7536493
42,1,23.6,1.0,Valmis,Korteriomand,79508:032:0012,F,https://www.kv.ee/planeeringkorteri-eluruumi-pind-on-kokku-23-6-m2-r-3382614.html,49900,"Tartumaa, Tartu, Tartu linn, Karlova, Kalevi 93",1977.0,,2.0,Tartumaa,Tartu,Tartu linn,Kalevi 93,Kalevi,2114.406779661017,"Eesti, Tartumaa,Tartu,Tartu linn,Kalevi","Kalevi, Tartu, Estonia",58.3688554,26.7342295
43,1,34.3,3.0,Heas korras,Kinnistu,78403:310:0840,E,https://www.kv.ee/maja-remondifondi-igakuine-kulu-16-eurot-mis-tingi-3376280.html,75000,"Harjumaa, Tallinn, Lasnamäe, Mahtra tn 12",,45 €/95 €,5.0,Harjumaa,Tallinn,Lasnamäe,Mahtra tn 12,Mahtra tn,2186.588921282799,"Eesti, Harjumaa,Tallinn,Lasnamäe,Mahtra tn","Mahtra, Tallinn, Estonia",59.44023369999999,24.8732195
44,2,46.7,5.0,,Korteriomand,,Puudub,https://www.kv.ee/muua-valguskullane-2toaline-labi-maja-planeeringug-3381430.html,99900,"Harjumaa, Tallinn, Kristiine, Pirni 4",1987.0,,5.0,Harjumaa,Tallinn,Kristiine,Pirni 4,Pirni,2139.186295503212,"Eesti, Harjumaa,Tallinn,Kristiine,Pirni","Pirni, 10617 Tallinn, Estonia",59.42763369999999,24.6984031
45,3,72.7,1.0,Uus,Korteriomand,62401:001:0473,B,https://www.kv.ee/hobe-kodud-need-on-kahele-korvuti-asetsevale-kinni-3344914.html,225000,"Pärnumaa, Pärnu, Pärnu linn, Kesklinn, Hõbe tn 4-1",2022.0,,2.0,Pärnumaa,Pärnu,Pärnu linn,Hõbe tn 4-1,Hõbe tn,3094.9105914718016,"Eesti, Pärnumaa,Pärnu,Pärnu linn,Hõbe tn","Hõbe, Pärnu, Pärnu maakond, Estonia",58.38151329999999,24.5101869
46,3,140.9,,Heas korras,Korteriomand,84801:004:0617,Puudub,https://www.kv.ee/muua-ridaelamuboks-tahkuranna-kulas-kinnistu-asub-3372414.html,95000,"Pärnumaa, Häädemeeste vald, Tahkuranna, Merimäe tee 23",2008.0,,,Pärnumaa,Häädemeeste vald,Tahkuranna,Merimäe tee 23,Merimäe tee,674.2370475514549,"Eesti, Pärnumaa,Häädemeeste vald,Tahkuranna,Merimäe tee","Merimäe tee, Tahkuranna, 86509 Pärnu maakond, Estonia",58.2329446,24.4889582
47,2,43.0,5.0,Renoveeritud,Korteriomand,78405:501:26,-,https://www.kv.ee/tule-vaata-ja-tee-oma-pakkumine-muugiga-kiire-lisa-3382493.html,102000,"Harjumaa, Tallinn, Mustamäe, retke tee 28-87",1975.0,70 €/120 €,5.0,Harjumaa,Tallinn,Mustamäe,retke tee 28-87,retke tee,2372.093023255814,"Eesti, Harjumaa,Tallinn,Mustamäe,retke tee","Retke tee, Tallinn, Estonia",59.39937249999999,24.7057547
48,2,50.9,2.0,Uus,Korteriomand,,A,https://www.kv.ee/kakumae-sudamesse-rahulikku-ja-rohelisse-vismeistr-3381382.html,145000,"Harjumaa, Tallinn, Haabersti, Kakumäe, Jõeküla tee 18/2-8",2022.0,,2.0,Harjumaa,Tallinn,Haabersti,Jõeküla tee 18/2-8,Jõeküla tee,2848.722986247544,"Eesti, Harjumaa,Tallinn,Haabersti,Jõeküla tee","Jõeküla tee, Tallinn, Estonia",59.4403278,24.5911781
49,1,27.2,4.0,Renoveeritud,Korteriomand,79505:005:0056,-,https://www.kv.ee/muua-hea-planeeringuga-ilus-valguskullane-korter-k-3324358.html,65500,"Tartumaa, Tartu, Tartu linn, Ränilinn, Aardla tn 120",1973.0,,5.0,Tartumaa,Tartu,Tartu linn,Aardla tn 120,Aardla tn,2408.0882352941176,"Eesti, Tartumaa,Tartu,Tartu linn,Aardla tn","Aardla, Tartu, Estonia",58.353908,26.7042426
50,3,72.4,1.0,Uus,Korteriomand,,A,https://www.kv.ee/avara-paikesepoolse-terrassiga-3toaline-kodu-mere-3318938.html,268000,"Harjumaa, Tallinn, Haabersti, Merimetsa, Lahepea tn 15-5",2021.0,,4.0,Harjumaa,Tallinn,Haabersti,Lahepea tn 15-5,Lahepea tn,3701.657458563536,"Eesti, Harjumaa,Tallinn,Haabersti,Lahepea tn","Lahepea, Tallinn, Estonia",59.4323647,24.6859633
51,4,103.0,,Uus,Korteriomand,,A,https://www.kv.ee/ruumikas-sauna-ja-majapidamisruumiga-kodu-terrassi-3318874.html,373000,"Harjumaa, Tallinn, Haabersti, Merimetsa, Lahepea tn 15-2",,,,Harjumaa,Tallinn,Haabersti,Lahepea tn 15-2,Lahepea tn,3621.359223300971,"Eesti, Harjumaa,Tallinn,Haabersti,Lahepea tn","Lahepea, Tallinn, Estonia",59.4323647,24.6859633
52,2,39.3,1.0,Heas korras,Kaasomand,79508:062:0013,,https://www.kv.ee/muugile-on-tulnud-karlovas-vaike-ja-hubane-2toalin-3349641.html,64900,"Tartumaa, Tartu, Karlova, Sõbra tn 35",1977.0,,2.0,Tartumaa,Tartu,Karlova,Sõbra tn 35,Sõbra tn,1651.3994910941476,"Eesti, Tartumaa,Tartu,Karlova,Sõbra tn","Sõbra, Tartu, Estonia",58.36454310000001,26.7346325
53,4,87.8,3.0,,Kaasomand,78402:201:5150,B,https://www.kv.ee/pakkuda-rohelises-piirkonnas-armas-pirita-4toaline-3381633.html,229000,"Harjumaa, Tallinn, Pirita, Tohu 1",,,3.0,Harjumaa,Tallinn,Pirita,Tohu 1,Tohu,2608.2004555808658,"Eesti, Harjumaa,Tallinn,Pirita,Tohu","Tohu, 12012 Tallinn, Estonia",59.45454530000001,24.8426402
54,4,77.7,4.0,Renoveeritud,Korteriomand,,E,https://www.kv.ee/muua-4toaline-renoveeritud-korter-annelinnas-koik-3382021.html,89000,"Tartumaa, Tartu, Tartu linn, Annelinn, Kaunase pst 82",,,9.0,Tartumaa,Tartu,Tartu linn,Kaunase pst 82,Kaunase pst,1145.4311454311453,"Eesti, Tartumaa,Tartu,Tartu linn,Kaunase pst","Kaunase pst, Tartu, Estonia",58.3750151,26.7694174
55,3,76.5,3.0,Uus,Korteriomand,78406:611:0145,B,https://www.kv.ee/privaatsust-pakkuv-kodu-kakumae-ranna-laheduses-mu-3378484.html,247000,"Harjumaa, Tallinn, Haabersti, Kakumäe, Tindi tn. 6",2015.0,,3.0,Harjumaa,Tallinn,Haabersti,Tindi tn. 6,Tindi tn.,3228.7581699346406,"Eesti, Harjumaa,Tallinn,Haabersti,Tindi tn.","Tindi, 13516 Tallinn, Estonia",59.4506196,24.5851285
56,3,81.0,2.0,,,,B,https://www.kv.ee/muua-kohe-valmiv-korter-kesklinnas-korter-asub-rah-3379624.html,306000,"Harjumaa, Tallinn, Kesklinn, Veerenni, Pille 4-10",2021.0,,4.0,Harjumaa,Tallinn,Kesklinn,Pille 4-10,Pille,3777.777777777778,"Eesti, Harjumaa,Tallinn,Kesklinn,Pille","Pille, 10135 Tallinn, Estonia",59.4206914,24.7492438
57,2,38.5,2.0,Uus,Korteriomand,78401:101:3863,B,https://www.kv.ee/rajame-ajaloolise-kentmanni-tanava-viimasele-vabal-3295390.html,160000,"Harjumaa, Tallinn, Kesklinn, Kentmanni tn 28-12",2022.0,,7.0,Harjumaa,Tallinn,Kesklinn,Kentmanni tn 28-12,Kentmanni tn,4155.844155844156,"Eesti, Harjumaa,Tallinn,Kesklinn,Kentmanni tn","Kentmanni, Tallinn, Estonia",59.43085970000001,24.7514302
