,rooms,size,floor,condition,ownership_type,reg_no,energy_label,url,price,aadress,year,utility,total_floors,maakond,linn_vald,linnaosa,streetwno,street,sqm_price,st_address,address,lat,long
5335,1,31.8,2.0,Heas korras,Korteriomand,18301:015:0007,Puudub,https://www.kv.ee/muua-paikesepoolne-roduga-1toaline-korter-korter-p-3343010.html,42000,"Läänemaa, Haapsalu, Haapsalu linn, Kuuse tn 24",1980.0,,5.0,Läänemaa,Haapsalu,Haapsalu linn,Kuuse tn 24,Kuuse tn,1320.754716981132,"Eesti, Läänemaa,Haapsalu,Haapsalu linn,Kuuse tn","Kuuse, Haapsalu, Lääne maakond, Estonia",58.9364788,23.5530263
5336,3,64.9,8.0,Heas korras,Korteriomand,78403:309:0940,E,https://www.kv.ee/muua-heas-korras-3toaline-korter-lasnamael-karberi-3364440.html,107000,"Harjumaa, Tallinn, Lasnamäe, K. Kärberi tn 36",1985.0,90 €/160 €,9.0,Harjumaa,Tallinn,Lasnamäe,K. Kärberi tn 36,K. Kärberi tn,1648.6902927580893,"Eesti, Harjumaa,Tallinn,Lasnamäe,K. Kärberi tn","K. Kärberi, Tallinn, Estonia",59.4464637,24.886084
5337,2,51.1,2.0,Valmis,Korteriomand,,F,https://www.kv.ee/korter-muua-suur-2toaline-korter51-1-ruutmeetrit-m-3366911.html,59000,"Harjumaa, Maardu, Orumetsa 3",1959.0,,2.0,Harjumaa,Maardu,Orumetsa 3,Orumetsa 3,Orumetsa,1154.5988258317025,"Eesti, Harjumaa,Maardu,Orumetsa 3,Orumetsa","Orumetsa 3, Maardu, 74111 Harju maakond, Estonia",59.47919470000001,25.0145381
5338,1,16.9,2.0,Uus,Korteriomand,,B,https://www.kv.ee/tapsema-info-saamiseks-kulastage-arenduse-riia-kva-3340639.html,58000,"Tartumaa, Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 20",2021.0,,3.0,Tartumaa,Tartu,Tartu linn,Riia 20,Riia,3431.952662721894,"Eesti, Tartumaa,Tartu,Tartu linn,Riia","Riia, Tartu, Estonia",58.3637427,26.6971775
5339,3,72.1,4.0,Heas korras,Korteriomand,,B,https://www.kv.ee/muuki-on-tulnud-kvaliteetne-perekorter-p-pinna-6a-3383639.html,215000,"Harjumaa, Tallinn, Lasnamäe, P. Pinna 6a",2016.0,,11.0,Harjumaa,Tallinn,Lasnamäe,P. Pinna 6a,P. Pinna,2981.969486823856,"Eesti, Harjumaa,Tallinn,Lasnamäe,P. Pinna","Paul Pinna, Tallinn, Estonia",59.4371682,24.8360154
5340,1,42.7,5.0,Renoveeritud,Korteriomand,78401:102:0310,Puudub,https://www.kv.ee/muua-42-7-m-suuruse-uldpinnaga-korter-viru-keskuse-3378060.html,165000,"Harjumaa, Tallinn, Kesklinn, Viru väljak 6",2004.0,,11.0,Harjumaa,Tallinn,Kesklinn,Viru väljak 6,Viru väljak,3864.1686182669782,"Eesti, Harjumaa,Tallinn,Kesklinn,Viru väljak","Viru väljak, Tallinn, Estonia",59.43675520000001,24.7535955
5341,3,112.0,3.0,Uus,Korteriomand,78401:114:0062,A,https://www.kv.ee/hetkeseisuga-on-muugis-poordi-3-peremajaskorter-53-3341730.html,369000,"Harjumaa, Tallinn, Kesklinn, Poordi tn 3-53",2017.0,,6.0,Harjumaa,Tallinn,Kesklinn,Poordi tn 3-53,Poordi tn,3294.6428571428573,"Eesti, Harjumaa,Tallinn,Kesklinn,Poordi tn","Poordi, Tallinn, Estonia",59.44218329999999,24.7536493
5342,1,23.6,1.0,Valmis,Korteriomand,79508:032:0012,F,https://www.kv.ee/planeeringkorteri-eluruumi-pind-on-kokku-23-6-m2-r-3382614.html,49900,"Tartumaa, Tartu, Tartu linn, Karlova, Kalevi 93",1977.0,,2.0,Tartumaa,Tartu,Tartu linn,Kalevi 93,Kalevi,2114.406779661017,"Eesti, Tartumaa,Tartu,Tartu linn,Kalevi","Kalevi, Tartu, Estonia",58.3688554,26.7342295
5343,1,34.3,3.0,Heas korras,Kinnistu,78403:310:0840,E,https://www.kv.ee/maja-remondifondi-igakuine-kulu-16-eurot-mis-tingi-3376280.html,75000,"Harjumaa, Tallinn, Lasnamäe, Mahtra tn 12",,45 €/95 €,5.0,Harjumaa,Tallinn,Lasnamäe,Mahtra tn 12,Mahtra tn,2186.588921282799,"Eesti, Harjumaa,Tallinn,Lasnamäe,Mahtra tn","Mahtra, Tallinn, Estonia",59.44023369999999,24.8732195
5344,2,46.7,5.0,,Korteriomand,,Puudub,https://www.kv.ee/muua-valguskullane-2toaline-labi-maja-planeeringug-3381430.html,99900,"Harjumaa, Tallinn, Kristiine, Pirni 4",1987.0,,5.0,Harjumaa,Tallinn,Kristiine,Pirni 4,Pirni,2139.186295503212,"Eesti, Harjumaa,Tallinn,Kristiine,Pirni","Pirni, 10617 Tallinn, Estonia",59.42763369999999,24.6984031
