,address,rooms,bedrooms,area,floor,total_floors,price,energy_label,year,maakond,city,district,flag_balcony,flag_lift,flag_shower,flag_bath,flag_sauna,flag_generalheat,flag_floorheat,flag_gasheat,flag_electricalheat,flag_brick,flag_panel,flag_beton,flag_stone,flag_wood,flag_newbuilding,flag_indevelopment,flag_renovated,flag_needsrenovation,zipcode,lat,lng
2362,"Paekalda tn 23/1-29, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,81.6,6.0,8.0,303000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2363,"Paekalda tn 23/1-30, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,74.1,6.0,8.0,288000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2364,"Juhkentali tn 31/1, Kesklinna linnaosa, Tallinn, Harju maakond",3.0,2.0,120.1,3.0,3.0,399900.0,energiamärgis määramata,1940.0,harju, Tallinn,Kesklinna linnaosa,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10144,59.427708,24.7694669
2365,"Paekalda tn 23/1-39, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,44.2,7.0,8.0,218000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2366,"Paekalda tn 23/1-25, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,44.2,5.0,8.0,202000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2367,"Paekalda tn 23/1-40, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,43.4,7.0,8.0,215000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2368,"Paekalda tn 23/1-34, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",4.0,3.0,91.3,6.0,8.0,349000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2369,"Paekalda tn 23/1-37, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,74.1,7.0,8.0,298000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2370,"Paekalda tn 23/1-36, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,81.6,7.0,8.0,314000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2371,"Paekalda tn 23/1-24, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,73.7,5.0,8.0,283000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2372,"Sõpruse pst 40-28, Kristiine linnaosa, Tallinn, Harju maakond",2.0,1.0,45.1,3.0,5.0,187600.0,B,2022.0,harju, Tallinn,Kristiine linnaosa,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,13417,59.4173565,24.7106538
2373,"Paekalda tn 23/1-33, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,43.4,6.0,8.0,207000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2374,"Paekalda tn 23/1-47, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,43.4,8.0,8.0,222000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2375,"Sõpruse pst 40-15, Kristiine linnaosa, Tallinn, Harju maakond",2.0,1.0,47.0,3.0,5.0,209100.0,B,2022.0,harju, Tallinn,Kristiine linnaosa,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,13417,59.4173565,24.7106538
2376,"Paekalda tn 23/1-42, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,53.3,7.0,8.0,239000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2377,"Sõpruse pst 40-16, Kristiine linnaosa, Tallinn, Harju maakond",2.0,1.0,46.9,3.0,5.0,209100.0,B,2022.0,harju, Tallinn,Kristiine linnaosa,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,13417,59.4173565,24.7106538
2378,"Paekalda tn 23/1-43, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,81.6,8.0,8.0,320000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2379,"Sõpruse pst 40-13KK, Kristiine linnaosa, Tallinn, Harju maakond",2.0,1.0,47.0,2.0,5.0,195300.0,B,2022.0,harju, Tallinn,Kristiine linnaosa,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,13417,59.4173565,24.7106538
