,Üldinfo,aadress,date,ID,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Hoone,Katastritunnus,Energiamärgis,Materjal,Ehitusaasta,Lisaruumid,Tehnosüsteemid,Küte,Sanitaar,Pliit,Side,Parkimine,Lisainfo,Ventilatsioon,Köögi pind,Lift,Katus,Kinnistu number,tasuta parkimine,Krunt,Suve kommunaalid,Talve kommunaalid,tasuline parkimine,Saadaval,Lisanduvad kommunaalid,Tagatisraha,KM,Sihtotstarve,Parkimiskohti,Lisanduvad kommunaalkulud,Maakleritasu,Piirangud
1901,Üldinfo,"Läänemere tee 9,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,4854885,renoveeritud,3,2,1,52.7 m²,klaasitud rõdu,,5,5,korteriomand,"turvauks,trepikoda lukus",,129 990 €,2 466.60 €/m²,"408 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,E,paneelmaja,1994,kelder,Tehnosüsteemid,keskküte,"vann,tsentraalne kanalisatsioon,wc ja vannituba eraldi",elektripliit,"digi-TV,internet",tasuta parkimine,Virtuaaltuuri link:,,,,,,,,,,,,,,,,,,,
1902,Üldinfo,"Pärnu mnt,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,5800836,uusehitis,2,1,1,61.7 m²,prantsuse rõdu,,4,8,korteriomand,"trepikoda lukus,turvauks","mööbel,külmik",179 900 €,2 915.72 €/m²,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,,kivimaja,2008,,Tehnosüsteemid,keskküte,"pesumasin,dušš",elektripliit,internet,"tasuta parkimine,kindel parkimiskoht kinnistul",,"konditsioneer,sundventilatsioon",,jah,,,jah,,100,220,,31.05.2022,,,,,,,,
1903,Üldinfo,"Kihnu tn,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,6744554,,4,4,1,68 m²,klaasitud rõdu,9,3,5,korteriomand,"trepikoda lukus,turvauks",mööbel,169 000 €,2 485.29 €/m²,"531 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,D,paneelmaja,1990,kelder,Tehnosüsteemid,keskküte,,elektripliit,,tasuta parkimine,,,,,,,,,,,,,,,,,,,,
1904,Üldinfo,"Ümera tn 32,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,6149290,vajab renoveerimist,2,2,1,46.2 m²,kinnine rõdu,14,4,5,korteriomand,"turvauks,turvasüsteem,trepikoda lukus",mööbli võimalus,96 000 €,2 077.92 €/m²,"302 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,E,paneelmaja,,,Tehnosüsteemid,keskküte,,elektripliit,,,,,8,,,,,,,,,,,,,,,,,
1905,Üldinfo,"Väike tn 5,Vaida alevik, Rae vald, Harju maakond",5/27/2022,2504439,san remont tehtud,1,1,,28.3 m²,,,2,2,korteriomand,trepikoda lukus,"mööbel,mööbli võimalus,külmik",52 900 €,1 869.26 €/m²,"166 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,E,kivimaja,1970,panipaik,Tehnosüsteemid,keskküte,"boiler,pesumasin,dušš",elektripliit,,,,,,,,0,jah,,,,,,,,,,,,,
1906,Üldinfo,"Pöörise tn 18, Kadaka,Mustamäe linnaosa, Tallinn, Harju maakond",5/27/2022,8736176,valmis,2,1,,49.3 m²,rõdu,4.3,14,14,korteriomand,"trepikoda lukus,turvauks","mööbel,külmik",174 900 €,3 547.67 €/m²,"549 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78405:502:0257,C,paneelmaja,2019,panipaik,Tehnosüsteemid,keskküte,dušš,,"internet,telefon,kaabel-TV",,,,,jah,,,jah,,,,,,,,,,,,,
1907,Üldinfo,"Jägala mnt 10,Raasiku alevik, Raasiku vald, Harju maakond",5/27/2022,2469346,,2,1,,29.6 m²,,,2,2,korteriomand,naabrivalve,"mööbli võimalus,külmik",73 900 €,2 496.62 €/m²,"232 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,65101:008:0002,energiamärgis määramata,puitmaja,1972,panipaik,Tehnosüsteemid,,"dušš,saun,boiler",elektripliit,"internet,kaabel-TV,telefon",,,,,,,,,,,,,,,,,,,,,
1908,Üldinfo,"Maleva tn 1, Kopli,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",5/27/2022,7040763,valmis,2,1,1,56.6 m²,,,4,6,korteriomand,,,135 000 €,2 385.16 €/m²,"424 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78408:808:0090,E,kivimaja,2000,,Tehnosüsteemid,,,elektripliit,,,,,,,,,,,,,,,,,,,,,,
1909,Üldinfo,"Merirahu tn 6, Kakumäe,Haabersti linnaosa, Tallinn, Harju maakond",5/27/2022,3751178,valmis,4,3,1,86.9 m²,,,1,4,korteriomand,,,335 000 €,3 855.01 €/m²,"1 052 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,B,kivimaja,2013,,,,,,,,,,,,,0,,,,,,,,,,,,,,
1910,Üldinfo,"F. R. Kreutzwaldi tn 3, Raua,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,5921369,valmis,4,3,2,97.9 m²,,,3,7,korteriomand,,,315 000 €,3 217.57 €/m²,"990 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:113:0053,C,kivimaja,2014,panipaik,,,,,,,,,,,,0,,,,,,,,,,,,,,
