,url,hind,aadress,description,Tube,Magamistube,Üldpind,Energiamärgis,Korruseid,Korrus,hind_m2
12,https://www.kv.ee/paikseline-ja-hea-asukohaga-kodu-pikaliival-ootab-3432620.html,231000.0," Rõugu 1/2, Pikaliiva, Haabersti, Tallinn, Harjumaa","<p>Korteriomand, paneelmaja<br/><br/><strong>Lisainfo:</strong> rõdu , köök, tsentraalgaas, TV, mööbli võimalus, parkett, ventilatsioon, panipaik, seinakapp, toad eraldi, ühistransport, tsentraalne vesi, elekter, rullmaterjalist katus <br/><strong>Köök:</strong> avatud köök, külmik <br/><strong>Sanruum:</strong> dušš <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, trepikoda lukus <br/></p>",3,2.0,68.2,C,3,3,3387.0967741935483
13,https://www.kv.ee/tallinna-lauluvaljakust-vaid-kilomeetri-kaugusele-3392039.html,186000.0," Lageloo tn 7-21, Lasnamäe, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> vesi, kanalisatsioon, ventilatsioon, kõrged laed, tsentraalne vesi, panipaik, lift, rullmaterjalist katus <br/><strong>Köök:</strong> elektripliit <br/><strong>Küte ja ventilatsioon:</strong> põrandaküte, keskküte, põrandaküte <br/><strong>Side ja turvalisus:</strong> Internet, telefon, kaabelTV, trepikoda lukus <br/></p>",2,1.0,46.0,B,8,4,4043.478260869565
14,https://www.kv.ee/ilus-tais-mugavuse-ja-soojuse-atmosfaari-1toaline-3430972.html,97000.0," Järveotsa tee 11, BRONEERITUD, Haabersti, Tallinn, Harjumaa","<p>Korteriomand, paneelmaja<br/><br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/></p>",1,1.0,33.5,-,9,3,2895.5223880597014
15,https://www.kv.ee/ajaloolise-volta-kvartali-uute-etappide-muuk-on-al-3403756.html,239900.0," Uus-Volta 12/3-30, Kalamaja, Põhja-Tallinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu , tsentraalne vesi, uus elektrijuhtmestik, kõrged laed, planeering läbi mitme korruse, kinnine hoov, vesi, parkimine tasuline, panipaik, ühistransport, parkett, garaaž, lift, elekter, garderoob <br/><strong>Köök:</strong> avatud köök <br/><strong>Sanruum:</strong> uus torustik, dušš <br/><strong>Küte ja ventilatsioon:</strong> põrandaküte, põrandaküte, keskküte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, turvauks, trepikoda lukus, naabrivalve <br/><strong>Ümbrus:</strong> ümbruses korterelamud, meri lähedal, asub keskuses <br/></p>",2,1.0,46.1,A,5,4,5203.904555314533
16,https://www.kv.ee/kehtiva-hindamisakti-jargi-korteri-vaartus-232-000-3424985.html,229000.0," Sepa tn 27-5, Põhja-Tallinn, Tallinn, Harjumaa","<p>Korteriomand, puitmaja<br/><br/><strong>Lisainfo:</strong> parkimine tasuta, toad eraldi, mööbel, pakettaknad, parkett, panipaik, pööning, seinakapp, uus elektrijuhtmestik, kõrged laed, eraldi sissepääs, kinnine hoov, katusekorter, TV <br/><strong>Köök:</strong> induktsioon pliit, avatud köök, külmik, köögimööbel <br/><strong>Sanruum:</strong> dušš, uus torustik, vann, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> põrandaküte, keskküte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, turvauks, trepikoda lukus <br/><strong>Ümbrus:</strong> meri 150 m, teed heas seisukorras <br/></p>",2,1.0,53.4,C,3,2,4288.389513108615
17,https://www.kv.ee/pakkuda-uued-14-toalised-korterid-suure-hinnakasvu-3280504.html,379900.0," Madalmaa 1-37, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> panipaik, kanalisatsioon, lift, tsentraalne vesi, ventilatsioon, vesi, rullmaterjalist katus <br/><strong>Köök:</strong> elektripliit, avatud köök <br/><strong>Küte ja ventilatsioon:</strong> keskküte, põrandaküte, põrandaküte <br/><strong>Side ja turvalisus:</strong> Internet, trepikoda lukus, turvauks <br/></p>",4,3.0,95.1,B,6,3,3994.7423764458467
18,https://www.kv.ee/kortermuua-1toaline-renoveeritud-korter-valguskull-1692439.html,89900.0," Ümera tn 12, Lasnamäe, Tallinn, Harjumaa","<p>Korteriomand, paneelmaja<br/><br/><strong>Lisainfo:</strong> kanalisatsioon, mööbel, vesi, tsentraalne vesi, ventilatsioon, panipaik <br/><strong>Köök:</strong> elektripliit, avatud köök <br/><strong>Sanruum:</strong> dušš <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, turvauks <br/></p>",1,1.0,32.6,E,5,3,2757.6687116564417
20,https://www.kv.ee/kliendipaev-18-04-kell-17-0018-00-vajalik-eelregis-3399601.html,209900.0," Tartu mnt 16, Maakri, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> parkimine tasuline, parkett, lift, panipaik, seinakapp, TV, mööbel <br/><strong>Köök:</strong> keraamiline pliit, avatud köök, külmik, köögimööbel <br/><strong>Sanruum:</strong> vann, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> gaasiküte <br/><strong>Side ja turvalisus:</strong> turvauks, valvesüsteemi kaabeldus tehtud, trepikoda lukus <br/></p>",2,1.0,56.9,Puudub,11,9,3688.9279437609844
21,https://www.kv.ee/muua-hea-asukohaga-kolmetoaline-perekorter-lasnama-3429293.html,133990.0," Raadiku 12, Lasnamäe, Tallinn, Harjumaa","<p>Korteriomand, paneelmaja<br/><br/><strong>Lisainfo:</strong> parkimine tasuta, seinakapp, toad eraldi, mööbli võimalus, pakettaknad, parkett, lift, rõdu kinnine <br/><strong>Köök:</strong> elektripliit, külmik, köögimööbel <br/><strong>Sanruum:</strong> dušš, wc ja vannituba eraldi, vann <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, telefon, kaabelTV, trepikoda lukus <br/><strong>Ümbrus:</strong> teed heas seisukorras, Pirita jõgi  <br/></p>",3,3.0,64.6,E,9,4,2074.148606811146
22,https://www.kv.ee/uus-pakkuminevaiksem-varskelt-renoveeritud-2-toali-3431120.html,105000.0," E. Vilde tee 88, Mustamäe, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> parkimine tasuta, pakettaknad, parkett, uus elektrijuhtmestik <br/><strong>Köök:</strong> elektripliit, avatud köök, külmik, köögimööbel <br/><strong>Sanruum:</strong> uus torustik, dušš <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, telefon, kaabelTV, turvauks, trepikoda lukus, video valve <br/></p>",2,1.0,30.0,Puudub,5,1,3500.0
