,rooms,floors,area_outside,area,link,address,maakond
3911,3,1/3,,68.4 m²,https://city24.ee/real-estate/apartments-for-sale/rae-vald-jarvekula-sonajala-tee/8135995,"Sõnajala tee 1-2,Järveküla, Rae vald, Harju maakond",harju
3912,2,1/3,,48.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-priisle-tee/5521070,"Priisle tee 30,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3913,4,5/6,,156.84 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-vanalinn-suur-karja-tn/1448665,"Suur-Karja tn 4,Vanalinn, Tallinn, Harju maakond",harju
3914,5,5/6,,279.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-vanalinn-suur-karja-tn/6098347,"Suur-Karja tn 4,Vanalinn, Tallinn, Harju maakond",harju
3915,3,4/4,,76.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-niguliste-tn/9079716,"Niguliste tn 2, Vanalinn,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3916,3,3/3,,77.7 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-magdaleena-tn/2905065,"Magdaleena tn 4-10,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3917,4,2/3,,95.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-magdaleena-tn/7054339,"Magdaleena tn 4-5,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3918,4,2/3,,95.7 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-magdaleena-tn/3388759,"Magdaleena tn 4-6,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3919,3,1/3,,63.7 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-koidu-tn/2521316,"Koidu tn 16,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3920,3,0/1,,63 m²,https://city24.ee/real-estate/apartments-for-sale/joelahtme-vald-liivamae-kula-teemeistri-tn/8111965,"Teemeistri tn,Liivamäe küla, Jõelähtme vald, Harju maakond",harju
3921,2,3/6,,57.6 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-lennusadama-tn/3486508,"Lennusadama tn 3/3,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",harju
3922,3,5/11,,65.2 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-priisle-tee/3493882,"Priisle tee 1,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3923,3,11/4,,60.2 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-priisle-tee/8333665,"Priisle tee 1,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3924,2,4/5,,38.9 m²,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-paldiski-linn-sadama-tn/4288362,"Sadama tn 15,Paldiski linn, Harju maakond",harju
3925,2,3/3,,62.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pirita-linnaosa-pune-tee/3975918,"Pune tee 9,Pirita linnaosa, Tallinn, Harju maakond",harju
3926,2,5/5,,47.2 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-puhangu-tn/3113999,"Puhangu tn 61,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",harju
3927,4,,,172.4 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-rotermanni-tn/2692513,"Rotermanni tn 10,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3928,1,4/9,,32.6 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-valja-tn/2152224,"Välja tn, Hea investeeringuks! Hinnatud piirkond Lilleküla asumis,Kristiine linnaosa, Tallinn, Harju maakond",harju
3929,2,2/3,,61.3 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pirita-linnaosa-kloostrimetsa-tee/7334661,"Kloostrimetsa tee 56a/1-5, Kloostrimetsa,Pirita linnaosa, Tallinn, Harju maakond",harju
3930,3,5/5,,53.6 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-asula-tn/9287004,"Asula tn 17b, Kitseküla,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3931,1,1/2,,13.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-kiive-tn/2840832,"Kiive tn 10,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3932,2,4/5,,32.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-loitsu-tn/7519091,"Loitsu tn 10,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3933,2,3/5,,32.7 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-j-koorti-tn/2768220,"J. Koorti tn 19,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3934,3,1/3,,72 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-juhkentali-tn/5193586,"Juhkentali tn 38/1, Kesklinn,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3935,1,5/5,,30 m²,https://city24.ee/real-estate/apartments-for-sale/laane-harju-vald-klooga-alevik-saare-tn/2281299,"Saare tn 5, Klooga järve,Klooga alevik, Lääne-Harju vald, Harju maakond",harju
3936,4,3/5,,109 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-vanalinn-vana-viru-tn/2561135,"Vana-Viru tn 13,Vanalinn, Tallinn, Harju maakond",harju
3937,2,3/5,,23.6 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-uus-maleva-tn/7294949,"Uus-Maleva tn 7,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",harju
3938,3,1/5,,64 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-paldiski-mnt/7017567,"Paldiski mnt 75,Kristiine linnaosa, Tallinn, Harju maakond",harju
3939,2,1/3,,52.2 m²,https://city24.ee/real-estate/apartments-for-sale/rae-vald-jarvekula-sonajala-tee/1298095,"Sõnajala tee 1-52,Järveküla, Rae vald, Harju maakond",harju
3940,3,0/1,,63 m²,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-maardu-linn-teemeistri-tn/5214988,"Teemeistri tn,Maardu linn, Harju maakond",harju
3941,1,5/9,,22.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-randla-tn/pcbyae,"Randla tn 13,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",harju
3942,3,2/3,,68.4 m²,https://city24.ee/real-estate/apartments-for-sale/rae-vald-jarvekula-sonajala-tee/3803297,"Sõnajala tee 1-62,Järveküla, Rae vald, Harju maakond",harju
3943,4,1/3,,87.4 m²,https://city24.ee/real-estate/apartments-for-sale/saue-vald-laagri-alevik-kaselaane-tn/3345772,"Kaselaane tn 7/2,Laagri alevik, Saue vald, Harju maakond",harju
3944,2,3/5,,46.9 m²,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-paldiski-linn-muuli-tn/1495324,"Muuli tn 1,Paldiski linn, Harju maakond",harju
3945,4,4/4,,88.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-nomme-linnaosa-remmelga-tn/3797565,"Remmelga tn 4/2,Nõmme linnaosa, Tallinn, Harju maakond",harju
3946,1,3/3,,33.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-tina-tn/4151354,"Tina tn 6, Raua,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3947,3,1/3,,71.3 m²,https://city24.ee/real-estate/apartments-for-sale/harku-vald-tiskre-kula-uuspere-tee/6721578,"Uuspere tee 4/2,Tiskre küla, Harku vald, Harju maakond",harju
3948,2,2/5,,43.7 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-mustamae-tee/2605004,"Mustamäe tee 151,Mustamäe linnaosa, Tallinn, Harju maakond",harju
3949,1,5/9,,32.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-k-karberi-tn/3489589,"K. Kärberi tn 47,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3950,3,5/9,,75 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-narva-mnt/1589972,"Narva mnt 128,Kesklinna linnaosa, Tallinn, Harju maakond",harju
3951,2,1/7,,53.3 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-mootori/4074000,"Mootori 7/2-2, Kalamaja,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",harju
3952,3,4/6,,149.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-staapli-tn/2402368,"Staapli tn 4,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",harju
3953,3,4/4,,64.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7469553,"Pikaliiva tn 7-38, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3954,3,4/4,,63.2 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7882286,"Pikaliiva tn 7-39, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3955,2,3/4,,46.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7937938,"Pikaliiva tn 7-30, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3956,2,4/4,,43.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/5756718,"Pikaliiva tn 7-31, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3957,3,4/4,,63.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7944663,"Pikaliiva tn 7-32, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3958,3,4/4,,64.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/2858032,"Pikaliiva tn 7-33, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3959,2,4/4,,46 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/8418332,"Pikaliiva tn 7-34, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
